cd_conta,conta,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,587392690000000000.000,596189740000000000.000,686740190000000000.000,632970440000000000.000,629890430000000000.000,651259220000000000.000,721432030000000000.000,751011850000000000.000,744361620000000000.000,880431730000000000.000,901762340000000000.000,802480150000000000.000,766567120000000000.000,791101960000000000.000,838414180000000000.000,807339420000000000.000,841240110000000000.000,830204230000000000.000,868519890000000000.000,823789450000000000.000,909213560000000000.000,956910430000000000.000,941261380000000000.000,969055320000000000.000,987389790000000000.000,1024753170000000000.000,1017429440000000000.000,1136875610000000000.000,1213930080000000000.000,1270567870000000000.000,1251965790000000000.000,1334178310000000000.000,1244401350000000000.000,1351332550000000000.000,1386024830000000000.000,1273999200000000000.000,1366334080000000000.000,1420639540000000000.000,1379580830000000000.000,1354667220000000000.000,1332944150000000000.000,1379142050000000000.000,1326441330000000000.000,1338168010000000000.000,1434388460000000000.000,1472863610000000000.000,1625079490000000000.000,1472989790000000000.000,1421575430000000000.000,1407549950000000000.000
1.01,Ativo Circulante,120570520000000000.000,124783740000000000.000,204700130000000000.000,163523060000000000.000,157732690000000000.000,154465760000000000.000,207284210000000000.000,192410170000000000.000,183602560000000000.000,238353530000000000.000,283144890000000000.000,190744870000000000.000,185615170000000000.000,199909670000000000.000,238868510000000000.000,212973740000000000.000,230428480000000000.000,222305960000000000.000,247180730000000000.000,215605520000000000.000,264091150000000000.000,262000190000000000.000,253296050000000000.000,261941380000000000.000,273560370000000000.000,290040260000000000.000,276211370000000000.000,310863560000000000.000,362681300000000000.000,390987960000000000.000,353426140000000000.000,370598610000000000.000,327056660000000000.000,381970820000000000.000,386271410000000000.000,344797970000000000.000,382385620000000000.000,415569650000000000.000,378167110000000000.000,353786870000000000.000,343240910000000000.000,375526690000000000.000,365630500000000000.000,346750110000000000.000,383163350000000000.000,426729300000000000.000,541557840000000000.000,435509600000000000.000,407919560000000000.000,419401700000000000.000
1.01.01,Caixa e Equivalentes de Caixa,44821750000000000.000,48351700000000000.000,112858330000000000.000,72961760000000000.000,62738620000000000.000,57481160000000000.000,97220670000000000.000,69745850000000000.000,68997790000000000.000,96808570000000000.000,136201610000000000.000,60073220000000000.000,57296550000000000.000,72852170000000000.000,78768490000000000.000,72302610000000000.000,87573420000000000.000,83406880000000000.000,103545270000000000.000,79534770000000000.000,106199550000000000.000,122276690000000000.000,114634980000000000.000,128225250000000000.000,142334030000000000.000,150169140000000000.000,119006660000000000.000,132044720000000000.000,174389520000000000.000,216604500000000000.000,170903350000000000.000,172860680000000000.000,132693460000000000.000,179561710000000000.000,166276980000000000.000,128879220000000000.000,141292590000000000.000,177126540000000000.000,149264350000000000.000,122140860000000000.000,121170130000000000.000,174139060000000000.000,160590030000000000.000,128445240000000000.000,141544340000000000.000,197843620000000000.000,285956660000000000.000,191183540000000000.000,164040250000000000.000,183092480000000000.000
1.01.02,Aplicações Financeiras,4861330000000000.000,6124890000000000.000,2886040000000000.000,4101730000000000.000,3799380000000000.000,5267890000000000.000,7129580000000000.000,10337580000000000.000,7765690000000000.000,7187370000000000.000,2151060000000000.000,2090670000000000.000,2638930000000000.000,2745770000000000.000,2827710000000000.000,99030000000000.000,87700000000000.000,78200000000000.000,118830000000000.000,122290000000000.000,126180000000000.000,130080000000000.000,133910000000000.000,137720000000000.000,140380000000000.000,143040000000000.000,145580000000000.000,448230000000000.000,448230000000000.000,14429230000000000.000,17000280000000000.000,20496280000000000.000,12456070000000000.000,20445740000000000.000,19146070000000000.000,13457300000000000.000,15357140000000000.000,13472160000000000.000,4544970000000000.000,3652840000000000.000,3135040000000000.000,2271640000000000.000,2771640000000000.000,10771900000000000.000,11871570000000000.000,11546770000000000.000,12420010000000000.000,11919070000000000.000,11205530000000000.000,15316730000000000.000
1.01.03,Contas a Receber,27831390000000000.000,27478500000000000.000,36135060000000000.000,31100850000000000.000,35383840000000000.000,32756410000000000.000,30288540000000000.000,28977000000000000.000,28503650000000000.000,35470860000000000.000,41656700000000000.000,31461140000000000.000,34457610000000000.000,37933360000000000.000,43680590000000000.000,32673740000000000.000,35721960000000000.000,37677730000000000.000,49448310000000000.000,35371120000000000.000,44127220000000000.000,42856330000000000.000,48792560000000000.000,39803600000000000.000,41031180000000000.000,42362570000000000.000,44955250000000000.000,33942980000000000.000,42015830000000000.000,41569230000000000.000,43031380000000000.000,33578890000000000.000,37021530000000000.000,45126360000000000.000,47916340000000000.000,43839510000000000.000,47713660000000000.000,53865130000000000.000,53491050000000000.000,50466810000000000.000,48776690000000000.000,55235130000000000.000,57414570000000000.000,52605690000000000.000,58838950000000000.000,60875010000000000.000,62698630000000000.000,56312190000000000.000,50868480000000000.000,55919350000000000.000
1.01.04,Estoques,27262500000000000.000,25865400000000000.000,27954900000000000.000,30622960000000000.000,31204580000000000.000,31589750000000000.000,34112840000000000.000,43778890000000000.000,40786820000000000.000,45214180000000000.000,43381720000000000.000,48960590000000000.000,44039500000000000.000,42758090000000000.000,43470520000000000.000,45103240000000000.000,46639510000000000.000,43733940000000000.000,43189730000000000.000,47251170000000000.000,49332820000000000.000,53490870000000000.000,54017930000000000.000,60327440000000000.000,61975650000000000.000,59788120000000000.000,59785570000000000.000,77526560000000000.000,77716190000000000.000,73418370000000000.000,76059050000000000.000,96982290000000000.000,95833730000000000.000,95112360000000000.000,110003460000000000.000,114262970000000000.000,125877190000000000.000,124950920000000000.000,129230250000000000.000,130308780000000000.000,120550220000000000.000,108189470000000000.000,96190220000000000.000,106983730000000000.000,114259220000000000.000,110933440000000000.000,116897670000000000.000,122478830000000000.000,113516300000000000.000,104718580000000000.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,7391220000000000.000,8506740000000000.000,13970040000000000.000,14205200000000000.000,15104190000000000.000,17060110000000000.000,15819080000000000.000,13942950000000000.000,14365630000000000.000,12904100000000000.000,31949720000000000.000,31793390000000000.000,32326470000000000.000,31832070000000000.000,54233100000000000.000,49685600000000000.000,45291390000000000.000,44327840000000000.000,33705410000000000.000,36750510000000000.000,41030340000000000.000,22150270000000000.000,21487140000000000.000,19803420000000000.000,15425560000000000.000,25458640000000000.000,40741270000000000.000,52664080000000000.000,53903400000000000.000,34728810000000000.000,32871420000000000.000,30059780000000000.000,28651180000000000.000,20259050000000000.000,26126730000000000.000,25898760000000000.000,32343640000000000.000,27080200000000000.000,28534750000000000.000,30496430000000000.000,33941140000000000.000,21412780000000000.000,34356880000000000.000,31610710000000000.000,31776210000000000.000,24716250000000000.000,35822750000000000.000,32669760000000000.000,37365290000000000.000,32866860000000000.000
1.01.07,Despesas Antecipadas,6273200000000000.000,5934530000000000.000,7873330000000000.000,6822120000000000.000,5530120000000000.000,5394320000000000.000,7816030000000000.000,7013620000000000.000,6305220000000000.000,8255200000000000.000,10171400000000000.000,7485600000000000.000,7039870000000000.000,6889170000000000.000,7712570000000000.000,7196350000000000.000,7961640000000000.000,6041830000000000.000,7714990000000000.000,7510040000000000.000,7189940000000000.000,4398390000000000.000,7412220000000000.000,5912740000000000.000,5072160000000000.000,2930600000000000.000,5125320000000000.000,4474740000000000.000,3564110000000000.000,2983030000000000.000,2935520000000000.000,3607120000000000.000,4785390000000000.000,4950900000000000.000,5241410000000000.000,5725520000000000.000,5723810000000000.000,5674860000000000.000,4997790000000000.000,6726730000000000.000,6774510000000000.000,5779710000000000.000,5156920000000000.000,6699820000000000.000,8127630000000000.000,6830020000000000.000,7060410000000000.000,7188280000000000.000,7806440000000000.000,7227740000000000.000
1.01.08,Outros Ativos Circulantes,2129130000000000.000,2521980000000000.000,3022430000000000.000,3708440000000000.000,3971960000000000.000,4916120000000000.000,14897470000000000.000,18614280000000000.000,16877760000000000.000,32513250000000000.000,17632680000000000.000,8880260000000000.000,7816240000000000.000,4899040000000000.000,8175530000000000.000,5913170000000000.000,7152860000000000.000,7039540000000000.000,9458190000000000.000,9065620000000000.000,16085100000000000.000,16697560000000000.000,6817310000000000.000,7731210000000000.000,7581410000000000.000,9188150000000000.000,6451720000000000.000,9762250000000000.000,10644020000000000.000,7254790000000000.000,10625140000000000.000,13013570000000000.000,15615300000000000.000,16514700000000000.000,11560420000000000.000,12734690000000000.000,14077590000000000.000,13399840000000000.000,8103950000000000.000,9994420000000000.000,8893180000000000.000,8498900000000000.000,9150240000000000.000,9633020000000000.000,16745430000000000.000,13984190000000000.000,20701710000000000.000,13757930000000000.000,23117270000000000.000,20259960000000000.000
