data_fim,trimestre,cd_conta,ds_conta,valor_mil
2013-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,34791391.0
2013-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-11397801.0
2013-12-31,T4,3.03,Resultado Bruto,23393590.0
2013-12-31,T4,3.04,Despesas/Receitas Operacionais,-8018480.0
2013-12-31,T4,3.04.01,Despesas com Vendas,-8025779.0
2013-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-1736457.0
2013-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2013-12-31,T4,3.04.04,Outras Receitas Operacionais,1993003.0
2013-12-31,T4,3.04.04.01,Recorrentes,1993003.0
2013-12-31,T4,3.04.05,Outras Despesas Operacionais,-260666.0
2013-12-31,T4,3.04.05.01,Recorrentes,-231459.0
2013-12-31,T4,3.04.05.02,Não Recorrentes,-29207.0
2013-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,11419.0
2013-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,15375110.0
2013-12-31,T4,3.06,Resultado Financeiro,-1563426.0
2013-12-31,T4,3.06.01,Receitas Financeiras,932492.0
2013-12-31,T4,3.06.02,Despesas Financeiras,-2495918.0
2013-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,13811684.0
2013-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-2457614.0
2013-12-31,T4,3.08.01,Corrente,-1912212.0
2013-12-31,T4,3.08.02,Diferido,-545402.0
2013-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,11354070.0
2013-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2013-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2013-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2013-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,11354070.0
2013-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,9534969.0
2013-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,1819101.0
2013-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2013-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2013-12-31,T4,3.99.01.01,ON,0.74
2013-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2013-12-31,T4,3.99.02.01,ON,0.75
2014-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,38079786.0
2014-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-12814588.0
2014-12-31,T4,3.03,Resultado Bruto,25265198.0
2014-12-31,T4,3.04,Despesas/Receitas Operacionais,-9421217.0
2014-12-31,T4,3.04.01,Despesas com Vendas,-9158701.0
2014-12-31,T4,3.04.01.01,Despesas Logísticas,-4847302.0
2014-12-31,T4,3.04.01.02,Despesas Comerciais,-4311399.0
2014-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-1820046.0
2014-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2014-12-31,T4,3.04.04,Outras Receitas Operacionais,1837393.0
2014-12-31,T4,3.04.04.01,Recorrentes,1837393.0
2014-12-31,T4,3.04.05,Outras Despesas Operacionais,-297241.0
2014-12-31,T4,3.04.05.01,Recorrentes,-208229.0
2014-12-31,T4,3.04.05.02,Não Recorrentes,-89012.0
2014-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,17378.0
2014-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,15843981.0
2014-12-31,T4,3.06,Resultado Financeiro,-1475404.0
2014-12-31,T4,3.06.01,Receitas Financeiras,1173223.0
2014-12-31,T4,3.06.02,Despesas Financeiras,-2648627.0
2014-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,14368577.0
2014-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-2006558.0
2014-12-31,T4,3.08.01,Corrente,-2057184.0
2014-12-31,T4,3.08.02,Diferido,50626.0
2014-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,12362019.0
2014-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2014-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2014-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2014-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,12362019.0
2014-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,12065512.0
2014-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,296507.0
2014-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2014-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2014-12-31,T4,3.99.01.01,ON,0.77
2014-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2014-12-31,T4,3.99.02.01,ON,0.76
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,46720141.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-16061371.0
2015-12-31,T4,3.03,Resultado Bruto,30658770.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-11877178.0
2015-12-31,T4,3.04.01,Despesas com Vendas,-11177879.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-2281256.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,2218357.0
2015-12-31,T4,3.04.04.01,Recorrentes,2218081.0
2015-12-31,T4,3.04.04.02,Não Recorrentes,276.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-639494.0
2015-12-31,T4,3.04.05.01,Recorrentes,-282058.0
2015-12-31,T4,3.04.05.02,Não Recorrentes,-357436.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,3094.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,18781592.0
2015-12-31,T4,3.06,Resultado Financeiro,-2268203.0
2015-12-31,T4,3.06.01,Receitas Financeiras,1294226.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-3562429.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,16513389.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-3634248.0
2015-12-31,T4,3.08.01,Corrente,-1227888.0
2015-12-31,T4,3.08.02,Diferido,-2406360.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,12879141.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,12879141.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,12423771.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,455370.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,0.79
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,0.78
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,45602561.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-16677959.0
2016-12-31,T4,3.03,Resultado Bruto,28924602.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-11824227.0
2016-12-31,T4,3.04.01,Despesas com Vendas,-12010512.0
2016-12-31,T4,3.04.01.01,Despesas Logísticas,-6085538.0
2016-12-31,T4,3.04.01.02,Despesas Comerciais,-5924974.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-2166097.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,2747125.0
2016-12-31,T4,3.04.04.01,Recorrentes,1502040.0
2016-12-31,T4,3.04.04.02,Não Recorrentes,1245085.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,-389758.0
2016-12-31,T4,3.04.05.01,Recorrentes,-279004.0
2016-12-31,T4,3.04.05.02,Não Recorrentes,-110754.0
2016-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-4985.0
2016-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,17100375.0
2016-12-31,T4,3.06,Resultado Financeiro,-3702005.0
2016-12-31,T4,3.06.01,Receitas Financeiras,895947.0
2016-12-31,T4,3.06.02,Despesas Financeiras,-4597952.0
2016-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,13398370.0
2016-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-314973.0
2016-12-31,T4,3.08.01,Corrente,-413907.0
2016-12-31,T4,3.08.02,Diferido,98934.0
2016-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,13083397.0
2016-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,13083397.0
2016-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,12546610.0
2016-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,536787.0
2016-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2016-12-31,T4,3.99.01.01,ON,0.8
2016-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2016-12-31,T4,3.99.02.01,ON,0.79
2017-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,47899276.0
2017-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-18041778.0
2017-12-31,T4,3.03,Resultado Bruto,29857498.0
2017-12-31,T4,3.04,Despesas/Receitas Operacionais,-13433800.0
2017-12-31,T4,3.04.01,Despesas com Vendas,-11915494.0
2017-12-31,T4,3.04.01.01,Despesas Logísticas,-6295544.0
2017-12-31,T4,3.04.01.02,Despesas Comerciais,-5619950.0
2017-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-2623796.0
2017-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2017-12-31,T4,3.04.04,Outras Receitas Operacionais,1338947.0
2017-12-31,T4,3.04.04.01,Recorrentes,1338947.0
2017-12-31,T4,3.04.04.02,Não Recorrentes,0.0
2017-12-31,T4,3.04.05,Outras Despesas Operacionais,-230342.0
2017-12-31,T4,3.04.05.01,Recorrentes,-121640.0
2017-12-31,T4,3.04.05.02,Não Recorrentes,-108702.0
2017-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-3115.0
2017-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,16423698.0
2017-12-31,T4,3.06,Resultado Financeiro,-3493896.0
2017-12-31,T4,3.06.01,Receitas Financeiras,774398.0
2017-12-31,T4,3.06.02,Despesas Financeiras,-4268294.0
2017-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,12929802.0
2017-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-5079298.0
2017-12-31,T4,3.08.01,Corrente,-5332336.0
2017-12-31,T4,3.08.02,Diferido,253038.0
2017-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,7850504.0
2017-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2017-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,7850504.0
2017-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,7331968.0
2017-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,518536.0
2017-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2017-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2017-12-31,T4,3.99.01.01,ON,0.47
2017-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2017-12-31,T4,3.99.02.01,ON,0.46
2018-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,50231336.0
2018-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-19269627.0
2018-12-31,T4,3.03,Resultado Bruto,30961709.0
2018-12-31,T4,3.04,Despesas/Receitas Operacionais,-13971252.0
2018-12-31,T4,3.04.01,Despesas com Vendas,-12465997.0
2018-12-31,T4,3.04.01.01,Despesas Logísticas,-6736474.0
2018-12-31,T4,3.04.01.02,Despesas Comerciais,-5729523.0
2018-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-2367221.0
2018-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2018-12-31,T4,3.04.04,Outras Receitas Operacionais,1427669.0
2018-12-31,T4,3.04.04.01,Recorrentes,1312537.0
2018-12-31,T4,3.04.04.02,Não Recorrentes,115132.0
2018-12-31,T4,3.04.05,Outras Despesas Operacionais,-566743.0
2018-12-31,T4,3.04.05.01,Recorrentes,-365188.0
2018-12-31,T4,3.04.05.02,Não Recorrentes,-201555.0
2018-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,1040.0
2018-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,16990457.0
2018-12-31,T4,3.06,Resultado Financeiro,-3823436.0
2018-12-31,T4,3.06.01,Receitas Financeiras,738815.0
2018-12-31,T4,3.06.02,Despesas Financeiras,-4562251.0
2018-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,13167021.0
2018-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1789594.0
2018-12-31,T4,3.08.01,Corrente,-1833480.0
2018-12-31,T4,3.08.02,Diferido,43886.0
2018-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,11377427.0
2018-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2018-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2018-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2018-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,11377427.0
2018-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,11024678.0
2018-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,352749.0
2018-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2018-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2018-12-31,T4,3.99.01.01,ON,0.7
2018-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2018-12-31,T4,3.99.02.01,ON,0.7
2019-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,52599709.0
2019-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-21678159.0
2019-12-31,T4,3.03,Resultado Bruto,30921550.0
2019-12-31,T4,3.04,Despesas/Receitas Operacionais,-14868978.0
2019-12-31,T4,3.04.01,Despesas com Vendas,-12647536.0
2019-12-31,T4,3.04.01.01,Despesas Logísticas,-6951417.0
2019-12-31,T4,3.04.01.02,Despesas Comerciais,-5696119.0
2019-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-2679967.0
2019-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2019-12-31,T4,3.04.04,Outras Receitas Operacionais,1106764.0
2019-12-31,T4,3.04.04.01,Recorrentes,1106764.0
2019-12-31,T4,3.04.04.02,Não Recorrentes,0.0
2019-12-31,T4,3.04.05,Outras Despesas Operacionais,-625929.0
2019-12-31,T4,3.04.05.01,Recorrentes,-228693.0
2019-12-31,T4,3.04.05.02,Não Recorrentes,-397236.0
2019-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-22310.0
2019-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,16052572.0
2019-12-31,T4,3.06,Resultado Financeiro,-3109567.0
2019-12-31,T4,3.06.01,Receitas Financeiras,1638866.0
2019-12-31,T4,3.06.02,Despesas Financeiras,-4748433.0
2019-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,12943005.0
2019-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-754673.0
2019-12-31,T4,3.08.01,Corrente,-1118054.0
2019-12-31,T4,3.08.02,Diferido,363381.0
2019-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,12188332.0
2019-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2019-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2019-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2019-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,12188332.0
2019-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,11779965.0
2019-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,408367.0
2019-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2019-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2019-12-31,T4,3.99.01.01,ON,0.74901
2019-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2019-12-31,T4,3.99.02.01,ON,0.74233
2020-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,58378995.0
2020-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-27066099.0
2020-12-31,T4,3.03,Resultado Bruto,31312896.0
2020-12-31,T4,3.04,Despesas/Receitas Operacionais,-15384006.0
2020-12-31,T4,3.04.01,Despesas com Vendas,-14619587.0
2020-12-31,T4,3.04.01.01,Despesas Logísticas,-8245029.0
2020-12-31,T4,3.04.01.02,Despesas Comerciais,-6374558.0
2020-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-2948480.0
2020-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2020-12-31,T4,3.04.04,Outras Receitas Operacionais,3531220.0
2020-12-31,T4,3.04.04.01,Recorrentes,3531220.0
2020-12-31,T4,3.04.04.02,Não Recorrentes,0.0
2020-12-31,T4,3.04.05,Outras Despesas Operacionais,-1303875.0
2020-12-31,T4,3.04.05.01,Recorrentes,-851865.0
2020-12-31,T4,3.04.05.02,Não Recorrentes,-452010.0
2020-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-43284.0
2020-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,15928890.0
2020-12-31,T4,3.06,Resultado Financeiro,-2434449.0
2020-12-31,T4,3.06.01,Receitas Financeiras,2996019.0
2020-12-31,T4,3.06.02,Despesas Financeiras,-5430468.0
2020-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,13494441.0
2020-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1762532.0
2020-12-31,T4,3.08.01,Corrente,-1048882.0
2020-12-31,T4,3.08.02,Diferido,-713650.0
2020-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,11731909.0
2020-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2020-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2020-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2020-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,11731909.0
2020-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,11379394.0
2020-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,352515.0
2020-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2020-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2020-12-31,T4,3.99.01.01,ON,0.72328
2020-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2020-12-31,T4,3.99.02.01,ON,0.71715
2021-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,72854344.0
2021-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-35659744.0
2021-12-31,T4,3.03,Resultado Bruto,37194600.0
2021-12-31,T4,3.04,Despesas/Receitas Operacionais,-20230075.0
2021-12-31,T4,3.04.01,Despesas com Vendas,-16968255.0
2021-12-31,T4,3.04.01.01,Despesas Logísticas,-9932743.0
2021-12-31,T4,3.04.01.02,Despesas Comerciais,-7035512.0
2021-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-4877389.0
2021-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2021-12-31,T4,3.04.04,Outras Receitas Operacionais,2592603.0
2021-12-31,T4,3.04.04.01,Recorrentes,2592603.0
