# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-13 11:08:03
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2013,3.01,1.5965736e+17,3.4791391e+17,-1.8825655e+17,-54.11009579927401,INCOMPLETO
2013,3.02,-5.461835e+16,-1.1397801e+17,5.935966e+16,52.079923136050546,INCOMPLETO
2013,3.03,1.0503901e+17,2.339359e+17,-1.2889689e+17,-55.09923444841087,INCOMPLETO
2013,3.04,-4.151284e+16,-8.01848e+16,3.867196e+16,48.22854206782333,INCOMPLETO
2013,3.04.02,-7528290000000000.0,-1.736457e+16,9836280000000000.0,56.64568716645445,INCOMPLETO
2013,3.04.05,-827910000000000.0,-2606660000000000.0,1778750000000000.0,68.2386655720347,INCOMPLETO
2013,3.04.05.02,-121990000000000.0,-292070000000000.0,170080000000000.0,58.232615468894444,INCOMPLETO
2013,3.04.06,39890000000000.0,114190000000000.0,-74300000000000.0,-65.06699360714599,INCOMPLETO
2013,3.05,6.352617e+16,1.537511e+17,-9.022493e+16,-58.68246145881233,INCOMPLETO
2013,3.06,-7641270000000000.0,-1.563426e+16,7992990000000000.0,51.124837376377265,INCOMPLETO
2013,3.06.01,3153960000000000.0,9324920000000000.0,-6170960000000000.0,-66.17708248435376,INCOMPLETO
2013,3.06.02,-1.079523e+16,-2.495918e+16,1.416395e+16,56.74845888366525,INCOMPLETO
2013,3.07,5.58849e+16,1.3811684e+17,-8.223194e+16,-59.537953518195174,INCOMPLETO
2013,3.08,-1.349349e+16,-2.457614e+16,1.108265e+16,45.09516140451674,INCOMPLETO
2013,3.09,4.239141e+16,1.135407e+17,-7.114929e+16,-62.664128369826855,INCOMPLETO
2013,3.10,0.0,0.0,0.0,,INCOMPLETO
2013,3.11,4.239141e+16,1.135407e+17,-7.114929e+16,-62.664128369826855,INCOMPLETO
2013,3.11.01,3.431446e+16,9.534969e+16,-6.103523e+16,-64.01198577572723,INCOMPLETO
2013,3.11.02,8076950000000000.0,1.819101e+16,-1.011406e+16,-55.59922181341223,INCOMPLETO
2014,3.01,3.8079786e+17,3.8079786e+17,0.0,0.0,OK
2014,3.02,-1.2814588e+17,-1.2814588e+17,0.0,0.0,OK
2014,3.03,2.5265198e+17,2.5265198e+17,0.0,0.0,OK
2014,3.04,-9.421217e+16,-9.421217e+16,0.0,0.0,OK
2014,3.04.02,-1.820046e+16,-1.820046e+16,0.0,0.0,OK
2014,3.04.05,-2972410000000000.0,-2972410000000000.0,0.0,0.0,OK
2014,3.04.05.02,-890120000000000.0,-890120000000000.0,0.0,0.0,OK
2014,3.04.06,173780000000000.0,173780000000000.0,0.0,0.0,OK
2014,3.05,1.5843981e+17,1.5843981e+17,0.0,0.0,OK
2014,3.06,-1.475404e+16,-1.475404e+16,0.0,0.0,OK
2014,3.06.01,1.173223e+16,1.173223e+16,0.0,0.0,OK
2014,3.06.02,-2.648627e+16,-2.648627e+16,0.0,0.0,OK
2014,3.07,1.4368577e+17,1.4368577e+17,0.0,0.0,OK
2014,3.08,-2.006558e+16,-2.006558e+16,0.0,0.0,OK
2014,3.09,1.2362019e+17,1.2362019e+17,0.0,0.0,OK
2014,3.10,0.0,0.0,0.0,0.0,OK
2014,3.11,1.2362019e+17,1.2362019e+17,0.0,0.0,OK
2014,3.11.01,1.2065512e+17,1.2065512e+17,0.0,0.0,OK
2014,3.11.02,2965070000000000.0,2965070000000000.0,0.0,0.0,OK
2015,3.01,4.6720141e+17,4.6720141e+17,0.0,0.0,OK
2015,3.02,-1.6061371e+17,-1.6061371e+17,0.0,0.0,OK
2015,3.03,3.065877e+17,3.065877e+17,0.0,0.0,OK
2015,3.04,-1.1877178e+17,-1.1877178e+17,0.0,0.0,OK
2015,3.04.02,-2.281256e+16,-2.281256e+16,0.0,0.0,OK
2015,3.04.05,-6394940000000000.0,-6394940000000000.0,0.0,0.0,OK
2015,3.04.05.02,-3574360000000000.0,-3574360000000000.0,0.0,0.0,OK
2015,3.04.06,30940000000000.0,30940000000000.0,0.0,0.0,OK
2015,3.05,1.8781592e+17,1.8781592e+17,0.0,0.0,OK
2015,3.06,-2.268203e+16,-2.268203e+16,0.0,0.0,OK
2015,3.06.01,1.294226e+16,1.294226e+16,0.0,0.0,OK
2015,3.06.02,-3.562429e+16,-3.562429e+16,0.0,0.0,OK
2015,3.07,1.6513389e+17,1.6513389e+17,0.0,0.0,OK
2015,3.08,-3.634248e+16,-3.634248e+16,0.0,0.0,OK
2015,3.09,1.2879141e+17,1.2879141e+17,0.0,0.0,OK
2015,3.10,0.0,0.0,0.0,0.0,OK
2015,3.11,1.2879141e+17,1.2879141e+17,0.0,0.0,OK
2015,3.11.01,1.2423771e+17,1.2423771e+17,0.0,0.0,OK
2015,3.11.02,4553700000000000.0,4553700000000000.0,0.0,0.0,OK
2016,3.01,4.5602561e+17,4.5602561e+17,0.0,0.0,OK
2016,3.02,-1.6677959e+17,-1.6677959e+17,0.0,0.0,OK
2016,3.03,2.8924602e+17,2.8924602e+17,0.0,0.0,OK
2016,3.04,-1.1824227e+17,-1.1824227e+17,0.0,0.0,OK
2016,3.04.02,-2.166097e+16,-2.166097e+16,0.0,0.0,OK
2016,3.04.05,-3897580000000000.0,-3897580000000000.0,0.0,0.0,OK
2016,3.04.05.02,-1107540000000000.0,-1107540000000000.0,0.0,0.0,OK
2016,3.04.06,-49850000000000.0,-49850000000000.0,0.0,0.0,OK
2016,3.05,1.7100375e+17,1.7100375e+17,0.0,0.0,OK
2016,3.06,-3.702005e+16,-3.702005e+16,0.0,0.0,OK
2016,3.06.01,8959470000000000.0,8959470000000000.0,0.0,0.0,OK
2016,3.06.02,-4.597952e+16,-4.597952e+16,0.0,0.0,OK
2016,3.07,1.339837e+17,1.339837e+17,0.0,0.0,OK
2016,3.08,-3149730000000000.0,-3149730000000000.0,0.0,0.0,OK
2016,3.09,1.3083397e+17,1.3083397e+17,0.0,0.0,OK
2016,3.10,0.0,0.0,0.0,0.0,OK
2016,3.11,1.3083397e+17,1.3083397e+17,0.0,0.0,OK
2016,3.11.01,1.254661e+17,1.254661e+17,0.0,0.0,OK
2016,3.11.02,5367870000000000.0,5367870000000000.0,0.0,0.0,OK
2017,3.01,4.7899276e+17,4.7899276e+17,0.0,0.0,OK
2017,3.02,-1.8041778e+17,-1.8041778e+17,0.0,0.0,OK
2017,3.03,2.9857498e+17,2.9857498e+17,0.0,0.0,OK
2017,3.04,-1.34338e+17,-1.34338e+17,0.0,0.0,OK
2017,3.04.02,-2.623796e+16,-2.623796e+16,0.0,0.0,OK
2017,3.04.05,-2303420000000000.0,-2303420000000000.0,0.0,0.0,OK
2017,3.04.05.02,-1087020000000000.0,-1087020000000000.0,0.0,0.0,OK
2017,3.04.06,-31150000000000.0,-31150000000000.0,0.0,0.0,OK
2017,3.05,1.6423698e+17,1.6423698e+17,0.0,0.0,OK
2017,3.06,-3.493896e+16,-3.493896e+16,0.0,0.0,OK
2017,3.06.01,7743980000000000.0,7743980000000000.0,0.0,0.0,OK
2017,3.06.02,-4.268294e+16,-4.268294e+16,0.0,0.0,OK
2017,3.07,1.2929802e+17,1.2929802e+17,0.0,0.0,OK
2017,3.08,-5.079298e+16,-5.079298e+16,0.0,0.0,OK
2017,3.09,7.850504e+16,7.850504e+16,0.0,0.0,OK
2017,3.10,0.0,0.0,0.0,0.0,OK
2017,3.11,7.850504e+16,7.850504e+16,0.0,0.0,OK
2017,3.11.01,7.331968e+16,7.331968e+16,0.0,0.0,OK
2017,3.11.02,5185360000000000.0,5185360000000000.0,0.0,0.0,OK
2018,3.01,5.0231336e+17,5.0231336e+17,0.0,0.0,OK
2018,3.02,-1.9269627e+17,-1.9269627e+17,0.0,0.0,OK
2018,3.03,3.0961709e+17,3.0961709e+17,0.0,0.0,OK
2018,3.04,-1.3971252e+17,-1.3971252e+17,0.0,0.0,OK
2018,3.04.02,-2.367221e+16,-2.367221e+16,0.0,0.0,OK
2018,3.04.05,-5667430000000000.0,-5667430000000000.0,0.0,0.0,OK
2018,3.04.05.02,-2015550000000000.0,-2015550000000000.0,0.0,0.0,OK
2018,3.04.06,10400000000000.0,10400000000000.0,0.0,0.0,OK
2018,3.05,1.6990457e+17,1.6990457e+17,0.0,0.0,OK
2018,3.06,-3.823436e+16,-3.823436e+16,0.0,0.0,OK
2018,3.06.01,7388150000000000.0,7388150000000000.0,0.0,0.0,OK
2018,3.06.02,-4.562251e+16,-4.562251e+16,0.0,0.0,OK
2018,3.07,1.3167021e+17,1.3167021e+17,0.0,0.0,OK
2018,3.08,-1.789594e+16,-1.789594e+16,0.0,0.0,OK
2018,3.09,1.1377427e+17,1.1377427e+17,0.0,0.0,OK
2018,3.10,0.0,0.0,0.0,0.0,OK
2018,3.11,1.1377427e+17,1.1377427e+17,0.0,0.0,OK
2018,3.11.01,1.1024678e+17,1.1024678e+17,0.0,0.0,OK
2018,3.11.02,3527490000000000.0,3527490000000000.0,0.0,0.0,OK
2019,3.01,5.2599709e+17,5.2599709e+17,0.0,0.0,OK
2019,3.02,-2.1678159e+17,-2.1678159e+17,0.0,0.0,OK
2019,3.03,3.092155e+17,3.092155e+17,0.0,0.0,OK
2019,3.04,-1.4868978e+17,-1.4868978e+17,0.0,0.0,OK
2019,3.04.02,-2.679967e+16,-2.679967e+16,0.0,0.0,OK
2019,3.04.05,-6259290000000000.0,-6259290000000000.0,0.0,0.0,OK
2019,3.04.05.02,-3972360000000000.0,-3972360000000000.0,0.0,0.0,OK
2019,3.04.06,-223100000000000.0,-223100000000000.0,0.0,0.0,OK
2019,3.05,1.6052572e+17,1.6052572e+17,0.0,0.0,OK
2019,3.06,-3.109567e+16,-3.109567e+16,0.0,0.0,OK
2019,3.06.01,1.638866e+16,1.638866e+16,0.0,0.0,OK
2019,3.06.02,-4.748433e+16,-4.748433e+16,0.0,0.0,OK
2019,3.07,1.2943005e+17,1.2943005e+17,0.0,0.0,OK
2019,3.08,-7546730000000000.0,-7546730000000000.0,0.0,0.0,OK
2019,3.09,1.2188332e+17,1.2188332e+17,0.0,0.0,OK
2019,3.10,0.0,0.0,0.0,0.0,OK
2019,3.11,1.2188332e+17,1.2188332e+17,0.0,0.0,OK
2019,3.11.01,1.1779965e+17,1.1779965e+17,0.0,0.0,OK
2019,3.11.02,4083670000000000.0,4083670000000000.0,0.0,0.0,OK
2020,3.01,5.8378995e+17,5.8378995e+17,0.0,0.0,OK
2020,3.02,-2.7066099e+17,-2.7066099e+17,0.0,0.0,OK
2020,3.03,3.1312896e+17,3.1312896e+17,0.0,0.0,OK
2020,3.04,-1.5384006e+17,-1.5384006e+17,0.0,0.0,OK
2020,3.04.02,-2.94848e+16,-2.94848e+16,0.0,0.0,OK
2020,3.04.05,-1.303875e+16,-1.303875e+16,0.0,0.0,OK
2020,3.04.05.02,-4520100000000000.0,-4520100000000000.0,0.0,0.0,OK
2020,3.04.06,-432840000000000.0,-432840000000000.0,0.0,0.0,OK
2020,3.05,1.592889e+17,1.592889e+17,0.0,0.0,OK
2020,3.06,-2.434449e+16,-2.434449e+16,0.0,0.0,OK
2020,3.06.01,2.996019e+16,2.996019e+16,0.0,0.0,OK
2020,3.06.02,-5.430468e+16,-5.430468e+16,0.0,0.0,OK
2020,3.07,1.3494441e+17,1.3494441e+17,0.0,0.0,OK
2020,3.08,-1.762532e+16,-1.762532e+16,0.0,0.0,OK
2020,3.09,1.1731909e+17,1.1731909e+17,0.0,0.0,OK
2020,3.10,0.0,0.0,0.0,0.0,OK
2020,3.11,1.1731909e+17,1.1731909e+17,0.0,0.0,OK
2020,3.11.01,1.1379394e+17,1.1379394e+17,0.0,0.0,OK
2020,3.11.02,3525150000000000.0,3525150000000000.0,0.0,0.0,OK
2021,3.01,7.2854344e+17,7.2854344e+17,0.0,0.0,OK
2021,3.02,-3.5659744e+17,-3.5659744e+17,0.0,0.0,OK
2021,3.03,3.71946e+17,3.71946e+17,0.0,0.0,OK
2021,3.04,-2.0230075e+17,-2.0230075e+17,0.0,0.0,OK
2021,3.04.02,-4.877389e+16,-4.877389e+16,0.0,0.0,OK
2021,3.04.05,-8613310000000000.0,-8613310000000000.0,0.0,0.0,OK
2021,3.04.05.02,-3928110000000000.0,-3928110000000000.0,0.0,0.0,OK
2021,3.04.06,-1157030000000000.0,-1157030000000000.0,0.0,0.0,OK
2021,3.05,1.6964525e+17,1.6964525e+17,0.0,0.0,OK
2021,3.06,-3.205365e+16,-3.205365e+16,0.0,0.0,OK
2021,3.06.01,2.22239e+16,2.22239e+16,0.0,0.0,OK
2021,3.06.02,-5.427755e+16,-5.427755e+16,0.0,0.0,OK
2021,3.07,1.375916e+17,1.375916e+17,0.0,0.0,OK
2021,3.08,-6365780000000000.0,-6365780000000000.0,0.0,0.0,OK
2021,3.09,1.3122582e+17,1.3122582e+17,0.0,0.0,OK
2021,3.10,0.0,0.0,0.0,0.0,OK
2021,3.11,1.3122582e+17,1.3122582e+17,0.0,0.0,OK
2021,3.11.01,1.2670968e+17,1.2670968e+17,0.0,0.0,OK
2021,3.11.02,4516140000000000.0,4516140000000000.0,0.0,0.0,OK
2022,3.01,7.9708827e+17,7.9708827e+17,0.0,0.0,OK
2022,3.02,-4.0422069e+17,-4.0422069e+17,0.0,0.0,OK
2022,3.03,3.9286758e+17,3.9286758e+17,0.0,0.0,OK
2022,3.04,-2.1627918e+17,-2.1627918e+17,0.0,0.0,OK
2022,3.04.02,-5.236766e+16,-5.236766e+16,0.0,0.0,OK
2022,3.04.05,-6222360000000000.0,-6222360000000000.0,0.0,0.0,OK
2022,3.04.05.02,-1432700000000000.0,-1432700000000000.0,0.0,0.0,OK
2022,3.04.06,-291060000000000.0,-291060000000000.0,0.0,0.0,OK
2022,3.05,1.765884e+17,1.765884e+17,0.0,0.0,OK
2022,3.06,-3.42317e+16,-3.42317e+16,0.0,0.0,OK
2022,3.06.01,4.469011e+16,4.469011e+16,0.0,0.0,OK
2022,3.06.02,-7.892181e+16,-7.892181e+16,0.0,0.0,OK
2022,3.07,1.423567e+17,1.423567e+17,0.0,0.0,OK
2022,3.08,-6556210000000000.0,-6556210000000000.0,0.0,0.0,OK
