cd_conta_padrao,ds_conta_padrao,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,802128.0,1059525.0,1322073.0,1650200.0,2370629.0,2777575.0,2458416.0,2970185.0,3088179.0,3105675.0,3342866.0,3459015.0,3774957.0,3288865.0,3181564.0,3821647.0,4014481.0,3473514.0,3654948.0,3580115.0,2367614.0,2105580.0,2044103.0,1954226.0
2.01,Passivo Circulante,333520.0,498727.0,688186.0,842160.0,942379.0,714316.0,554801.0,569989.0,709533.0,745626.0,880428.0,1041371.0,1332523.0,1082581.0,1193551.0,1767630.0,1695579.0,1326656.0,1532624.0,1877418.0,2069726.0,827809.0,531015.0,532210.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,22868.0,32277.0,36240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.02,Fornecedores,116629.0,107796.0,124545.0,193827.0,205304.0,259553.0,260073.0,360139.0,445286.0,441795.0,649664.0,538017.0,336048.0,318858.0,367808.0,337288.0,288763.0,234600.0,121078.0,91881.0,75226.0,78494.0,59223.0,117153.0
2.01.03,Obrigações Fiscais,0.0,10316.0,5927.0,10261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.04,Empréstimos e Financiamentos,184650.0,355028.0,449159.0,546849.0,690291.0,407439.0,222130.0,57787.0,91688.0,117951.0,169110.0,99958.0,259160.0,470034.0,639873.0,528240.0,549362.0,454865.0,531788.0,798621.0,1473872.0,458788.0,127173.0,127143.0
2.01.05,Outras Obrigações,32241.0,2719.0,76278.0,54983.0,46784.0,47324.0,72598.0,152063.0,172559.0,185880.0,61654.0,403396.0,737315.0,293689.0,185870.0,902102.0,857454.0,637191.0,879758.0,986916.0,520628.0,290527.0,344619.0,287914.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,294398.0,369248.0,519343.0,635756.0,461998.0,1073392.0,896623.0,1383231.0,1379054.0,1364789.0,1495044.0,1475557.0,1557566.0,1343684.0,1144798.0,1238938.0,1180644.0,1049624.0,1027934.0,665012.0,91011.0,1166765.0,1576614.0,1630292.0
2.02.01,Empréstimos e Financiamentos,191827.0,266393.0,376778.0,529777.0,452711.0,1062258.0,894507.0,1381894.0,1367056.0,1352646.0,1487901.0,1473619.0,1557566.0,1343684.0,1144798.0,1238938.0,1146231.0,1021505.0,1011891.0,654761.0,82945.0,1160878.0,1566576.0,1623645.0
2.02.02,Outras Obrigações,102571.0,102855.0,142565.0,105430.0,8534.0,10196.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34413.0,28119.0,16043.0,10251.0,8066.0,5887.0,10038.0,6011.0
2.02.03,Tributos Diferidos,0.0,0.0,0.0,549.0,753.0,938.0,1132.0,1337.0,11998.0,12143.0,7143.0,1938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
