cd_conta_padrao,ds_conta_padrao,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,0.0,561421.0,661705.0,731885.0,676820.0,620894.0,786558.0,760785.0,786263.0,762977.0,908642.0,973634.0,828605.0,871852.0,1102434.0,1074752.0,969928.0,945870.0,1062852.0
3.02,Custo dos Bens e/ou Serviços Vendidos,0.0,-378438.0,-639079.0,-649232.0,-449679.0,-459557.0,-554795.0,-475080.0,-485230.0,-511530.0,-602778.0,-597420.0,-596064.0,-659192.0,-877228.0,-808229.0,-598996.0,-679298.0,-853295.0
3.03,Resultado Bruto,0.0,182983.0,22626.0,82653.0,227141.0,161337.0,231763.0,285705.0,301033.0,251447.0,305864.0,376214.0,232541.0,212660.0,225206.0,266523.0,370932.0,266572.0,209557.0
3.04,Despesas/Receitas Operacionais,0.0,-46305.0,-56480.0,-261.0,-53990.0,-43291.0,-46522.0,-64292.0,-57787.0,-52779.0,-42724.0,-40708.0,-75565.0,-59547.0,-53710.0,-38705.0,-74282.0,-21127.0,-18814.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,0.0,136678.0,-33854.0,82392.0,173151.0,118046.0,185241.0,221413.0,243246.0,198668.0,263140.0,335506.0,156976.0,153113.0,171496.0,227818.0,296650.0,245445.0,190743.0
3.06,Resultado Financeiro,0.0,-116809.0,-109856.0,-122377.0,-94959.0,-106917.0,-35772.0,-70984.0,-144754.0,-143887.0,-150730.0,-192849.0,-245425.0,-256554.0,-241535.0,-256631.0,-347817.0,-306528.0,-344219.0
3.07,Resultado Antes dos Tributos sobre o Lucro,0.0,19869.0,-143710.0,-39985.0,78192.0,11129.0,149469.0,150429.0,98492.0,54781.0,112410.0,142657.0,-88449.0,-103441.0,-70039.0,-28813.0,-51167.0,-61083.0,-153476.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0,6701.0,573223.0,8466.0,-7269.0,-1824.0,-46901.0,-13078.0,-38117.0,-18870.0,12004.0,-30070.0,-13919.0,-5236.0,-3565.0,-5609.0,-34577.0,-23741.0,-35390.0
3.09,Resultado Líquido das Operações Continuadas,0.0,26570.0,429513.0,-31519.0,70923.0,9305.0,102568.0,137351.0,60375.0,35911.0,124414.0,112587.0,-102368.0,-108677.0,-73604.0,-34422.0,-85744.0,-84824.0,-188866.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,0.0,26570.0,429513.0,-31519.0,70923.0,9305.0,102568.0,137351.0,60375.0,35911.0,124414.0,112587.0,-102368.0,-108677.0,-73604.0,-34422.0,-85744.0,-84824.0,-188866.0
3.99,Lucro por Ação - (Reais / Ação),0.0,0.11249,1.05855,0.0,0.0,-0.02085,0.0823,0.2888127039,0.0,0.01354,0.0885954609,0.2226864719,-0.176609456,-0.2308818179,-0.1769356747,-0.6799416274,-0.1367289644,0.0,0.0
