cd_conta_padrao,ds_conta_padrao,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,11768649.0,12343959.0,13938762.0,14484724.0,11386380.0,11355598.0,11283826.0,11297173.0,10984130.0,10957424.0,11402619.0,11259459.0,11078243.0,10413555.0,10529993.0,10649506.0
2.01,Passivo Circulante,1156862.0,963482.0,1400081.0,1095183.0,983229.0,1010241.0,1173415.0,1166187.0,1284788.0,1782786.0,1618972.0,1668012.0,2471600.0,2471340.0,2322550.0,2438616.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.02,Fornecedores,359913.0,209267.0,271149.0,263885.0,157452.0,135006.0,188058.0,218697.0,210753.0,176042.0,234765.0,202254.0,264250.0,184988.0,233711.0,288800.0
2.01.03,Obrigações Fiscais,89316.0,50120.0,46571.0,74864.0,56354.0,61520.0,65307.0,63778.0,61484.0,54614.0,68364.0,60520.0,60202.0,64317.0,55113.0,57937.0
2.01.04,Empréstimos e Financiamentos,286266.0,258661.0,517834.0,483877.0,546253.0,536844.0,624566.0,614251.0,731385.0,1230071.0,1116869.0,1092072.0,1246464.0,1406119.0,1411244.0,1327750.0
2.01.05,Outras Obrigações,399118.0,423424.0,542414.0,250176.0,199672.0,253031.0,271050.0,262884.0,273912.0,314119.0,190740.0,305714.0,891200.0,806021.0,622482.0,764129.0
2.01.06,Provisões,22249.0,22010.0,22113.0,22381.0,23498.0,23840.0,24434.0,6577.0,7254.0,7940.0,8234.0,7452.0,9484.0,9895.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,5998222.0,6082805.0,7166002.0,7527049.0,6515502.0,6485425.0,6326841.0,6280068.0,5764495.0,5240088.0,5902970.0,5889644.0,4946753.0,4053342.0,4284756.0,3518081.0
2.02.01,Empréstimos e Financiamentos,5280139.0,5099664.0,6275512.0,6354198.0,5454411.0,5443607.0,5124766.0,5161204.0,4789909.0,4304839.0,4907658.0,4893992.0,4580239.0,3703186.0,3768827.0,3019375.0
2.02.02,Outras Obrigações,642303.0,908075.0,815607.0,1098085.0,988283.0,973970.0,1135529.0,1053685.0,908138.0,868836.0,919883.0,918695.0,323261.0,310562.0,106725.0,154408.0
2.02.03,Tributos Diferidos,8632.0,4772.0,2056.0,1650.0,858.0,877.0,1152.0,1191.0,1466.0,1107.0,919.0,985.0,3817.0,0.0,0.0,0.0
2.02.04,Provisões,67148.0,70294.0,72827.0,73116.0,71950.0,66971.0,65394.0,63988.0,64982.0,65306.0,74510.0,75972.0,39436.0,39594.0,409204.0,344298.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,4613565.0,5297672.0,5372679.0,5862492.0,3887649.0,3859932.0,3783570.0,3850918.0,3934847.0,3934550.0,3880677.0,3701803.0,3659890.0,3888873.0,3922687.0,4692809.0
2.03.01,Capital Social Realizado,1768304.0,1768304.0,1768304.0,1768304.0,1799262.0,1799262.0,1799262.0,1799262.0,1799262.0,1799262.0,1799262.0,1823775.0,1823775.0,1823775.0,1983775.0,2833775.0
2.03.02,Reservas de Capital,102192.0,102442.0,102462.0,102477.0,71519.0,71519.0,71519.0,71519.0,71519.0,71519.0,71519.0,47006.0,47006.0,207006.0,47006.0,47006.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,901325.0,901325.0,901325.0,901325.0,512257.0,512257.0,512257.0,512257.0,688468.0,688468.0,688468.0,488468.0,444330.0,444330.0,444330.0,444330.0
2.03.05,Lucros/Prejuízos Acumulados,0.0,56686.0,63806.0,42774.0,0.0,33974.0,55747.0,98206.0,0.0,10173.0,-13946.0,-47122.0,0.0,-10217.0,-28732.0,-34962.0
2.03.06,Ajustes de Avaliação Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392261.0,369683.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,430583.0,420375.0,431156.0,415354.0,346743.0,341595.0,325927.0,321858.0,338084.0,316986.0,299021.0,314840.0,330580.0,375302.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,1411161.0,2048540.0,2105626.0,2632258.0,1157868.0,1101325.0,1018858.0,1047816.0,1037514.0,1048142.0,1036353.0,1074836.0,1014199.0,1048677.0,1084047.0,1032977.0
