cd_conta_padrao,ds_conta_padrao,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receita de Venda de Bens e/ou Serviços,2511746.0,676820.0,620894.0,759781.0,724081.0,686246.0,671778.0,808695.0,852083.0,743303.0,757424.0,948470.0,989295.0,831230.0,855338.0,935249.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-1937650.0,-449679.0,-459557.0,-532021.0,-492500.0,-422478.0,-462407.0,-551646.0,-559371.0,-522034.0,-561135.0,-773957.0,-797179.0,-508765.0,-651256.0,-816860.0
3.03,Resultado Bruto,574096.0,227141.0,161337.0,227760.0,231581.0,263768.0,209371.0,257049.0,292712.0,221269.0,196289.0,174513.0,192116.0,322465.0,204082.0,118389.0
3.04,Despesas/Receitas Operacionais,-146887.0,-48465.0,-37903.0,-41945.0,-37393.0,-38091.0,-38576.0,-39832.0,19932.0,-95703.0,-82683.0,-74784.0,-48763.0,-84499.0,-54496.0,-35136.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,427209.0,178676.0,123434.0,185815.0,194188.0,225677.0,170795.0,217217.0,312644.0,125566.0,113606.0,99729.0,143353.0,237966.0,149586.0,83253.0
3.06,Resultado Financeiro,-457708.0,-94617.0,-106442.0,-40838.0,-77643.0,-137127.0,-127143.0,-115063.0,-158970.0,-115776.0,-122492.0,-113468.0,-99925.0,-206958.0,-132531.0,-62347.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-30499.0,84059.0,16992.0,144977.0,116545.0,88550.0,43652.0,102154.0,153674.0,9790.0,-8886.0,-13739.0,43428.0,31008.0,17055.0,20906.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,547011.0,-7269.0,-1824.0,-45598.0,-10220.0,-20878.0,-6296.0,-808.0,-25958.0,-1268.0,7578.0,6233.0,-14981.0,-17462.0,-9918.0,-6667.0
3.09,Resultado Líquido das Operações Continuadas,516512.0,76790.0,15168.0,99379.0,106325.0,67672.0,37356.0,101346.0,127716.0,8522.0,-1308.0,-7506.0,28447.0,13546.0,7137.0,14239.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,516512.0,76790.0,15168.0,99379.0,106325.0,67672.0,37356.0,101346.0,127716.0,8522.0,-1308.0,-7506.0,28447.0,13546.0,7137.0,14239.0
3.99,Lucro por Ação - (Reais / Ação),0.23364,0.02152,0.42496,0.42496,0.05437,0.0,0.0044007224,0.0146675854,0.0664312996,-0.0010102053,-0.0181658246,-0.0227272165,-0.04668,0.0,0.0,0.0
