cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T3,2015-T4,2016-T1,2016-T3,2016-T4,2017-T1,2017-T3,2017-T4,2018-T1,2018-T3,2018-T4,2019-T1,2019-T3,2019-T4,2020-T1,2020-T3,2020-T4,2021-T1,2021-T3,2021-T4,2022-T1,2022-T3,2022-T4,2023-T1,2023-T3,2023-T4,2024-T1,2024-T3,2024-T4,2025-T1,2025-T3,2025-T4
1,Ativo Total,867511.0,1002152.0,1017840.0,896654.0,852819.0,853529.0,848551.0,885410.0,883293.0,975079.0,1302468.0,1179599.0,1311018.0,1473756.0,1357614.0,1933623.0,2141679.0,2044368.0,2859944.0,3569024.0,3428318.0,3493235.0,3481818.0,3345263.0,3332824.0,3462664.0,3508075.0,3341289.0,3855177.0,3605082.0,3971666.0,3825853.0,3837002.0
1.01,Ativo Circulante,211649.0,423585.0,448837.0,299277.0,275033.0,242594.0,159375.0,183440.0,171102.0,240181.0,396733.0,372279.0,415852.0,464277.0,440827.0,556473.0,662289.0,642464.0,1216497.0,1940569.0,1761206.0,1789857.0,1451774.0,1588564.0,1361363.0,1267924.0,1349500.0,1219715.0,1155166.0,1099490.0,1253482.0,1188400.0,1177848.0
1.01.01,Caixa e Equivalentes de Caixa,34667.0,124334.0,75620.0,90922.0,52326.0,54204.0,18607.0,27012.0,43798.0,16780.0,67834.0,104314.0,54998.0,112461.0,106627.0,72701.0,224169.0,171045.0,387163.0,1192776.0,1059107.0,584255.0,435841.0,435493.0,225043.0,344635.0,383837.0,201151.0,157836.0,170953.0,64111.0,218884.0,142908.0
1.01.02,Aplicações Financeiras,2775.0,154596.0,273258.0,90047.0,115048.0,113559.0,1588.0,3733.0,6972.0,1149.0,23673.0,11215.0,4540.0,4041.0,4038.0,7027.0,0.0,0.0,0.0,0.0,0.0,0.0,55668.0,94870.0,26315.0,34820.0,28205.0,24472.0,22918.0,22941.0,17110.0,17338.0,16908.0
1.01.03,Contas a Receber,63387.0,52265.0,47200.0,31391.0,36420.0,20451.0,29329.0,86746.0,55324.0,67785.0,136226.0,96836.0,83385.0,158578.0,127307.0,152613.0,206630.0,184051.0,233969.0,291808.0,193094.0,441962.0,337105.0,442313.0,354194.0,420563.0,430035.0,368179.0,526833.0,414997.0,494612.0,380380.0,429465.0
1.01.04,Estoques,21110.0,28237.0,32225.0,22431.0,23080.0,22413.0,11400.0,22326.0,22658.0,32075.0,55654.0,69622.0,104875.0,90876.0,97068.0,82128.0,127247.0,138778.0,188536.0,234769.0,265859.0,315374.0,341925.0,289899.0,258305.0,290543.0,213684.0,230971.0,287769.0,233542.0,306984.0,350408.0,293518.0
1.01.05,Ativos Biológicos,68797.0,6283.0,1624.0,29624.0,20023.0,0.0,81047.0,40497.0,38260.0,118583.0,78887.0,61993.0,152234.0,92675.0,99881.0,203635.0,97515.0,115553.0,350127.0,202896.0,210489.0,371162.0,208282.0,264976.0,368828.0,138371.0,216924.0,295212.0,121730.0,210335.0,338406.0,175026.0,265440.0
1.01.06,Tributos a Recuperar,3534.0,5582.0,5412.0,5185.0,7442.0,7470.0,5878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,17379.0,52288.0,13498.0,29677.0,20694.0,24497.0,11526.0,3126.0,4090.0,3809.0,34459.0,28299.0,15820.0,5646.0,5906.0,38369.0,6728.0,33037.0,56702.0,18320.0,32657.0,77104.0,72953.0,61013.0,128678.0,38992.0,76815.0,99730.0,38080.0,46722.0,32259.0,46364.0,29609.0
1.02,Ativo Não Circulante,655862.0,578567.0,569003.0,597377.0,577786.0,610935.0,689176.0,701970.0,712191.0,734898.0,905735.0,807320.0,895166.0,1009479.0,916787.0,1377150.0,1479390.0,1401904.0,1643447.0,1628455.0,1667112.0,1703378.0,2030044.0,1756699.0,1971461.0,2194740.0,2158575.0,2121574.0,2700011.0,2505592.0,2718184.0,2637453.0,2659154.0
1.02.01,Ativo Realizável a Longo Prazo,537000.0,438684.0,454880.0,474521.0,446295.0,495963.0,545484.0,548182.0,554348.0,661416.0,820379.0,721001.0,234328.0,813365.0,806122.0,1134983.0,1275536.0,1177675.0,1442577.0,1441623.0,1469977.0,1508492.0,1732582.0,1502160.0,1661245.0,1881288.0,1837728.0,1804954.0,2175373.0,2062413.0,2185506.0,2120888.0,2139962.0
1.02.02,Investimentos,103046.0,125748.0,99729.0,110060.0,102845.0,102955.0,97825.0,96386.0,101426.0,100.0,89.0,86.0,558217.0,3410.0,1256.0,5719.0,5745.0,5742.0,5943.0,5699.0,5609.0,7698.0,7642.0,7642.0,7642.0,2591.0,2591.0,2591.0,2734.0,2734.0,2734.0,1335.0,1335.0
1.02.03,Imobilizado,12044.0,10514.0,10602.0,8980.0,25344.0,8567.0,44244.0,55849.0,54745.0,72018.0,83949.0,84830.0,101158.0,191093.0,107852.0,230763.0,196655.0,217018.0,193719.0,180117.0,190422.0,186286.0,289076.0,246085.0,301152.0,307812.0,316339.0,310613.0,516931.0,435966.0,524602.0,510181.0,512762.0
1.02.04,Intangível,3772.0,3621.0,3792.0,3816.0,3302.0,3450.0,1623.0,1553.0,1672.0,1364.0,1318.0,1403.0,1463.0,1611.0,1557.0,5685.0,1454.0,1469.0,1208.0,1016.0,1104.0,902.0,744.0,812.0,1422.0,3049.0,1917.0,3416.0,4973.0,4479.0,5342.0,5049.0,5095.0
