data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,10752.0
2010-09-30,T3,3.01.01,Receita,8767.0
2010-09-30,T3,3.01.02,Ganho (Perda) de Valor Justo de Ativos Biológicos e Produtos Agrícolas,1241.0
2010-09-30,T3,3.01.03,Impairment Realizável dos Produtos Agrícolas Após a Colheita,744.0
2010-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-7996.0
2010-09-30,T3,3.03,Resultado Bruto,2756.0
2010-09-30,T3,3.04,Despesas/Receitas Operacionais,-4088.0
2010-09-30,T3,3.04.01,Despesas com Vendas,-12.0
2010-09-30,T3,3.04.02,Despesas Gerais e Administrativas,-4072.0
2010-09-30,T3,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2010-09-30,T3,3.04.04,Outras Receitas Operacionais,0.0
2010-09-30,T3,3.04.05,Outras Despesas Operacionais,-4.0
2010-09-30,T3,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-09-30,T3,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-1332.0
2010-09-30,T3,3.06,Resultado Financeiro,2592.0
2010-09-30,T3,3.06.01,Receitas Financeiras,7849.0
2010-09-30,T3,3.06.02,Despesas Financeiras,-5257.0
2010-09-30,T3,3.07,Resultado Antes dos Tributos sobre o Lucro,1260.0
2010-09-30,T3,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-445.0
2010-09-30,T3,3.08.01,Corrente,0.0
2010-09-30,T3,3.08.02,Diferido,0.0
2010-09-30,T3,3.09,Resultado Líquido das Operações Continuadas,815.0
2010-09-30,T3,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-09-30,T3,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-09-30,T3,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-09-30,T3,3.11,Lucro/Prejuízo Consolidado do Período,815.0
2010-09-30,T3,3.11.01,Atribuído a Sócios da Empresa Controladora,866.0
2010-09-30,T3,3.11.02,Atribuído a Sócios Não Controladores,-51.0
2010-09-30,T3,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-09-30,T3,3.99.01,Lucro Básico por Ação,0.0
2010-09-30,T3,3.99.01.01,ON,0.01
2010-09-30,T3,3.99.02,Lucro Diluído por Ação,0.0
2010-09-30,T3,3.99.02.01,ON,0.01
2010-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,30253.0
2010-12-31,T4,3.01.01,Receita,24962.0
2010-12-31,T4,3.01.02,Ganho (Perda) de Valor Justo de Ativos Biológicos e Produtos Agrícolas,4762.0
