cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,350105.000,132776.000,242681.000,718131.000,290280.000,232205.000,459676.000,1648747.000,1204869.000,1013148.000,1844784.000,2517817.000,3145293.000,1967028.000,3074306.000,3405883.000,2785290.000,1832007.000,2369051.000,2412748.000,1596367.000,1056118.000,1218868.000,741014.000,341203.000,228285.000,440746.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-328324.000,-118056.000,-213538.000,-619984.000,-266065.000,-208347.000,-408760.000,-1419392.000,-927219.000,-1074273.000,-1590035.000,-2087150.000,-2814205.000,-1839291.000,-2627083.000,-2860452.000,-2378874.000,-1856927.000,-2017195.000,-2177995.000,-1523757.000,-1031971.000,-1358444.000,-759876.000,-347369.000,-243401.000,-420506.000
3.03,Resultado Bruto,21781.000,14720.000,29143.000,98147.000,24215.000,23858.000,50916.000,229355.000,277650.000,-61125.000,254749.000,430667.000,331088.000,127737.000,447223.000,545431.000,406416.000,-24920.000,351856.000,234753.000,72610.000,24147.000,-139576.000,-18862.000,-6166.000,-15116.000,20240.000
3.04,Despesas/Receitas Operacionais,-25555.000,-21497.000,-21938.000,-31136.000,-26000.000,-24086.000,-30254.000,-151884.000,-103623.000,-118429.000,-147623.000,-207382.000,-214369.000,-175400.000,-271787.000,-262066.000,-237790.000,-169560.000,-203875.000,-151524.000,-206385.000,-178139.000,-1261529.000,-266497.000,-141074.000,1316003.000,-192565.000
3.04.02,Despesas Gerais e Administrativas,-13974.000,-8988.000,-13898.000,-13637.000,-13874.000,-12990.000,-13943.000,-87497.000,-62953.000,-69996.000,-84724.000,-77787.000,-114202.000,-100646.000,-130536.000,-75063.000,-105430.000,-60161.000,-103541.000,-144652.000,-101833.000,-94112.000,-117762.000,-73928.000,-63929.000,-175747.000,-129414.000
3.04.05,Outras Despesas Operacionais,-1367.000,-90.000,-69.000,1526.000,-9.000,0.000,-23.000,32.000,0.000,0.000,-931.000,931.000,0.000,0.000,-6660.000,-19407.000,-3535.000,-8193.000,52.000,6003.000,10961.000,-9587.000,-194791.000,-134951.000,-8922.000,1524736.000,39451.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-3774.000,-6777.000,7205.000,67011.000,-1785.000,-228.000,20662.000,77471.000,174027.000,-179554.000,107126.000,223285.000,116719.000,-47663.000,175436.000,283365.000,168626.000,-194480.000,147981.000,83229.000,-133775.000,-153992.000,-1401105.000,-285359.000,-147240.000,1300887.000,-172325.000
3.06,Resultado Financeiro,-3485.000,-9821.000,-7017.000,-8014.000,-4820.000,-5355.000,-13141.000,-80174.000,-210071.000,139086.000,-31391.000,-83720.000,-150519.000,-156979.000,-150559.000,-113353.000,0.000,-210001.000,-116019.000,-367825.000,-166125.000,-146307.000,-433903.000,-121033.000,-55219.000,1160564.000,-469641.000
3.06.01,Receitas Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,87550.000,230873.000,55915.000,-374338.000,294866.000,82948.000,0.000,-377814.000,0.000,152345.000,114173.000,333140.000,137453.000,95891.000,89299.000,78232.000,35098.000,1256431.000,22016.000
