codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,607648.46,607648.46,26718736.53,25121522.88,9301420.65,1718169.14,1448352.95,1063992.15
P_L,P/L,Valuation,x,65.8615,14.1498,155.2456,865.0588,-24.417,-0.4737,-0.2178,-0.16
P_VPA,P/VPA,Valuation,x,2.3107,0.5956,18.1244,16.7313,8.1831,-0.9492,-7.8096,-5.7371
EV_EBITDA,EV/EBITDA,Valuation,x,11.8853,8.6779,66.0324,40.8345,28.9224,-1.5357,2.5389,2.1316
EV_EBIT,EV/EBIT,Valuation,x,11.8853,11.662,84.1939,49.2597,49.685,-1.4105,3.4421,2.8898
EV_RECEITA,EV/Receita,Valuation,x,0.5241,0.4261,4.1566,2.243,1.0855,0.6037,1.3679,1.1484
DY,Dividend Yield,Valuation,%,,,,0.1701,0.1086,,,
PAYOUT,Payout,Valuation,%,,,,147.1677,-2.6528,,,
ROE,ROE,Rentabilidade,%,9.2992,11.879,9.5734,1.9456,27.8449,-896.8579,-491.667,-491.667
ROA,ROA,Rentabilidade,%,1.7292,2.6858,2.1638,0.347,4.168,53.2031,119.464,119.464
ROIC,ROIC,Rentabilidade,%,10.1988,4.137,10.1685,14.6256,6.6492,175.2271,60.3004,60.3004
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,4.4099,4.9099,6.2948,5.4929,3.7533,-39.3127,53.8779,53.8779
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,1.6939,2.8968,1.8144,0.2497,3.9077,65.4764,211.6532,211.6532
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.3408,3.9737,1.5318,1.3829,2.556,-0.5882,1.0039,1.0039
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.5667,0.5032,0.4304,0.5865,0.7933,-0.5892,-5.1074,-5.1074
ICJ,ICJ,Endividamento,x,1.5663,2.0612,0.3408,0.3851,0.1588,-1.5567,0.7935,0.7935
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,76.251,92.6793,75.1724,78.5181,94.1393,96.8556,20.2651,20.2651
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.0693,1.0308,1.1121,1.1414,0.9034,0.3478,2.1873,2.1873
LIQ_SECA,Liquidez Seca,Liquidez,x,0.844,0.7571,0.7755,0.9052,0.7668,0.3048,1.7994,1.7994
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1105,1.0398,1.0592,1.0128,0.95,0.447,0.4703,0.4703
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.0209,0.6175,0.9713,1.1697,1.2184,1.2676,0.7905,0.7905
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,77.3213,89.9777,45.2976,32.1225,32.9227,-80.9973,122.6387,122.6387
PME,PME,Eficiência,dias,68.5042,133.1263,103.6986,60.2961,35.8606,17.2387,33.0627,33.0627
NCG_RECEITA,NCG/Receita,Eficiência,%,11.0086,20.6241,12.6748,12.5519,2.2541,-51.5949,36.7729,36.7729
