cd_conta,conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,3056130.0,3308126.0,3633137.0,3715984.0,3746767.0,3946537.0,4150471.0,4528962.0,3966337.0,4194455.0,3737768.0,3688953.0,3681099.0,3581537.0,3462033.0,3395751.0,3469444.0,3637042.0,3429336.0,3480239.0,3434695.0,3335841.0,3775486.0
2.01,Passivo Circulante,1521517.0,1792793.0,2032192.0,2021812.0,2016831.0,1880346.0,2052820.0,2429993.0,1865166.0,1889173.0,1450143.0,1529603.0,1514954.0,1495580.0,1387592.0,1135058.0,1241102.0,1411824.0,1279401.0,1342037.0,1309821.0,1362979.0,1546468.0
2.01.01,Obrigações Sociais e Trabalhistas,39322.0,39694.0,60010.0,56433.0,49102.0,54195.0,56101.0,55424.0,43069.0,45758.0,54004.0,47162.0,47013.0,48460.0,51893.0,51285.0,47095.0,43781.0,58113.0,52234.0,41929.0,40935.0,120825.0
2.01.02,Fornecedores,1221810.0,1544389.0,1776696.0,1783382.0,1803967.0,1635965.0,1798548.0,2124790.0,1553694.0,1542386.0,1170858.0,1171460.0,1139448.0,1128753.0,1000383.0,910129.0,970504.0,1131442.0,1057708.0,1119948.0,1116448.0,1090365.0,1301248.0
2.01.03,Obrigações Fiscais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.04,Empréstimos e Financiamentos,97779.0,96677.0,92192.0,98935.0,81686.0,115782.0,115428.0,165234.0,169288.0,169876.0,168973.0,221185.0,239911.0,260517.0,284709.0,81660.0,137705.0,153580.0,121412.0,123214.0,105950.0,129790.0,72534.0
2.01.05,Outras Obrigações,162606.0,112033.0,103294.0,83062.0,82076.0,74404.0,82743.0,84545.0,99115.0,131153.0,56308.0,89796.0,88582.0,57850.0,50607.0,91984.0,85798.0,83021.0,42168.0,46641.0,45494.0,101889.0,51861.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,558089.0,536486.0,532703.0,563585.0,580574.0,591232.0,574013.0,587252.0,567985.0,800085.0,775431.0,659429.0,650031.0,553562.0,521718.0,661527.0,645397.0,624828.0,623318.0,549216.0,523199.0,473703.0,537301.0
2.02.01,Empréstimos e Financiamentos,402515.0,383346.0,363888.0,344431.0,344793.0,288235.0,288590.0,230607.0,230963.0,465790.0,466167.0,408395.0,408959.0,328430.0,306234.0,462053.0,462565.0,447014.0,430629.0,382514.0,368728.0,320613.0,385005.0
2.02.02,Outras Obrigações,138761.0,142446.0,139736.0,168019.0,174277.0,192122.0,179162.0,187104.0,188899.0,185840.0,164592.0,126604.0,120110.0,105735.0,103245.0,107797.0,106341.0,92969.0,86791.0,87621.0,82290.0,75579.0,69066.0
2.02.03,Tributos Diferidos,12487.0,6384.0,24582.0,48092.0,57473.0,105628.0,100464.0,71474.0,71033.0,77167.0,70600.0,47502.0,42680.0,39309.0,37953.0,17152.0,0.0,3697.0,26925.0,0.0,0.0,0.0,2309.0
2.02.04,Provisões,4326.0,4310.0,4497.0,3043.0,4031.0,5247.0,5797.0,98067.0,77090.0,71288.0,74072.0,76928.0,78282.0,80088.0,74286.0,74525.0,76491.0,81148.0,78973.0,79081.0,72181.0,77511.0,80921.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,976524.0,978847.0,1068242.0,1130587.0,1149362.0,1474959.0,1523638.0,1511717.0,1533186.0,1505197.0,1512194.0,1499921.0,1516114.0,1532395.0,1552723.0,1599166.0,1582945.0,1600390.0,1526617.0,1588986.0,1601675.0,1499159.0,1691717.0
2.03.01,Capital Social Realizado,772741.0,772741.0,786418.0,786418.0,795281.0,998101.0,1021384.0,1021575.0,1021575.0,1021575.0,1021575.0,1021575.0,1021575.0,1021575.0,1021575.0,1021575.0,1021575.0,1024154.0,1025175.0,1026429.0,1028063.0,1028442.0,1029382.0
