data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,196143.0
2020-03-31,T1,6.01.01,Caixa Gerado nas Operações,27635.0
2020-03-31,T1,6.01.01.01,Lucro antes do imposto de renda e contribuição social,2484.0
2020-03-31,T1,6.01.01.02,Depreciação e amortização,13005.0
2020-03-31,T1,6.01.01.03,Provisão para devedores duvidosos,2253.0
2020-03-31,T1,6.01.01.04,Provisão para perdas dos estoques,-654.0
2020-03-31,T1,6.01.01.05,Provisão para demandas judiciais,52.0
2020-03-31,T1,6.01.01.06,Encargos financeiros (partes relacionadas),79.0
2020-03-31,T1,6.01.01.07,Encargos financeiros (empréstimos e financiamentos),6842.0
2020-03-31,T1,6.01.01.08,Encargos financeiros (arrendamento mercantil),3163.0
2020-03-31,T1,6.01.01.09,Resultado de equivalência patrimonial,0.0
2020-03-31,T1,6.01.01.10,Custos incorridos na transação com debêntures,514.0
2020-03-31,T1,6.01.01.11,Provisão com planos de outorga de opção de compra de ações,0.0
2020-03-31,T1,6.01.01.12,Ajustes de indenização contratual,0.0
2020-03-31,T1,6.01.01.13,Resultado pela baixa de ativos,-103.0
2020-03-31,T1,6.01.02,Variações nos Ativos e Passivos,168583.0
2020-03-31,T1,6.01.02.01,Contas a receber,450586.0
2020-03-31,T1,6.01.02.02,Estoques,-99887.0
2020-03-31,T1,6.01.02.03,Tributos a recuperar,-23330.0
2020-03-31,T1,6.01.02.04,Partes relacionadas,589.0
2020-03-31,T1,6.01.02.05,Outros ativos,-34816.0
2020-03-31,T1,6.01.02.06,Fornecedores,-125224.0
2020-03-31,T1,6.01.02.07,Obrigações contratuais com clientes,8229.0
2020-03-31,T1,6.01.02.08,Obrigações trabalhistas,-13905.0
2020-03-31,T1,6.01.02.09,Obrigações tributárias,-1484.0
2020-03-31,T1,6.01.02.10,Adiamento de clientes,3749.0
2020-03-31,T1,6.01.02.11,Partes relacionadas,0.0
2020-03-31,T1,6.01.02.12,Outros passivos,4076.0
2020-03-31,T1,6.01.03,Outros,-75.0
2020-03-31,T1,6.01.03.01,Imposto de renda e contribuição social pagos,-75.0
2020-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-15456.0
2020-03-31,T1,6.02.01,Aquisições de bens do ativo imobilizado e intangível,-17571.0
2020-03-31,T1,6.02.02,Baixa de bens do ativo imobilizado e intangível,115.0
2020-03-31,T1,6.02.03,Aquisição de títulos e valores mobiliários,2000.0
2020-03-31,T1,6.02.04,Aquisição de controlada,0.0
2020-03-31,T1,6.02.05,Recebimento de partes relacionadas,0.0
2020-03-31,T1,6.02.06,Recebimento de dividendos,0.0
2020-03-31,T1,6.02.07,Caixa líquido aquisição de/ourindo da aquisição de controlada,0.0
2020-03-31,T1,6.02.08,Outros,0.0
2020-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-17733.0
2020-03-31,T1,6.03.01,Ingresso de empréstimos e financiamentos,18475.0
2020-03-31,T1,6.03.02,Pagamentos de empréstimos e financiamentos,-20800.0
2020-03-31,T1,6.03.03,Custos incorridos na transação com debêntures,-312.0
2020-03-31,T1,6.03.04,Pagamento de juros de empréstimos e financiamentos,-6670.0
2020-03-31,T1,6.03.05,Pagamento do principal de parcelamento de impostos,0.0
2020-03-31,T1,6.03.06,Pagamento de arrendamento mercantil,-6201.0
2020-03-31,T1,6.03.07,Pagamento de juros de parcelamento de impostos,0.0
2020-03-31,T1,6.03.08,Partes relacionadas,0.0
2020-03-31,T1,6.03.09,Pagamento de partes relacionadas,0.0
2020-03-31,T1,6.03.10,Pagamento de outras contas a pagar,0.0
2020-03-31,T1,6.03.11,Atividades de financiamento com os acionistas - Aumento de capital,0.0
2020-03-31,T1,6.03.12,Atividades de financiamento com os acioinstas - Gasto com emissão de ações,-2225.0
2020-03-31,T1,6.03.13,Atividades de financiamento com os acionistas - Dividendos e JCP pagos,0.0
2020-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,162954.0
2020-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,292268.0
2020-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,455222.0
2020-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,474309.0
2020-06-30,T2,6.01.01,Caixa Gerado nas Operações,80655.0
2020-06-30,T2,6.01.01.01,Lucro antes do imposto de renda e contribuição social,4756.0
2020-06-30,T2,6.01.01.02,Depreciação e amortização,27464.0
2020-06-30,T2,6.01.01.03,Provisão para devedores duvidosos,31324.0
2020-06-30,T2,6.01.01.04,Provisão para perdas dos estoques,-2967.0
2020-06-30,T2,6.01.01.05,Provisão para demandas judiciais,37.0
2020-06-30,T2,6.01.01.06,Encargos financeiros (outras contas a pagar),704.0
2020-06-30,T2,6.01.01.07,Encargos financeiros (partes relacionadas),0.0
2020-06-30,T2,6.01.01.08,Encargos financeiros (empréstimos e financiamentos),12163.0
2020-06-30,T2,6.01.01.09,Encargos financeiros (arrendamento mercantil),6250.0
2020-06-30,T2,6.01.01.10,Resultado de equivalência patrimonial,0.0
2020-06-30,T2,6.01.01.11,Custos incorridos na transação com debêntures,1028.0
2020-06-30,T2,6.01.01.12,Provisão com planos de outorga de opção de compra de ações,0.0
2020-06-30,T2,6.01.01.13,Ajustes de indenização contratual,0.0
2020-06-30,T2,6.01.01.14,Resultado pela baixa de ativos,-104.0
2020-06-30,T2,6.01.02,Variações nos Ativos e Passivos,393622.0
2020-06-30,T2,6.01.02.01,Contas a receber,337325.0
2020-06-30,T2,6.01.02.02,Estoques,-69470.0
2020-06-30,T2,6.01.02.03,Tributos a recuperar,1944.0
2020-06-30,T2,6.01.02.04,Partes relacionadas,-9014.0
2020-06-30,T2,6.01.02.05,Outros ativos,-39210.0
2020-06-30,T2,6.01.02.06,Fornecedores,197356.0
2020-06-30,T2,6.01.02.07,Obrigações contratuais com clientes,-2451.0
2020-06-30,T2,6.01.02.08,Obrigações trabalhistas,-11833.0
2020-06-30,T2,6.01.02.09,Obrigações tributárias,-2517.0
2020-06-30,T2,6.01.02.10,Adiamento de clientes,-11784.0
2020-06-30,T2,6.01.02.11,Partes relacionadas,0.0
2020-06-30,T2,6.01.02.12,Outros passivos,3276.0
2020-06-30,T2,6.01.03,Outros,32.0
2020-06-30,T2,6.01.03.01,Imposto de renda e contribuição social pagos,32.0
2020-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-33156.0
2020-06-30,T2,6.02.01,Aquisições de bens do ativo imobilizado e intangível,-35271.0
2020-06-30,T2,6.02.02,Baixa de bens do ativo imobilizado e intangível,115.0
2020-06-30,T2,6.02.03,Aquisição de títulos e valores mobiliários,2000.0
2020-06-30,T2,6.02.04,Aquisição de controlada,0.0
2020-06-30,T2,6.02.05,Recebimento de partes relacionadas,0.0
2020-06-30,T2,6.02.06,Recebimento de dividendos,0.0
2020-06-30,T2,6.02.07,Caixa líquido aquisição de/ourindo da aquisição de controlada,0.0
2020-06-30,T2,6.02.08,Outros,0.0
2020-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-81892.0
2020-06-30,T2,6.03.01,Ingresso de empréstimos e financiamentos,20206.0
2020-06-30,T2,6.03.02,Pagamentos de empréstimos e financiamentos,-43428.0
2020-06-30,T2,6.03.03,Custos incorridos na transação com debêntures,-322.0
2020-06-30,T2,6.03.04,Pagamento de juros de empréstimos e financiamentos,-12020.0
2020-06-30,T2,6.03.05,Pagamento do principal de parcelamento de impostos,-330.0
2020-06-30,T2,6.03.06,Pagamento de arrendamento mercantil,-12496.0
2020-06-30,T2,6.03.07,Pagamento de juros de parcelamento de impostos,-14.0
2020-06-30,T2,6.03.08,Partes relacionadas,0.0
2020-06-30,T2,6.03.09,Pagamento de partes relacionadas,-25000.0
2020-06-30,T2,6.03.10,Pagamento de juros com partes relacionadas,-579.0
2020-06-30,T2,6.03.11,Pagamento de dividendos,0.0
2020-06-30,T2,6.03.12,Pagamento de outras contas a pagar,0.0
