data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,81228.0
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-18267.0
2015-03-31,T1,3.03,Resultado Bruto,62961.0
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,-5826.0
2015-03-31,T1,3.04.01,Despesas com Vendas,0.0
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-7489.0
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,1208.0
2015-03-31,T1,3.04.04.01,Outras Receitas Operacionais Líquidas,1208.0
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,-339.0
2015-03-31,T1,3.04.05.01,Tributárias,-339.0
2015-03-31,T1,3.04.05.02,Outras Despesas Operacionais Líquidas,0.0
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,794.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,57135.0
2015-03-31,T1,3.06,Resultado Financeiro,-18384.0
2015-03-31,T1,3.06.01,Receitas Financeiras,0.0
2015-03-31,T1,3.06.02,Despesas Financeiras,0.0
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,38751.0
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-6115.0
2015-03-31,T1,3.08.01,Corrente,-3034.0
2015-03-31,T1,3.08.02,Diferido,-3081.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,32636.0
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,32636.0
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,19327.0
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,13309.0
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,0.25
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-03-31,T1,3.99.02.01,ON,0.25
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,79970.0
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-19810.0
2015-06-30,T2,3.03,Resultado Bruto,60160.0
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,96076.0
2015-06-30,T2,3.04.01,Despesas com Vendas,0.0
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-6633.0
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,101198.0
2015-06-30,T2,3.04.04.01,Variação do Valor Justo de Propriedades para Investimento,99714.0
2015-06-30,T2,3.04.04.02,"Outras (Despesas) Receitas Operacionais, Líquidas",1484.0
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,-290.0
2015-06-30,T2,3.04.05.01,Tributárias,-290.0
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,1801.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,156236.0
2015-06-30,T2,3.06,Resultado Financeiro,-16489.0
2015-06-30,T2,3.06.01,Receitas Financeiras,11403.0
2015-06-30,T2,3.06.02,Despesas Financeiras,-27892.0
2015-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,139747.0
2015-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-38239.0
2015-06-30,T2,3.08.01,Corrente,-4720.0
2015-06-30,T2,3.08.02,Diferido,-33519.0
2015-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,101508.0
2015-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,101508.0
2015-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,69484.0
2015-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,32024.0
2015-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2015-06-30,T2,3.99.01.01,ON,0.91
2015-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2015-06-30,T2,3.99.02.01,ON,0.91
2015-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,83435.0
2015-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-19837.0
2015-09-30,T3,3.03,Resultado Bruto,63598.0
2015-09-30,T3,3.04,Despesas/Receitas Operacionais,-6017.0
2015-09-30,T3,3.04.01,Despesas com Vendas,0.0
2015-09-30,T3,3.04.02,Despesas Gerais e Administrativas,-7469.0
2015-09-30,T3,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-09-30,T3,3.04.04,Outras Receitas Operacionais,881.0
2015-09-30,T3,3.04.04.01,Variação do Valor Justo de Propriedades para Investimento,0.0
2015-09-30,T3,3.04.04.02,Outras Receitas Operacionais,881.0
2015-09-30,T3,3.04.05,Outras Despesas Operacionais,-190.0
2015-09-30,T3,3.04.05.01,Despesas Tributárias,0.0
2015-09-30,T3,3.04.06,Resultado de Equivalência Patrimonial,761.0
2015-09-30,T3,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,57581.0
2015-09-30,T3,3.06,Resultado Financeiro,-13467.0
2015-09-30,T3,3.06.01,Receitas Financeiras,12923.0
2015-09-30,T3,3.06.02,Despesas Financeiras,-26390.0
2015-09-30,T3,3.07,Resultado Antes dos Tributos sobre o Lucro,44114.0
2015-09-30,T3,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-8065.0
2015-09-30,T3,3.08.01,Corrente,-7042.0
2015-09-30,T3,3.08.02,Diferido,-1023.0
2015-09-30,T3,3.09,Resultado Líquido das Operações Continuadas,36049.0
2015-09-30,T3,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-09-30,T3,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-09-30,T3,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-09-30,T3,3.11,Lucro/Prejuízo Consolidado do Período,36049.0
2015-09-30,T3,3.11.01,Atribuído a Sócios da Empresa Controladora,21841.0
2015-09-30,T3,3.11.02,Atribuído a Sócios Não Controladores,14208.0
2015-09-30,T3,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-09-30,T3,3.99.01,Lucro Básico por Ação,0.0
2015-09-30,T3,3.99.01.01,ON,0.29
2015-09-30,T3,3.99.02,Lucro Diluído por Ação,0.0
2015-09-30,T3,3.99.02.01,ON,0.29
2016-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,83543.0
2016-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-19810.0
2016-03-31,T1,3.03,Resultado Bruto,63733.0
2016-03-31,T1,3.04,Despesas/Receitas Operacionais,-408.0
2016-03-31,T1,3.04.01,Despesas com Vendas,0.0
2016-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-6922.0
2016-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-03-31,T1,3.04.04,Outras Receitas Operacionais,6473.0
2016-03-31,T1,3.04.04.01,Outras Receitas Operacionais Líquidas,6473.0
2016-03-31,T1,3.04.05,Outras Despesas Operacionais,-778.0
2016-03-31,T1,3.04.05.01,Tributárias,-778.0
2016-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,819.0
2016-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,63325.0
2016-03-31,T1,3.06,Resultado Financeiro,-18664.0
2016-03-31,T1,3.06.01,Receitas Financeiras,0.0
2016-03-31,T1,3.06.02,Despesas Financeiras,0.0
2016-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,44661.0
2016-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-10850.0
2016-03-31,T1,3.08.01,Corrente,-10216.0
2016-03-31,T1,3.08.02,Diferido,-634.0
2016-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,33811.0
2016-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,33811.0
2016-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,18719.0
2016-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,15092.0
2016-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2016-03-31,T1,3.99.01.01,ON,0.24
2016-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2016-03-31,T1,3.99.02.01,ON,0.24
2016-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,82323.0
2016-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-20640.0
2016-06-30,T2,3.03,Resultado Bruto,61683.0
2016-06-30,T2,3.04,Despesas/Receitas Operacionais,26812.0
2016-06-30,T2,3.04.01,Despesas com Vendas,0.0
2016-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-9577.0
2016-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-06-30,T2,3.04.04,Outras Receitas Operacionais,35155.0
2016-06-30,T2,3.04.04.01,Variação do valor justo de porpriedade para investimentos,35558.0
2016-06-30,T2,3.04.04.02,"Outras receitas (despesas) operacionais, líquidas",-403.0
2016-06-30,T2,3.04.05,Outras Despesas Operacionais,-89.0
2016-06-30,T2,3.04.05.01,Tributárias,-89.0
2016-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,1323.0
2016-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,88495.0
2016-06-30,T2,3.06,Resultado Financeiro,-15192.0
2016-06-30,T2,3.06.01,Receitas Financeiras,9225.0
2016-06-30,T2,3.06.02,Despesas Financeiras,-24417.0
2016-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,73303.0
2016-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-17683.0
2016-06-30,T2,3.08.01,Corrente,-6833.0
2016-06-30,T2,3.08.02,Diferido,-10850.0
2016-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,55620.0
2016-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,55620.0
2016-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,3873.0
2016-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,51747.0
2016-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2016-06-30,T2,3.99.01.01,ON,0.05
2016-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2016-06-30,T2,3.99.02.01,ON,0.0
2016-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,83362.0
2016-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-22607.0
2016-09-30,T3,3.03,Resultado Bruto,60755.0
2016-09-30,T3,3.04,Despesas/Receitas Operacionais,-5336.0
2016-09-30,T3,3.04.01,Despesas com Vendas,0.0
2016-09-30,T3,3.04.02,Despesas Gerais e Administrativas,-7189.0
2016-09-30,T3,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-09-30,T3,3.04.04,Outras Receitas Operacionais,1191.0
2016-09-30,T3,3.04.04.01,Variação do valor justo de porpriedade para investimentos,0.0
2016-09-30,T3,3.04.04.02,"Outras receitas (despesas) operacionais, líquidas",1191.0
2016-09-30,T3,3.04.05,Outras Despesas Operacionais,-256.0
2016-09-30,T3,3.04.05.01,Tributárias,-256.0
2016-09-30,T3,3.04.06,Resultado de Equivalência Patrimonial,918.0
2016-09-30,T3,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,55419.0
2016-09-30,T3,3.06,Resultado Financeiro,-15262.0
2016-09-30,T3,3.06.01,Receitas Financeiras,8810.0
2016-09-30,T3,3.06.02,Despesas Financeiras,-24072.0
2016-09-30,T3,3.07,Resultado Antes dos Tributos sobre o Lucro,40157.0
2016-09-30,T3,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-8169.0
2016-09-30,T3,3.08.01,Corrente,-8585.0
2016-09-30,T3,3.08.02,Diferido,416.0
2016-09-30,T3,3.09,Resultado Líquido das Operações Continuadas,31988.0
2016-09-30,T3,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-09-30,T3,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-09-30,T3,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-09-30,T3,3.11,Lucro/Prejuízo Consolidado do Período,31988.0
2016-09-30,T3,3.11.01,Atribuído a Sócios da Empresa Controladora,16270.0
2016-09-30,T3,3.11.02,Atribuído a Sócios Não Controladores,15718.0
2016-09-30,T3,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-09-30,T3,3.99.01,Lucro Básico por Ação,0.0
2016-09-30,T3,3.99.01.01,ON,0.21
2016-09-30,T3,3.99.02,Lucro Diluído por Ação,0.0
2016-09-30,T3,3.99.02.01,ON,0.0
2017-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,85079.0
2017-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-22006.0
2017-03-31,T1,3.03,Resultado Bruto,63073.0
2017-03-31,T1,3.04,Despesas/Receitas Operacionais,-4240.0
2017-03-31,T1,3.04.01,Despesas com Vendas,0.0
2017-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-5746.0
2017-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2017-03-31,T1,3.04.04,Outras Receitas Operacionais,1324.0
2017-03-31,T1,3.04.04.01,Outras Receitas Operacionais Líquidas,1324.0
2017-03-31,T1,3.04.05,Outras Despesas Operacionais,-657.0
2017-03-31,T1,3.04.05.01,Despesas Tributárias,-657.0
2017-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,839.0
2017-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,58833.0
2017-03-31,T1,3.06,Resultado Financeiro,-14825.0
2017-03-31,T1,3.06.01,Receitas Financeiras,0.0
2017-03-31,T1,3.06.02,Despesas Financeiras,0.0
2017-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,44008.0
2017-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-10099.0
2017-03-31,T1,3.08.01,Corrente,-9196.0
2017-03-31,T1,3.08.02,Diferido,-903.0
2017-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,33909.0
2017-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2017-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,33909.0
2017-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,17661.0
2017-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,16248.0
