cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,3864118.0,3658253.0,3950408.0,3763470.0,3675490.0,3776744.0,3690220.0,3782052.0,3734258.0,3708692.0,3640462.0,3853454.0,3773309.0,3678832.0,3891506.0,3980105.0,4208875.0,4322901.0,4361534.0,4522040.0,5253917.0,6651676.0,6086872.0,4814586.0,4846669.0,5067044.0,5337624.0,8031764.0,8887905.0,7627586.0,7909699.0,8499680.0,8127527.0,7766710.0,7902397.0,6327389.0,6478593.0,6555466.0,6619179.0,6839725.0,6381470.0,6194674.0,6236192.0
2.01,Passivo Circulante,1283095.0,1084277.0,1389656.0,1309519.0,1183424.0,1129241.0,994342.0,994530.0,1003419.0,1132862.0,1242896.0,1121505.0,1063643.0,1023122.0,1127551.0,1159610.0,1094750.0,1161302.0,1117295.0,1256495.0,1722095.0,2734830.0,2370756.0,1277051.0,1237745.0,1303770.0,1413976.0,4291317.0,3171372.0,1641134.0,1786141.0,1494762.0,1314393.0,1168828.0,884391.0,985107.0,1079907.0,1196838.0,1251370.0,1349606.0,1442929.0,1346981.0,1302698.0
2.01.01,Obrigações Sociais e Trabalhistas,144250.0,147298.0,201672.0,172530.0,149003.0,159489.0,188868.0,162695.0,172767.0,152247.0,156834.0,131336.0,152480.0,128104.0,177812.0,148432.0,129621.0,150878.0,183796.0,149656.0,160441.0,111776.0,147840.0,116998.0,140827.0,162718.0,186165.0,171375.0,158965.0,143575.0,159549.0,95409.0,113765.0,107583.0,103970.0,73901.0,84684.0,122310.0,157574.0,173259.0,212813.0,162582.0,194643.0
2.01.02,Fornecedores,450647.0,418372.0,488658.0,437636.0,406479.0,394027.0,395325.0,427288.0,364879.0,364178.0,344094.0,388112.0,369146.0,351218.0,456532.0,449069.0,353458.0,390014.0,388715.0,350505.0,294784.0,265948.0,365172.0,464458.0,404844.0,410820.0,478700.0,643731.0,518952.0,584073.0,618201.0,653441.0,451027.0,376750.0,319698.0,395067.0,381324.0,449038.0,459837.0,455388.0,441593.0,488049.0,392487.0
2.01.03,Obrigações Fiscais,45444.0,54427.0,62217.0,47185.0,56072.0,67453.0,71168.0,68840.0,59898.0,43397.0,42726.0,32785.0,28357.0,45130.0,34792.0,44702.0,47350.0,54371.0,54205.0,50952.0,40510.0,65558.0,60173.0,39214.0,46864.0,67348.0,74400.0,36438.0,46070.0,71843.0,63738.0,43568.0,35341.0,33232.0,22657.0,35642.0,40467.0,36116.0,48681.0,79549.0,67255.0,61946.0,56101.0
2.01.04,Empréstimos e Financiamentos,388621.0,328184.0,338581.0,495243.0,402882.0,341133.0,183734.0,209908.0,215688.0,384293.0,562886.0,408941.0,257292.0,282506.0,271559.0,382258.0,360714.0,282976.0,224751.0,176925.0,907390.0,1998602.0,1377130.0,139989.0,168717.0,174350.0,188132.0,107895.0,116640.0,223501.0,361348.0,256176.0,363621.0,333623.0,157547.0,127437.0,221893.0,222726.0,237259.0,251373.0,288987.0,264514.0,243953.0
2.01.05,Outras Obrigações,242983.0,124331.0,282781.0,134891.0,152488.0,136899.0,133708.0,99922.0,173737.0,172261.0,119733.0,145339.0,240154.0,200431.0,177591.0,114878.0,182249.0,261814.0,246597.0,294973.0,300721.0,273948.0,403005.0,502156.0,462776.0,481974.0,478735.0,2972422.0,2001739.0,607795.0,574643.0,439557.0,345721.0,313585.0,277767.0,347322.0,334851.0,351902.0,334172.0,373302.0,416671.0,356709.0,401324.0
2.01.06,Provisões,11150.0,11665.0,15747.0,16057.0,16500.0,17131.0,13637.0,13349.0,15209.0,16486.0,16623.0,14992.0,16214.0,15733.0,9265.0,20271.0,21358.0,21249.0,19231.0,19493.0,18249.0,18998.0,17436.0,14236.0,13717.0,6560.0,7844.0,8236.0,9335.0,10347.0,8662.0,6611.0,4918.0,4055.0,2752.0,5738.0,16688.0,14746.0,13847.0,16735.0,15610.0,13181.0,14190.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,5977.0,0.0,13109.0,7902.0,12528.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351220.0,319671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,527943.0,524955.0,546621.0,522715.0,501537.0,662980.0,654823.0,721773.0,521568.0,335317.0,140786.0,467560.0,473349.0,453989.0,445172.0,350657.0,614488.0,632644.0,641823.0,530953.0,667849.0,995278.0,772199.0,518983.0,471583.0,532315.0,525264.0,273236.0,249337.0,251260.0,261476.0,1245160.0,1300779.0,1286811.0,1626889.0,1614815.0,1616272.0,1460289.0,1410910.0,1453740.0,886119.0,714218.0,632442.0
2.02.01,Empréstimos e Financiamentos,184687.0,177238.0,187639.0,177449.0,168970.0,341302.0,332858.0,382766.0,373194.0,187542.0,0.0,324702.0,341378.0,334920.0,328388.0,230676.0,220331.0,214163.0,207994.0,101825.0,195656.0,500880.0,295012.0,103874.0,75701.0,68002.0,60303.0,2609.0,1848.0,1140.0,19718.0,1019075.0,1018340.0,1017526.0,1365166.0,1358168.0,1350800.0,1193549.0,1136815.0,1172151.0,603210.0,420050.0,413060.0
2.02.02,Outras Obrigações,226626.0,230803.0,244572.0,238386.0,229998.0,227517.0,229798.0,233139.0,48828.0,51603.0,46092.0,44974.0,40605.0,47307.0,29160.0,31506.0,304445.0,328520.0,353787.0,367978.0,410424.0,429999.0,411055.0,346858.0,325892.0,395284.0,397913.0,255443.0,235957.0,238658.0,233501.0,217907.0,274367.0,261075.0,256634.0,251232.0,259626.0,260947.0,268662.0,279115.0,280289.0,286022.0,204723.0
2.02.03,Tributos Diferidos,82781.0,84725.0,85037.0,82868.0,81013.0,72779.0,66705.0,67510.0,62292.0,59445.0,56331.0,55917.0,51328.0,50356.0,69908.0,70603.0,69597.0,69296.0,61816.0,48917.0,48467.0,48016.0,52142.0,51826.0,51453.0,52351.0,50701.0,726.0,756.0,681.0,601.0,522.0,442.0,363.0,284.0,206.0,127.0,74.0,71.0,69.0,67.0,64.0,62.0
2.02.04,Provisões,33849.0,32189.0,29373.0,24012.0,21556.0,21382.0,25462.0,38358.0,37254.0,36727.0,38363.0,41967.0,40038.0,21406.0,17716.0,17872.0,20115.0,20665.0,18226.0,12233.0,13302.0,16383.0,13990.0,16425.0,18537.0,16678.0,16347.0,14458.0,10776.0,10781.0,7656.0,7656.0,7630.0,7847.0,4805.0,5209.0,5719.0,5719.0,5362.0,2405.0,2553.0,8082.0,14597.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,2053080.0,2049021.0,2014131.0,1931236.0,1990529.0,1984523.0,2041055.0,2065749.0,2209271.0,2240513.0,2256780.0,2264389.0,2236317.0,2201721.0,2318783.0,2469838.0,2499637.0,2528955.0,2602416.0,2734592.0,2863973.0,2921568.0,2943917.0,3018552.0,3137341.0,3230959.0,3398384.0,3467211.0,5467196.0,5735192.0,5862082.0,5759758.0,5512355.0,5311071.0,5391117.0,3727467.0,3782414.0,3898339.0,3956899.0,4036379.0,4052422.0,4133475.0,4301052.0
2.03.01,Capital Social Realizado,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,648497.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,3967128.0,3967128.0,3967128.0,3967128.0,3967128.0,3967128.0,3967128.0,3967128.0,3906885.0,3906885.0,3906885.0,3906885.0,3906885.0,3906885.0
2.03.02,Reservas de Capital,92586.0,90733.0,91279.0,95404.0,119294.0,119294.0,119294.0,108551.0,108551.0,108551.0,108551.0,108551.0,108551.0,108551.0,108551.0,108551.0,110261.0,111970.0,113680.0,124546.0,119367.0,125232.0,127733.0,131732.0,135127.0,141718.0,144670.0,149344.0,2604685.0,148587.0,156011.0,165503.0,162534.0,148717.0,150801.0,153466.0,163916.0,172456.0,182538.0,189427.0,191663.0,200665.0,216524.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,1207390.0,1226207.0,1109495.0,1123749.0,1218788.0,1261865.0,1315725.0,1365194.0,1513070.0,1533098.0,1569188.0,1578434.0,1554717.0,1546114.0,1625615.0,1700007.0,902106.0,938228.0,1015489.0,1114731.0,1118707.0,1173050.0,1179128.0,1233450.0,1365105.0,1473635.0,1630470.0,1684646.0,1717565.0,1781805.0,1826926.0,1806113.0,1606545.0,1553692.0,1545599.0,1806113.0,1806113.0,0.0,0.0,90801.0,39258.0,39258.0,39258.0
2.03.05,Lucros/Prejuízos Acumulados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1866356.0,-1841541.0,48385.0,105781.0,0.0,112362.0,200254.0,371556.0
