cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,2061292.000,2208331.000,2488784.000,1992709.000,2432599.000,2144703.000,2178307.000,2286557.000,2440691.000,2326051.000,2325139.000,2344382.000,2576323.000,2650955.000,2767128.000,2815085.000,2975990.000,2908867.000,2921293.000,3034293.000,2832135.000,2690062.000,2744238.000,2723300.000,2644049.000,2706824.000,2607892.000,2750725.000,2832732.000,2653323.000,2569825.000,2586063.000,3162102.000,3587410.000,3557368.000,3489169.000,4020068.000,3418120.000,3145454.000,3008529.000,3367654.000,3278729.000,3256365.000,3370923.000,3423185.000,3338452.000,3617087.000,3582988.000,3104952.000,2911241.000,2666904.000,2479688.000,2453893.000,2376255.000,2063394.000,2010006.000,1904258.000,2044038.000,2018171.000,2130537.000
1.01,Ativo Circulante,1467670.000,1589246.000,1840148.000,1276584.000,1707467.000,1397668.000,1453376.000,1559775.000,1679723.000,1541340.000,1524896.000,1493124.000,1693995.000,1729921.000,1786065.000,1804496.000,1986869.000,1935689.000,1935656.000,2056838.000,1862804.000,1696592.000,1732357.000,1694999.000,1590531.000,1696395.000,1559630.000,1738437.000,1847312.000,1681020.000,1592229.000,1617846.000,1982028.000,1779294.000,1758446.000,1929024.000,2375553.000,1853788.000,1492236.000,1492658.000,1787275.000,1654243.000,1657103.000,1719450.000,1777308.000,1675328.000,1738914.000,1643516.000,1572060.000,1403231.000,1207771.000,978950.000,961733.000,934154.000,623117.000,569416.000,576502.000,570564.000,526997.000,630263.000
1.01.01,Caixa e Equivalentes de Caixa,25287.000,18357.000,27337.000,14508.000,28751.000,24938.000,22380.000,25988.000,45984.000,27863.000,29356.000,21246.000,34698.000,21034.000,23922.000,28773.000,47362.000,28167.000,28465.000,25306.000,45156.000,18785.000,18133.000,14086.000,36041.000,14235.000,14424.000,21294.000,41387.000,24402.000,22194.000,22888.000,0.000,32096.000,210785.000,170072.000,725498.000,251314.000,308885.000,318767.000,526932.000,274338.000,293345.000,275437.000,261974.000,121895.000,255968.000,183281.000,241233.000,200464.000,339717.000,210083.000,92328.000,96886.000,31812.000,31384.000,92052.000,9236.000,10248.000,52179.000
1.01.02,Aplicações Financeiras,515353.000,648557.000,798213.000,267036.000,612903.000,285154.000,265931.000,242875.000,239335.000,92989.000,117662.000,167428.000,223185.000,135189.000,254924.000,364752.000,463318.000,346485.000,467486.000,620022.000,506457.000,412573.000,433682.000,443765.000,383017.000,422408.000,261337.000,369829.000,416147.000,358778.000,215760.000,258639.000,396735.000,235148.000,1081.000,536.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,634538.000,539383.000,603572.000,538425.000,682365.000,568725.000,679996.000,693409.000,878325.000,745066.000,795720.000,734596.000,981626.000,840446.000,859727.000,785239.000,980364.000,808362.000,790454.000,726780.000,831241.000,657412.000,749888.000,663722.000,675857.000,619711.000,646359.000,697286.000,800797.000,595124.000,670070.000,652980.000,750897.000,681220.000,749111.000,761372.000,872491.000,683270.000,465573.000,538372.000,705175.000,562297.000,691093.000,714952.000,860755.000,807963.000,816692.000,732572.000,617050.000,493306.000,404217.000,247641.000,67519.000,57671.000,83233.000,22551.000,29793.000,25910.000,39299.000,23676.000
1.01.04,Estoques,232016.000,316514.000,317069.000,351125.000,281391.000,386472.000,364797.000,431536.000,367580.000,506867.000,418485.000,422059.000,342277.000,596254.000,507736.000,484004.000,372590.000,570475.000,480968.000,459497.000,329607.000,429638.000,333381.000,387015.000,338238.000,412556.000,437564.000,449820.000,418384.000,482165.000,428768.000,375518.000,361299.000,457326.000,437492.000,448973.000,441670.000,537071.000,482815.000,352818.000,274877.000,463687.000,406714.000,431371.000,369329.000,441333.000,373708.000,420376.000,384560.000,392572.000,190222.000,158820.000,145600.000,198782.000,213418.000,288384.000,260101.000,373248.000,303050.000,324336.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,44343.000,36995.000,64721.000,74504.000,80891.000,95243.000,81626.000,105882.000,61398.000,74199.000,73219.000,65826.000,52699.000,65111.000,59293.000,53715.000,51091.000,60811.000,64597.000,70949.000,81815.000,105252.000,102472.000,112997.000,93384.000,105259.000,110917.000,123096.000,98265.000,112975.000,141072.000,214450.000,419258.000,305052.000,291160.000,475872.000,276692.000,287569.000,164948.000,226225.000,180988.000,211392.000,172104.000,174875.000,187258.000,194263.000,197757.000,218199.000,223866.000,207844.000,191776.000,209713.000,114845.000,104140.000,106800.000,126371.000,95445.000,121426.000,140728.000,193475.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,16133.000,29440.000,29236.000,30986.000,21166.000,37136.000,38646.000,60085.000,87101.000,94356.000,90454.000,81969.000,59510.000,71887.000,80463.000,88013.000,72144.000,121389.000,103686.000,154284.000,68528.000,72932.000,94801.000,73414.000,63994.000,122226.000,89029.000,77112.000,72332.000,107576.000,114365.000,93371.000,53839.000,68452.000,68817.000,72199.000,59202.000,94564.000,70015.000,56476.000,99303.000,142529.000,93847.000,122815.000,97992.000,109874.000,94789.000,89088.000,105351.000,109045.000,81839.000,152693.000,541441.000,476675.000,187854.000,100726.000,99111.000,40744.000,33672.000,36597.000
