data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,2832135.0
2015-12-31,T4,2.01,Passivo Circulante,830820.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,67860.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,11087.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,56773.0
2015-12-31,T4,2.01.02,Fornecedores,205439.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,193685.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,11754.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,112338.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,39503.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,4765.0
2015-12-31,T4,2.01.03.01.02,PIS e Cofins a Pagar,23347.0
2015-12-31,T4,2.01.03.01.03,Outras Obrigações Fiscais,11391.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,71583.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,1252.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,364017.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,177617.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,177617.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.01.04.02,Debêntures,181540.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,4860.0
2015-12-31,T4,2.01.05,Outras Obrigações,81166.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,6026.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,6026.0
2015-12-31,T4,2.01.05.02,Outros,75140.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Receita Diferida,3815.0
2015-12-31,T4,2.01.05.02.05,Parcelamento de Tributos,0.0
2015-12-31,T4,2.01.05.02.06,Aluguéis a pagar,22529.0
2015-12-31,T4,2.01.05.02.07,Outras Obrigações,48796.0
2015-12-31,T4,2.01.06,Provisões,0.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2015-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2015-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2015-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2015-12-31,T4,2.01.06.02,Outras Provisões,0.0
