data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,227885.0
2010-12-31,T4,6.01.01,Caixa Gerado nas Operações,445149.0
2010-12-31,T4,6.01.01.01,Lucro Líquido do Exercício,208675.0
2010-12-31,T4,6.01.01.02,Depreciação e Amortização,103355.0
2010-12-31,T4,6.01.01.03,Provisão para Créditos de Liquidação Duvidosa,112044.0
2010-12-31,T4,6.01.01.04,Custo residual do Ativo Imobilizado Baixado,1159.0
2010-12-31,T4,6.01.01.05,Plano de Opção de Compra de Ações,13.0
2010-12-31,T4,6.01.01.06,"Encargos Financeiros e Variação Cambial sobre saldos de Financiamentos, Empréstimos e Obrigações Fis",24241.0
2010-12-31,T4,6.01.01.07,Imposto de Renda e Contribuição Social Diferidos,4115.0
2010-12-31,T4,6.01.01.08,Receita Diferida,-11948.0
2010-12-31,T4,6.01.01.09,Provisão para Riscos,3495.0
2010-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-178798.0
2010-12-31,T4,6.01.02.01,Contas a receber de clientes,-195495.0
2010-12-31,T4,6.01.02.02,Estoques,-84567.0
2010-12-31,T4,6.01.02.03,Impostos a Compensar,-56869.0
2010-12-31,T4,6.01.02.04,Partes Relacionadas,652.0
2010-12-31,T4,6.01.02.05,Depósitos Judiciais,-8717.0
2010-12-31,T4,6.01.02.06,Outros Créditos,-644.0
2010-12-31,T4,6.01.02.07,Fornecedores,45974.0
2010-12-31,T4,6.01.02.08,Impostos a Recolher,116533.0
2010-12-31,T4,6.01.02.09,"Salários, Provisões e Encargos Sociais",11839.0
2010-12-31,T4,6.01.02.10,Partes Relacionadas,132.0
2010-12-31,T4,6.01.02.11,Parcelamento de Tributos,-2950.0
2010-12-31,T4,6.01.02.12,Outras Obrigações,-4686.0
2010-12-31,T4,6.01.03,Outros,-38466.0
2010-12-31,T4,6.01.03.01,Juros Pagos,-13411.0
2010-12-31,T4,6.01.03.02,Imposto de Renda e Contribuição Social Pagos,-25055.0
2010-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-245759.0
2010-12-31,T4,6.02.01,Títulos e Valores Mobiliários,-1734.0
2010-12-31,T4,6.02.02,Aquisição de Imobilizado,-195430.0
2010-12-31,T4,6.02.03,Aquisição de Ativo Intangível,-48575.0
2010-12-31,T4,6.02.04,Participação não controladores,-20.0
2010-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,205602.0
2010-12-31,T4,6.03.01,Captação de financiamentos - terceiros,417447.0
2010-12-31,T4,6.03.02,Pagamento de Obrigação por Arrendamento,-4391.0
2010-12-31,T4,6.03.03,Aumento de Capital,464.0
2010-12-31,T4,6.03.04,Pagamento de Dividendos e Juros sobre Capital Próprio,-110840.0
2010-12-31,T4,6.03.05,Amortização de Financiamentos,-97078.0
2010-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2010-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,187728.0
2010-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,333960.0
2010-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,521688.0
2011-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,84337.0
2011-12-31,T4,6.01.01,Caixa Gerado nas Operações,356418.0
2011-12-31,T4,6.01.01.01,Lucro Líquido do Exercício,177493.0
2011-12-31,T4,6.01.01.02,Depreciação e Amortização,122571.0
2011-12-31,T4,6.01.01.03,Provisão para Créditos de Liquidação Duvidosa,0.0
2011-12-31,T4,6.01.01.04,Custo residual do Ativo Imobilizado Baixado,1417.0
2011-12-31,T4,6.01.01.05,Plano de Opção de Compra de Ações,1156.0
2011-12-31,T4,6.01.01.06,"(Ganho) Perda com Investimentos, líquido",2.0
2011-12-31,T4,6.01.01.07,"Encargos Financeiros e Variação Cambial sobre financiamentos, empréstimos e obrigações fiscais",83905.0
2011-12-31,T4,6.01.01.08,Imposto de Renda e Contribuição Social Diferidos,-10351.0
2011-12-31,T4,6.01.01.09,Receita Diferida,-12000.0
2011-12-31,T4,6.01.01.10,Provisão para Riscos,-7775.0
2011-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-118499.0
2011-12-31,T4,6.01.02.01,Contas a receber de clientes,-47827.0
2011-12-31,T4,6.01.02.02,Estoques,-49375.0
2011-12-31,T4,6.01.02.03,Tributos a Compensar,-29185.0
2011-12-31,T4,6.01.02.04,Partes Relacionadas,0.0
2011-12-31,T4,6.01.02.05,Depósitos Judiciais,3148.0
2011-12-31,T4,6.01.02.06,Outros Créditos,-5033.0
2011-12-31,T4,6.01.02.07,Fornecedores,-29425.0
2011-12-31,T4,6.01.02.08,Tributos a Recolher,41822.0
2011-12-31,T4,6.01.02.09,"Salários, Provisões e Encargos Sociais",-2802.0
2011-12-31,T4,6.01.02.10,Partes Relacionadas,39.0
2011-12-31,T4,6.01.02.11,Parcelamento de Tributos,-15893.0
2011-12-31,T4,6.01.02.12,Aluguéis a pagar,1968.0
2011-12-31,T4,6.01.02.13,Outras Obrigações,14064.0
2011-12-31,T4,6.01.03,Outros,-153582.0
2011-12-31,T4,6.01.03.01,Juros Pagos,-75587.0
2011-12-31,T4,6.01.03.02,Imposto de Renda e Contribuição Social Pagos,-77995.0
2011-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-237068.0
2011-12-31,T4,6.02.01,Títulos e Valores Mobiliários,17971.0
2011-12-31,T4,6.02.02,Aquisição de Imobilizado,-221186.0
2011-12-31,T4,6.02.03,Aquisição de Ativo Intangível,-33853.0
2011-12-31,T4,6.02.04,Participação não controladores,0.0
2011-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,272337.0
2011-12-31,T4,6.03.01,Captação de financiamentos - terceiros,421981.0
2011-12-31,T4,6.03.02,Emissão de Debêntures,650320.0
2011-12-31,T4,6.03.03,Aumento de Capital,0.0
2011-12-31,T4,6.03.04,Pagamento de Dividendos e Juros sobre Capital Próprio,-125968.0
2011-12-31,T4,6.03.05,Pagamento de obrigação por arrendamento,-3199.0
2011-12-31,T4,6.03.06,Amortização de Financiamentos,-670797.0
2011-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2011-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,119606.0
2011-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,521688.0
2011-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,641294.0
2012-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,135831.0
2012-12-31,T4,6.01.01,Caixa Gerado nas Operações,403674.0
2012-12-31,T4,6.01.01.01,Lucro Líquido do Exercício,229914.0
2012-12-31,T4,6.01.01.02,Depreciação e Amortização,143425.0
2012-12-31,T4,6.01.01.03,Provisão para Créditos de Liquidação Duvidosa,0.0
2012-12-31,T4,6.01.01.04,Custo residual do Ativo Imobilizado Baixado,3604.0
