codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-119.2217,-63.216,-111.5846,74.0849,-188.0774,-18.8405,-0.0,-3.9761,-0.4895,1.3224,0.6999,0.5999
P_VPA,P/VPA,Valuation,x,4.0458,5.4994,7.0521,4.9761,11.1927,8.2173,6.517,4.1431,2730.9971,1.8221,0.7434,0.6372
EV_EBITDA,EV/EBITDA,Valuation,x,11.1045,16.7534,27.5395,13.0762,89.9953,-48.9468,88.0916,-33.3131,-8.0365,-223.5054,3.025,2.9322
EV_EBIT,EV/EBIT,Valuation,x,71.7215,637.7178,65.3577,19.5165,249.3223,-30.9787,1606.2646,-13.9365,-6.7751,-24.4802,4.0589,3.9344
EV_RECEITA,EV/Receita,Valuation,x,1.6029,2.0912,2.5436,1.977,5.7895,4.24,3.0549,1.2238,1.1885,0.7655,0.6848,0.6638
DY,Dividend Yield,Valuation,%,0.2666,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,33.748,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,3.1965,8.2616,6.1319,2.9342,9.3882,35.8382,7.2062,68.4881,201.1985,221.5445,1.5779,1.5779
ROA,ROA,Rentabilidade,%,1.2628,3.2141,2.2071,0.9462,3.1289,11.7004,2.1133,15.9121,18.736,14.4917,0.2187,0.2187
ROIC,ROIC,Rentabilidade,%,2.8033,0.4366,4.9033,11.5989,1.9953,-10.1067,0.1441,-9.161,-27.9672,-3.4545,15.1385,15.1385
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,14.4349,12.4824,9.236,15.1188,6.4331,-8.6625,3.4678,-3.6735,-14.7884,-0.3425,22.6378,22.6378
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,1.13,3.0849,2.1018,1.0261,3.8981,20.2016,2.8412,18.8872,31.6356,22.6829,0.3032,0.3032
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.1961,1.1302,2.0584,1.4826,4.282,-4.9658,13.7136,-12.1016,-2.7974,-114.7406,2.3755,2.3755
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.4884,0.3978,0.5697,0.6364,0.5592,0.9278,1.2016,2.3637,1458.1777,1.9222,2.7186,2.7186
ICJ,ICJ,Endividamento,x,0.2661,0.0434,0.6658,2.1013,0.2819,-1.7521,0.0257,-0.7663,-1.1414,-0.1577,0.6664,0.6664
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,33.1509,13.4198,57.9303,36.5421,44.7713,48.8108,44.5234,39.9102,38.793,35.4122,33.9366,33.9366
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.2421,2.1921,1.4497,1.4415,1.5357,1.2215,1.2427,1.0908,0.5913,0.6515,0.7042,0.7042
LIQ_SECA,Liquidez Seca,Liquidez,x,1.8454,1.7259,1.1214,1.1787,1.2502,1.0336,0.9845,0.824,0.5018,0.3576,0.3418,0.3418
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.2859,1.2761,1.2737,1.289,1.2252,1.094,1.1009,0.9293,0.747,0.8423,0.8816,0.8816
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.1175,1.0789,1.0151,0.8741,0.717,0.6353,0.7377,0.8857,0.6708,0.7311,0.701,0.701
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,119.5501,95.8593,115.7967,67.4592,87.2371,65.231,92.7554,46.286,-140.9805,-18.3055,1.2227,1.2227
PME,PME,Eficiência,dias,66.3594,79.0407,100.3641,85.0186,102.519,73.7813,98.9008,81.9815,62.6505,132.1388,164.3768,164.3768
NCG_RECEITA,NCG/Receita,Eficiência,%,26.6797,19.4944,24.2481,21.0436,27.1808,23.5352,29.1637,17.2303,-27.7707,-12.5055,-1.7868,-1.7868
