cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3
2,Passivo Total,16783223.0,16549476.0,17539785.0,20528253.0,18743437.0,18708399.0,19038655.0,20775991.0,21598912.0,24407184.0,25099079.0,27536385.0,26662972.0,26015085.0,26876611.0,28304656.0,32632259.0,30466717.0,32131409.0,33269041.0,33923936.0,35138998.0,40219976.0,47709461.0,44064227.0,43365820.0,43736188.0
2.01,Passivo Circulante,6242325.0,5662008.0,6157579.0,7618062.0,6259402.0,5865089.0,6555351.0,7472811.0,6160673.0,6678949.0,7646258.0,9655087.0,8465642.0,6475659.0,6853386.0,8402748.0,8874362.0,7549925.0,8671601.0,10557822.0,9990601.0,10609776.0,10903227.0,12088056.0,11343080.0,12656228.0,14454996.0
2.01.01,Obrigações Sociais e Trabalhistas,132154.0,127427.0,144439.0,138055.0,131595.0,132165.0,145471.0,113361.0,115434.0,117088.0,114824.0,133211.0,141412.0,145617.0,159582.0,152235.0,145691.0,156515.0,166616.0,172157.0,169777.0,256544.0,243524.0,190227.0,195515.0,231400.0,302039.0
2.01.02,Fornecedores,4104423.0,3553496.0,3886322.0,5316533.0,3890225.0,3612843.0,3887549.0,4546482.0,3213836.0,2141412.0,2919350.0,4466623.0,3401327.0,2814037.0,3641575.0,4973577.0,4698474.0,3520434.0,4373215.0,6031720.0,6007668.0,4961686.0,6270950.0,7093847.0,7129991.0,6409718.0,8029607.0
2.01.03,Obrigações Fiscais,114665.0,148303.0,185519.0,268932.0,189398.0,188055.0,211788.0,306858.0,132040.0,91566.0,126044.0,299189.0,171546.0,208490.0,236674.0,325947.0,161449.0,178062.0,191958.0,351255.0,137736.0,260667.0,159074.0,332832.0,158464.0,479115.0,275687.0
2.01.04,Empréstimos e Financiamentos,1405745.0,1336402.0,1515662.0,1223546.0,1477658.0,1467221.0,1759465.0,1759786.0,2150640.0,3950002.0,4130374.0,4145389.0,4184899.0,2933797.0,2350935.0,2290854.0,3230820.0,3168946.0,3329219.0,2753194.0,2769090.0,4013341.0,3061690.0,2775892.0,2780710.0,4105558.0,4306373.0
2.01.05,Outras Obrigações,127010.0,0.0,44965.0,140364.0,93304.0,109798.0,105209.0,151236.0,132500.0,29604.0,20281.0,120906.0,121028.0,19566.0,14614.0,127749.0,127444.0,23521.0,8228.0,306342.0,73674.0,53029.0,3472.0,376571.0,27186.0,27382.0,30508.0
2.01.06,Provisões,358328.0,371332.0,372483.0,530632.0,477222.0,355007.0,445869.0,595088.0,416223.0,349277.0,335385.0,489769.0,445430.0,354152.0,450006.0,532386.0,510484.0,502447.0,602365.0,943154.0,832656.0,1064509.0,1164517.0,1318687.0,1051214.0,1403055.0,1510782.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,125048.0,8189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,7495597.0,7899727.0,8523552.0,9966586.0,9628685.0,9942065.0,9656105.0,10148048.0,10156423.0,11951886.0,11517989.0,11775037.0,12101165.0,13427922.0,13860291.0,13615783.0,17794312.0,16876870.0,16427513.0,15331346.0,16366131.0,16967124.0,13228843.0,19750829.0,16860775.0,14577367.0,13214497.0
