# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-17 20:36:10
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2012,3.01,323689.000,323689.000,0.000,0.000,OK
2012,3.02,-190502.000,-190502.000,0.000,0.000,OK
2012,3.03,133187.000,133187.000,0.000,0.000,OK
2012,3.04,-98348.000,-98348.000,0.000,0.000,OK
2012,3.04.02,-58455.000,-58455.000,0.000,0.000,OK
2012,3.04.05,-14167.000,-14167.000,0.000,0.000,OK
2012,3.04.05.02,0.000,,,,SEM_ANUAL
2012,3.04.06,0.000,0.000,0.000,0.000,OK
2012,3.05,34839.000,34839.000,0.000,0.000,OK
2012,3.06,-11482.000,-11482.000,0.000,0.000,OK
2012,3.06.01,10261.000,10261.000,0.000,0.000,OK
2012,3.06.02,-21743.000,-21743.000,0.000,0.000,OK
2012,3.07,23357.000,23357.000,0.000,0.000,OK
2012,3.08,146.000,146.000,0.000,0.000,OK
2012,3.09,23503.000,23503.000,0.000,0.000,OK
2012,3.10,0.000,0.000,0.000,0.000,OK
2012,3.11,23503.000,23503.000,0.000,0.000,OK
2012,3.11.01,23503.000,23503.000,0.000,0.000,OK
2012,3.11.02,0.000,0.000,0.000,0.000,OK
2013,3.01,461292.000,461292.000,0.000,0.000,OK
2013,3.02,-255899.000,-255899.000,0.000,0.000,OK
2013,3.03,205393.000,205393.000,0.000,0.000,OK
2013,3.04,-165492.000,-165492.000,0.000,0.000,OK
2013,3.04.02,-135036.000,-135036.000,0.000,0.000,OK
2013,3.04.05,-2994.000,-2994.000,0.000,0.000,OK
2013,3.04.05.02,0.000,,,,SEM_ANUAL
2013,3.04.06,0.000,0.000,0.000,0.000,OK
2013,3.05,39901.000,39901.000,0.000,0.000,OK
2013,3.06,-7983.000,-7983.000,0.000,0.000,OK
2013,3.06.01,20263.000,20263.000,0.000,0.000,OK
2013,3.06.02,-28246.000,-28246.000,0.000,0.000,OK
2013,3.07,31918.000,31918.000,0.000,0.000,OK
2013,3.08,2102.000,2102.000,0.000,0.000,OK
2013,3.09,34020.000,34020.000,0.000,0.000,OK
2013,3.10,0.000,0.000,0.000,0.000,OK
2013,3.11,34020.000,34020.000,0.000,0.000,OK
2013,3.11.01,38360.000,38360.000,0.000,0.000,OK
2013,3.11.02,-4340.000,-4340.000,0.000,0.000,OK
2014,3.01,693506.000,693506.000,0.000,0.000,OK
2014,3.02,-371044.000,-371044.000,0.000,0.000,OK
2014,3.03,322462.000,322462.000,0.000,0.000,OK
2014,3.04,-200900.000,-200900.000,0.000,0.000,OK
2014,3.04.02,-157524.000,-157524.000,0.000,0.000,OK
2014,3.04.05,-38.000,-38.000,0.000,0.000,OK
2014,3.04.05.02,0.000,,,,SEM_ANUAL
2014,3.04.06,0.000,0.000,0.000,0.000,OK
2014,3.05,121562.000,121562.000,0.000,0.000,OK
2014,3.06,16502.000,16502.000,0.000,0.000,OK
2014,3.06.01,45707.000,45707.000,0.000,0.000,OK
2014,3.06.02,-29205.000,-29205.000,0.000,0.000,OK
2014,3.07,138064.000,138064.000,0.000,0.000,OK
2014,3.08,21030.000,21030.000,0.000,0.000,OK
2014,3.09,159094.000,159094.000,0.000,0.000,OK
2014,3.10,0.000,0.000,0.000,0.000,OK
2014,3.11,159094.000,159094.000,0.000,0.000,OK
2014,3.11.01,164897.000,164897.000,0.000,0.000,OK
2014,3.11.02,-5803.000,-5803.000,0.000,0.000,OK
2015,3.01,856620.000,856620.000,0.000,0.000,OK
2015,3.02,-492616.000,-492616.000,0.000,0.000,OK
2015,3.03,364004.000,364004.000,0.000,0.000,OK
2015,3.04,-294333.000,-294333.000,0.000,0.000,OK
2015,3.04.02,-221573.000,-221573.000,0.000,0.000,OK
2015,3.04.05,-5995.000,-5995.000,0.000,0.000,OK
2015,3.04.05.02,0.000,,,,SEM_ANUAL
2015,3.04.06,0.000,0.000,0.000,0.000,OK
2015,3.05,69671.000,69671.000,0.000,0.000,OK
2015,3.06,-11202.000,-11202.000,0.000,0.000,OK
2015,3.06.01,55163.000,55163.000,0.000,0.000,OK
2015,3.06.02,-66365.000,-66365.000,0.000,0.000,OK
2015,3.07,58469.000,58469.000,0.000,0.000,OK
2015,3.08,5734.000,5734.000,0.000,0.000,OK
2015,3.09,64203.000,64203.000,0.000,0.000,OK
2015,3.10,0.000,0.000,0.000,0.000,OK
2015,3.11,64203.000,64203.000,0.000,0.000,OK
2015,3.11.01,64203.000,64203.000,0.000,0.000,OK
2015,3.11.02,0.000,0.000,0.000,0.000,OK
2016,3.01,960434.000,960434.000,0.000,0.000,OK
2016,3.02,-611583.000,-611583.000,0.000,0.000,OK
2016,3.03,348851.000,348851.000,0.000,0.000,OK
2016,3.04,-292762.000,-292762.000,0.000,0.000,OK
2016,3.04.02,-191213.000,-191213.000,0.000,0.000,OK
2016,3.04.05,-26155.000,-26155.000,0.000,0.000,OK
2016,3.04.05.02,0.000,,,,SEM_ANUAL
2016,3.04.06,0.000,0.000,0.000,0.000,OK
2016,3.05,56089.000,56089.000,0.000,0.000,OK
2016,3.06,-36771.000,-36771.000,0.000,0.000,OK
2016,3.06.01,100553.000,100553.000,0.000,0.000,OK
2016,3.06.02,-137324.000,-137324.000,0.000,0.000,OK
2016,3.07,19318.000,19318.000,0.000,0.000,OK
2016,3.08,1527.000,1527.000,0.000,0.000,OK
2016,3.09,20845.000,20845.000,0.000,0.000,OK
2016,3.10,0.000,0.000,0.000,0.000,OK
2016,3.11,20845.000,20845.000,0.000,0.000,OK
2016,3.11.01,20845.000,20845.000,0.000,0.000,OK
2016,3.11.02,0.000,0.000,0.000,0.000,OK
2017,3.01,1045674.000,1045674.000,0.000,0.000,OK
2017,3.02,-646541.000,-646541.000,0.000,0.000,OK
2017,3.03,399133.000,399133.000,0.000,0.000,OK
2017,3.04,-312960.000,-312960.000,0.000,0.000,OK
2017,3.04.02,-228186.000,-228186.000,0.000,0.000,OK
2017,3.04.05,-160.000,-160.000,0.000,0.000,OK
2017,3.04.05.02,0.000,,,,SEM_ANUAL
2017,3.04.06,-404.000,-404.000,0.000,0.000,OK
2017,3.05,86173.000,86173.000,0.000,0.000,OK
2017,3.06,-37854.000,-37854.000,0.000,0.000,OK
2017,3.06.01,38166.000,38166.000,0.000,0.000,OK
2017,3.06.02,-76020.000,-76020.000,0.000,0.000,OK
2017,3.07,48319.000,48319.000,0.000,0.000,OK
2017,3.08,36833.000,36833.000,0.000,0.000,OK
2017,3.09,85152.000,85152.000,0.000,0.000,OK
2017,3.10,0.000,0.000,0.000,0.000,OK
2017,3.11,85152.000,85152.000,0.000,0.000,OK
2017,3.11.01,85152.000,85152.000,0.000,0.000,OK
2017,3.11.02,0.000,0.000,0.000,0.000,OK
2018,3.01,1102457.000,1102457.000,0.000,0.000,OK
2018,3.02,-707141.000,-707141.000,0.000,0.000,OK
2018,3.03,395316.000,395316.000,0.000,0.000,OK
2018,3.04,-356660.000,-356660.000,0.000,0.000,OK
2018,3.04.02,-259260.000,-259260.000,0.000,0.000,OK
2018,3.04.05,1812.000,1812.000,0.000,0.000,OK
2018,3.04.05.02,0.000,,,,SEM_ANUAL
2018,3.04.06,-2548.000,-2548.000,0.000,0.000,OK
2018,3.05,38656.000,38656.000,0.000,0.000,OK
2018,3.06,-34687.000,-34687.000,0.000,0.000,OK
2018,3.06.01,40807.000,40807.000,0.000,0.000,OK
2018,3.06.02,-75494.000,-75494.000,0.000,0.000,OK
2018,3.07,3969.000,3969.000,0.000,0.000,OK
2018,3.08,-1718.000,-1718.000,0.000,0.000,OK
2018,3.09,2251.000,2251.000,0.000,0.000,OK
2018,3.10,0.000,0.000,0.000,0.000,OK
2018,3.11,2251.000,2251.000,0.000,0.000,OK
2018,3.11.01,2251.000,2251.000,0.000,0.000,OK
2018,3.11.02,0.000,0.000,0.000,0.000,OK
2019,3.01,1181499.000,1181499.000,0.000,0.000,OK
2019,3.02,-671584.000,-671584.000,0.000,0.000,OK
2019,3.03,509915.000,509915.000,0.000,0.000,OK
2019,3.04,-389945.000,-389945.000,0.000,0.000,OK
2019,3.04.02,-281898.000,-281898.000,0.000,0.000,OK
2019,3.04.05,4399.000,4399.000,0.000,0.000,OK
2019,3.04.05.02,0.000,,,,SEM_ANUAL
2019,3.04.06,-2463.000,-2463.000,0.000,0.000,OK
2019,3.05,119970.000,119970.000,0.000,0.000,OK
2019,3.06,-126292.000,-126292.000,0.000,0.000,OK
2019,3.06.01,27125.000,27125.000,0.000,0.000,OK
2019,3.06.02,-153417.000,-153417.000,0.000,0.000,OK
2019,3.07,-6322.000,-6322.000,0.000,0.000,OK
2019,3.08,-3271.000,-3271.000,0.000,0.000,OK
2019,3.09,-9593.000,-9593.000,0.000,0.000,OK
2019,3.10,0.000,0.000,0.000,0.000,OK
2019,3.11,-9593.000,-9593.000,0.000,0.000,OK
2019,3.11.01,-9593.000,-9593.000,0.000,0.000,OK
2019,3.11.02,0.000,0.000,0.000,0.000,OK
2020,3.01,1421989.000,1421989.000,0.000,0.000,OK
2020,3.02,-685367.000,-685367.000,0.000,0.000,OK
2020,3.03,736622.000,736622.000,0.000,0.000,OK
2020,3.04,-618443.000,-618443.000,0.000,0.000,OK
2020,3.04.02,-336442.000,-336442.000,0.000,0.000,OK
2020,3.04.05,-111130.000,-111130.000,0.000,0.000,OK
2020,3.04.05.02,0.000,,,,SEM_ANUAL
2020,3.04.06,-3585.000,-3585.000,0.000,0.000,OK
2020,3.05,118179.000,118179.000,0.000,0.000,OK
2020,3.06,-154524.000,-154524.000,0.000,0.000,OK
2020,3.06.01,45585.000,45585.000,0.000,0.000,OK
2020,3.06.02,-200109.000,-200109.000,0.000,0.000,OK
2020,3.07,-36345.000,-36345.000,0.000,0.000,OK
2020,3.08,-4306.000,-4306.000,0.000,0.000,OK
2020,3.09,-40651.000,-40651.000,0.000,0.000,OK
2020,3.10,0.000,0.000,0.000,0.000,OK
2020,3.11,-40651.000,-40651.000,0.000,0.000,OK
2020,3.11.01,-41108.000,-41108.000,0.000,0.000,OK
2020,3.11.02,457.000,457.000,0.000,0.000,OK
2021,3.01,2650805.000,2650805.000,0.000,0.000,OK
2021,3.02,-1249944.000,-1249944.000,0.000,0.000,OK
2021,3.03,1400861.000,1400861.000,0.000,0.000,OK
2021,3.04,-1119717.000,-1119717.000,0.000,0.000,OK
2021,3.04.02,-864273.000,-864273.000,0.000,0.000,OK
2021,3.04.05,54434.000,54434.000,0.000,0.000,OK
2021,3.04.05.02,0.000,,,,SEM_ANUAL
2021,3.04.06,-544.000,-544.000,0.000,0.000,OK
2021,3.05,281144.000,281144.000,0.000,0.000,OK
2021,3.06,-413604.000,-413604.000,0.000,0.000,OK
2021,3.06.01,76051.000,76051.000,0.000,0.000,OK
2021,3.06.02,-489655.000,-489655.000,0.000,0.000,OK
2021,3.07,-132460.000,-132460.000,0.000,0.000,OK
2021,3.08,51132.000,51132.000,0.000,0.000,OK
2021,3.09,-81328.000,-81328.000,0.000,0.000,OK
2021,3.10,0.000,0.000,0.000,0.000,OK
2021,3.11,-81328.000,-81328.000,0.000,0.000,OK
2021,3.11.01,-87665.000,-87665.000,0.000,0.000,OK
2021,3.11.02,6337.000,6337.000,0.000,0.000,OK
2022,3.01,3563231.000,3563231.000,0.000,0.000,OK
2022,3.02,-1508841.000,-1508841.000,0.000,0.000,OK
2022,3.03,2054390.000,2054390.000,0.000,0.000,OK
