data_fim,trimestre,cd_conta,ds_conta,valor_mil
2021-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,-441951.0
2021-09-30,T3,6.01.01,Caixa Gerado nas Operações,120389.0
2021-09-30,T3,6.01.01.01,Lucro antes do imposto de renda e da contribuição social,50159.0
2021-09-30,T3,6.01.01.02,Depreciação e amortização,30918.0
2021-09-30,T3,6.01.01.03,Custo na baixa de ativos vendidos,4855.0
2021-09-30,T3,6.01.01.04,Custo na baixa de ativos sinistrados e desmobilizados,2548.0
2021-09-30,T3,6.01.01.05,Outras movimentações,0.0
2021-09-30,T3,6.01.01.06,Outras receitas operacionais,-1765.0
2021-09-30,T3,6.01.01.07,Perdas de créditos esperados,554.0
2021-09-30,T3,6.01.01.08,Encargos sobre arrendamento direito de uso,951.0
2021-09-30,T3,6.01.01.09,Juros sobre empréstimos e financiamentos,32169.0
2021-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-52170.0
2021-09-30,T3,6.01.02.01,Contas a receber de clientes,-76082.0
2021-09-30,T3,6.01.02.02,Impostos a recuperar,-26657.0
2021-09-30,T3,6.01.02.03,Estoques,-5799.0
2021-09-30,T3,6.01.02.04,Outros ativos,-3823.0
2021-09-30,T3,6.01.02.05,Fornecedores,48754.0
2021-09-30,T3,6.01.02.06,Obrigações trabalhistas e previdenciárias,9540.0
2021-09-30,T3,6.01.02.07,Obrigações tributárias,3353.0
2021-09-30,T3,6.01.02.08,Outras contas a pagar,-848.0
2021-09-30,T3,6.01.02.09,Partes relacionadas,-608.0
2021-09-30,T3,6.01.03,Outros,-510170.0
2021-09-30,T3,6.01.03.01,Juros sobre financiamentos,-28775.0
2021-09-30,T3,6.01.03.02,Juros sobre arrendamento de direito de uso,-951.0
2021-09-30,T3,6.01.03.03,Juros sobre parcelamentos,-15.0
2021-09-30,T3,6.01.03.04,Aquisição de ativos imobilizados,-483122.0
2021-09-30,T3,6.01.03.05,Recebimento pela venda de imobilizado,3069.0
2021-09-30,T3,6.01.03.06,Imposto de renda e contribuição social pagos no exercício,-376.0
2021-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-22170.0
2021-09-30,T3,6.02.01,Aquisição de ativos intangíveis,-503.0
2021-09-30,T3,6.02.02,Aquisição de empresa,-21667.0
2021-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,1271765.0
2021-09-30,T3,6.03.01,Captação de empréstimos e financiamentos,439485.0
2021-09-30,T3,6.03.02,Captação de parcelamentos,0.0
2021-09-30,T3,6.03.03,Aumento de capital,1000523.0
2021-09-30,T3,6.03.04,Pagamento de dividendos,-25928.0
2021-09-30,T3,6.03.05,Pagamento de empréstimos e financiamentos,-131803.0
2021-09-30,T3,6.03.06,Pagamento de arrendamento de direito de uso,-1553.0
2021-09-30,T3,6.03.07,Pagamento de parcelamentos,-79.0
2021-09-30,T3,6.03.08,Gasto na emissão de ações,-8880.0
2021-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,807644.0
