data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,3159000.0
2019-12-31,T4,6.01.01,Caixa Gerado nas Operações,2167000.0
2019-12-31,T4,6.01.01.01,Lucro líquido do período,1060000.0
2019-12-31,T4,6.01.01.02,Imposto de renda diferido,162000.0
2019-12-31,T4,6.01.01.03,Perda (ganho) na alienação do imobilizado e intangível,0.0
2019-12-31,T4,6.01.01.04,Depreciação e amortização,484000.0
2019-12-31,T4,6.01.01.05,Juros e variações monetárias,431000.0
2019-12-31,T4,6.01.01.06,Ajuste a valor presente,0.0
2019-12-31,T4,6.01.01.07,Resultado de equivalencia patrimonial,5000.0
2019-12-31,T4,6.01.01.08,Provisão para demandas judiciais,19000.0
2019-12-31,T4,6.01.01.09,Provisão para baixas e perdas,0.0
2019-12-31,T4,6.01.01.10,Pagamentos baseado em ações,2000.0
2019-12-31,T4,6.01.01.11,Perda estimada em créditos de liquidação duvidosa (Nota 8.1),0.0
2019-12-31,T4,6.01.01.13,Provisão para obsolescência e quebra,5000.0
2019-12-31,T4,6.01.01.14,Outras despesas/receitas operacionais,0.0
2019-12-31,T4,6.01.01.15,Receita a apropriar,0.0
2019-12-31,T4,6.01.01.16,Ganho na baixa de passivo de arrendamento,-1000.0
2019-12-31,T4,6.01.01.18,Ganho na venda de subsidiárias,0.0
2019-12-31,T4,6.01.02,Variações nos Ativos e Passivos,992000.0
2019-12-31,T4,6.01.02.01,Contas a receber,21000.0
2019-12-31,T4,6.01.02.02,Estoques,-153000.0
2019-12-31,T4,6.01.02.03,Tributos a recuperar,-326000.0
2019-12-31,T4,6.01.02.04,Outros Ativos,-106000.0
2019-12-31,T4,6.01.02.05,Partes Relacionadas,-17000.0
2019-12-31,T4,6.01.02.06,Depósitos judiciais,-1000.0
2019-12-31,T4,6.01.02.07,Fornecedores,1671000.0
2019-12-31,T4,6.01.02.08,Salários e encargos sociais,36000.0
2019-12-31,T4,6.01.02.09,Impostos e contr. sociais a recolher,69000.0
