data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,504462.0
2022-12-31,T4,6.01.01,Caixa Gerado nas Operações,504462.0
2022-12-31,T4,6.01.01.01,Prejuízo do período,343776.0
2022-12-31,T4,6.01.01.02,Itens que não afetam caixa,363014.0
2022-12-31,T4,6.01.01.03,Variações no capital de giro,16484.0
2022-12-31,T4,6.01.01.04,Impostos pagos,-209045.0
2022-12-31,T4,6.01.01.05,Outros ativos e passivos,-9767.0
2022-12-31,T4,6.01.02,Variações nos Ativos e Passivos,0.0
2022-12-31,T4,6.01.03,Outros,0.0
2022-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-818670.0
2022-12-31,T4,6.02.01,"Aquisição de imobilizado, líquido",-534271.0
2022-12-31,T4,6.02.02,Resgates de investimentos de curto prazo,0.0
2022-12-31,T4,6.02.03,Investimento líquido em aplicações financeiras,599.0
2022-12-31,T4,6.02.04,Valor recebido pela venda de instalações e equipamentos,150.0
2022-12-31,T4,6.02.05,Aquisição de investimento em empreendimento controlado em conjunto,-285148.0
2022-12-31,T4,6.02.06,Valor recebido da venda de imobilizado,0.0
2022-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,99086.0
2022-12-31,T4,6.03.01,Obtenção de empréstimos,633058.0
2022-12-31,T4,6.03.02,Pagamentos de dividendos,-102334.0
2022-12-31,T4,6.03.03,Valor recebido pelo exercício de opções de ações,-178.0
2022-12-31,T4,6.03.04,Pagamento de empréstimos de curto prazo,-274071.0
2022-12-31,T4,6.03.05,Pagamento de outros passivos,-8274.0
2022-12-31,T4,6.03.06,Pagamento do principal de passivos de arrendamento,-40899.0
2022-12-31,T4,6.03.07,Juros de empréstimos pagos,-82403.0
2022-12-31,T4,6.03.08,Recompra de ações,-47199.0
2022-12-31,T4,6.03.09,Liquidação Swap,21386.0
2022-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,-18722.0
2022-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-233844.0
2022-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,901195.0
2022-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,667351.0
2023-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,620186.0
2023-12-31,T4,6.01.01,Caixa Gerado nas Operações,620186.0
2023-12-31,T4,6.01.01.01,Prejuízo do período,0.0
2023-12-31,T4,6.01.01.02,Itens que não afetam caixa,513655.0
2023-12-31,T4,6.01.01.03,Variações no capital de giro,11769.0
2023-12-31,T4,6.01.01.04,Impostos pagos,-68917.0
2023-12-31,T4,6.01.01.05,Outros ativos e passivos,1799.0
2023-12-31,T4,6.01.01.06,Lucro líquido do exercício para atividades continuadas,161880.0
2023-12-31,T4,6.01.02,Variações nos Ativos e Passivos,0.0
2023-12-31,T4,6.01.03,Outros,0.0
2023-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-489673.0
2023-12-31,T4,6.02.01,"Aquisição de imobilizado, líquido",-482051.0
2023-12-31,T4,6.02.02,Resgates de investimentos de curto prazo,0.0
2023-12-31,T4,6.02.03,Investimento líquido em aplicações financeiras,0.0
2023-12-31,T4,6.02.04,Valor recebido pela venda de instalações e equipamentos,0.0
2023-12-31,T4,6.02.05,Aquisição de investimento em empreendimento controlado em conjunto,0.0
2023-12-31,T4,6.02.06,Valor recebido da venda de imobilizado,0.0
2023-12-31,T4,6.02.07,Investimentos de curto prazo,3112.0
2023-12-31,T4,6.02.08,Aquisição de investimento - Altamira Gold Corp,-10734.0
2023-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,389205.0
2023-12-31,T4,6.03.01,Obtenção de empréstimos,881982.0
2023-12-31,T4,6.03.02,Pagamentos de dividendos,-136113.0
2023-12-31,T4,6.03.03,Valor recebido pelo exercício de opções de ações,1134.0
2023-12-31,T4,6.03.04,Pagamento de empréstimos de curto prazo,-328984.0
2023-12-31,T4,6.03.05,Pagamento de outros passivos,-7208.0
2023-12-31,T4,6.03.06,Pagamento do principal de passivos de arrendamento,-64849.0
2023-12-31,T4,6.03.07,Juros de empréstimos pagos,-127663.0
2023-12-31,T4,6.03.08,Recompra de ações,0.0
2023-12-31,T4,6.03.09,Liquidação Swap,66882.0
2023-12-31,T4,6.03.10,Valor recebido do contrato de royalty (NSR),104024.0
2023-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,-38253.0
2023-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,481465.0
2023-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,667351.0
2023-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,1148816.0
2024-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,1214182.0
2024-12-31,T4,6.01.01,Caixa Gerado nas Operações,1214182.0
2024-12-31,T4,6.01.01.01,Prejuízo do período,0.0
2024-12-31,T4,6.01.01.02,Itens que ajustam o (prejuízo) / lucro do exercício,1646166.0
2024-12-31,T4,6.01.01.03,Variações no capital de giro,-54755.0
2024-12-31,T4,6.01.01.04,Impostos pagos,-97432.0
2024-12-31,T4,6.01.01.05,Outros ativos e passivos circulantes e não circulantes,-130830.0
2024-12-31,T4,6.01.01.06,(Prejuízo) / Lucro líquido do exercício para atividades continuadas,-148967.0
2024-12-31,T4,6.01.02,Variações nos Ativos e Passivos,0.0
2024-12-31,T4,6.01.03,Outros,0.0
2024-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-970662.0
2024-12-31,T4,6.02.01,"Aquisição de imobilizado, líquido",-995366.0
2024-12-31,T4,6.02.02,Resgates de investimentos de curto prazo,0.0
2024-12-31,T4,6.02.03,Investimento líquido em aplicações financeiras,0.0
2024-12-31,T4,6.02.04,Valor recebido pela venda de instalações e equipamentos,0.0
2024-12-31,T4,6.02.05,Aquisição de investimento em empreendimento controlado em conjunto,0.0
2024-12-31,T4,6.02.06,Valor recebido da venda de imobilizado,0.0
2024-12-31,T4,6.02.07,Investimentos de curto prazo,31965.0
2024-12-31,T4,6.02.08,Aquisição de investimento - Altamira Gold Corp,0.0
2024-12-31,T4,6.02.09,Aquisição de investimento - Bluestone Resources,-7261.0
2024-12-31,T4,6.02.10,Caixa advindo da aquisição de controlada incluída na consolidação,0.0
2024-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,74498.0
2024-12-31,T4,6.03.01,Obtenção de empréstimos e debêntures,1798105.0
2024-12-31,T4,6.03.02,Pagamentos de dividendos,-233384.0
2024-12-31,T4,6.03.03,Valor recebido pelo exercício de opções de ações,1047.0
2024-12-31,T4,6.03.04,Pagamento de empréstimos e debêntures,-1048750.0
2024-12-31,T4,6.03.05,Pagamento de outros passivos,-8678.0
2024-12-31,T4,6.03.06,Pagamento do principal de passivos de arrendamento,-92436.0
2024-12-31,T4,6.03.07,Juros de empréstimos e debêntures pagos,-192313.0
2024-12-31,T4,6.03.08,Recompra de ações,0.0
2024-12-31,T4,6.03.09,Liquidação Swap,9313.0
2024-12-31,T4,6.03.10,Valor recebido do contrato de royalty (NSR),0.0
2024-12-31,T4,6.03.11,Taxa de derivativos,-70488.0
