data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,2,Passivo Total,152427122.0
2015-03-31,T1,2.01,Passivo Circulante,22083808.0
2015-03-31,T1,2.01.01,Obrigações Sociais e Trabalhistas,0.0
2015-03-31,T1,2.01.01.01,Obrigações Sociais,0.0
2015-03-31,T1,2.01.01.02,Obrigações Trabalhistas,0.0
2015-03-31,T1,2.01.02,Fornecedores,8701456.0
2015-03-31,T1,2.01.02.01,Fornecedores Nacionais,8671205.0
2015-03-31,T1,2.01.02.02,Fornecedores Estrangeiros,30251.0
2015-03-31,T1,2.01.03,Obrigações Fiscais,1376171.0
2015-03-31,T1,2.01.03.01,Obrigações Fiscais Federais,1376171.0
2015-03-31,T1,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,1176788.0
2015-03-31,T1,2.01.03.01.02,Imposto de renda e contribuição social,199383.0
2015-03-31,T1,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2015-03-31,T1,2.01.03.03,Obrigações Fiscais Municipais,0.0
2015-03-31,T1,2.01.04,Empréstimos e Financiamentos,5869274.0
2015-03-31,T1,2.01.04.01,Empréstimos e Financiamentos,5389098.0
2015-03-31,T1,2.01.04.01.01,Em Moeda Nacional,3119136.0
2015-03-31,T1,2.01.04.01.02,Em Moeda Estrangeira,2269962.0
2015-03-31,T1,2.01.04.02,Debêntures,351446.0
2015-03-31,T1,2.01.04.03,Financiamento por Arrendamento Financeiro,128730.0
2015-03-31,T1,2.01.05,Outras Obrigações,5853133.0
2015-03-31,T1,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-03-31,T1,2.01.05.01.01,Débitos com Coligadas,0.0
2015-03-31,T1,2.01.05.01.03,Débitos com Controladores,0.0
2015-03-31,T1,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-03-31,T1,2.01.05.02,Outros,5853133.0
2015-03-31,T1,2.01.05.02.01,Dividendos e JCP a Pagar,64791.0
2015-03-31,T1,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-03-31,T1,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-03-31,T1,2.01.05.02.04,Empréstimo compulsório,62810.0
2015-03-31,T1,2.01.05.02.05,Adiantamento de clientes,500641.0
2015-03-31,T1,2.01.05.02.06,Conta de consumo de combustível,222152.0
2015-03-31,T1,2.01.05.02.07,Obrigações de ressarcimento,733536.0
2015-03-31,T1,2.01.05.02.08,Previdência complementar,240045.0
2015-03-31,T1,2.01.05.02.09,Encargos Setoriais,1065309.0
2015-03-31,T1,2.01.05.02.10,Concessões a pagar UPB,3358.0
2015-03-31,T1,2.01.05.02.11,Instrumentos financeiros derivativos,33380.0
2015-03-31,T1,2.01.05.02.12,Passivo financeiro - Concessões de Serviços Públicos,0.0
2015-03-31,T1,2.01.05.02.13,Créditos do Tesouro Nacional,0.0
2015-03-31,T1,2.01.05.02.14,Obrigações estimadas,1164666.0
2015-03-31,T1,2.01.05.02.15,Diversos,1762445.0
2015-03-31,T1,2.01.06,Provisões,283774.0
2015-03-31,T1,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2015-03-31,T1,2.01.06.01.01,Provisões Fiscais,0.0
2015-03-31,T1,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2015-03-31,T1,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-03-31,T1,2.01.06.01.04,Provisões Cíveis,0.0
2015-03-31,T1,2.01.06.02,Outras Provisões,283774.0
2015-03-31,T1,2.01.06.02.01,Provisões para Garantias,0.0
2015-03-31,T1,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-03-31,T1,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-03-31,T1,2.01.06.02.04,Provisões para contingências,283774.0
2015-03-31,T1,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2015-03-31,T1,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,2.02,Passivo Não Circulante,72346892.0
2015-03-31,T1,2.02.01,Empréstimos e Financiamentos,39775033.0
2015-03-31,T1,2.02.01.01,Empréstimos e Financiamentos,38176042.0
2015-03-31,T1,2.02.01.01.01,Em Moeda Nacional,26091239.0
2015-03-31,T1,2.02.01.01.02,Em Moeda Estrangeira,12084803.0
2015-03-31,T1,2.02.01.02,Debêntures,418969.0
2015-03-31,T1,2.02.01.03,Financiamento por Arrendamento Financeiro,1180022.0
2015-03-31,T1,2.02.02,Outras Obrigações,21262302.0
2015-03-31,T1,2.02.02.01,Passivos com Partes Relacionadas,0.0
2015-03-31,T1,2.02.02.01.01,Débitos com Coligadas,0.0
2015-03-31,T1,2.02.02.01.03,Débitos com Controladores,0.0
2015-03-31,T1,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-03-31,T1,2.02.02.02,Outros,21262302.0
2015-03-31,T1,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
2015-03-31,T1,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,199073.0
2015-03-31,T1,2.02.02.02.03,Empréstimo compulsório,454739.0
2015-03-31,T1,2.02.02.02.04,Remuneração aos acionistas,0.0
2015-03-31,T1,2.02.02.02.05,Conta de consumo de combustível  - CCC,480564.0
2015-03-31,T1,2.02.02.02.06,Benefício Pós Emprego,2004122.0
2015-03-31,T1,2.02.02.02.07,Adiantamento de clientes,704494.0
2015-03-31,T1,2.02.02.02.08,Concessões a pagar - Uso do Bem Público,60640.0
2015-03-31,T1,2.02.02.02.09,Instrumentos financeiros derivativos,59365.0
2015-03-31,T1,2.02.02.02.10,Incentivos ao desligamento de pessoal,0.0
2015-03-31,T1,2.02.02.02.11,Fornecedor,10169379.0
2015-03-31,T1,2.02.02.02.12,Obrigações de ressarcimento,2580393.0
2015-03-31,T1,2.02.02.02.13,Encargos Setoriais,611119.0
2015-03-31,T1,2.02.02.02.14,Contratos onerosos,1055050.0
2015-03-31,T1,2.02.02.02.15,Obrigação para desmobilização de ativos,1335934.0
2015-03-31,T1,2.02.02.02.16,Créditos do Tesouro Nacional,0.0
2015-03-31,T1,2.02.02.02.17,Outros,1547430.0
