cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,146901000.000,149751700.000,146302320.000,152944842.000,163142432.000,164768886.000,167774958.000,170788053.000,142434213.000,141376150.000,140743041.000,140507886.000,138385398.000,141469428.000,141799731.000,149248155.000,144631697.000,152427122.000,150896328.000,152671980.000,149645408.000,149025438.000,173048005.000,175123258.000,170499427.000,168069589.000,170560636.000,171347517.000,172975359.000,171193661.000,176953702.000,177694951.000,181210208.000,179669572.000,181900440.000,177207066.000,177466715.000,178687500.000,184100486.000,181582941.000,178966449.000,177371873.000,181081007.000,193255081.000,188303069.000,189052112.000,245250868.000,266506129.000,270217462.000,267830877.000,263464041.000,276807009.000,267057654.000,264381201.000,273756616.000,279800195.000,289871330.000,282016140.000,274960124.000,266502447.000
2.01,Passivo Circulante,18369509.000,19311171.000,16259831.000,20671692.000,26124809.000,26434096.000,29854369.000,31468813.000,25334472.000,23929666.000,23002497.000,22887300.000,25734736.000,19701854.000,21800994.000,26648242.000,19284008.000,22083808.000,22287629.000,22549470.000,28099643.000,29179270.000,31264357.000,31379606.000,31138510.000,26258102.000,27599784.000,28050655.000,34186952.000,33806514.000,33372521.000,40688447.000,36523971.000,33346924.000,28495210.000,24809126.000,25638057.000,24621363.000,26458406.000,24695714.000,26400066.000,24497422.000,25742920.000,26600098.000,23883372.000,24166180.000,27243304.000,24699356.000,26440876.000,23640445.000,29840306.000,30912279.000,27159791.000,28793564.000,23205978.000,26759974.000,31630370.000,25059169.000,26812392.000,27308041.000
2.01.01,Obrigações Sociais e Trabalhistas,772071.000,790201.000,916577.000,976050.000,802864.000,863713.000,993020.000,1691632.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.02,Fornecedores,5165765.000,5012160.000,4694222.000,4367881.000,6338102.000,5578769.000,6358561.000,6912737.000,6423074.000,5390687.000,6200403.000,6791596.000,7740578.000,9043771.000,11568255.000,12998277.000,7489134.000,8701456.000,9193038.000,9261489.000,10128507.000,10570799.000,11707981.000,11825064.000,9659301.000,9544132.000,10384842.000,11660751.000,10443752.000,10092342.000,7624072.000,7678269.000,3360550.000,2835319.000,2921077.000,2492690.000,3095469.000,3014621.000,2867793.000,2579083.000,3904051.000,2917065.000,2729385.000,3511594.000,4031532.000,3200908.000,2264077.000,3101127.000,3517173.000,2457181.000,2019798.000,2513438.000,2963867.000,1852650.000,1664506.000,2000911.000,2756329.000,2341803.000,2184699.000,2785590.000
2.01.03,Obrigações Fiscais,1102672.000,970440.000,1181656.000,1210234.000,1032521.000,1066772.000,1257395.000,1450645.000,1128310.000,881881.000,1037928.000,878688.000,854688.000,1042059.000,969686.000,1066956.000,1186306.000,1376171.000,1617209.000,1920551.000,2137922.000,1773366.000,2136422.000,1994813.000,1942937.000,1884887.000,2066966.000,2682331.000,2671537.000,2163840.000,2732756.000,3278294.000,4230123.000,3337144.000,3950725.000,4607179.000,4108390.000,3050523.000,3757356.000,4369444.000,1513477.000,1133867.000,980857.000,936612.000,824109.000,800907.000,1196321.000,629297.000,1271700.000,536297.000,602000.000,1077939.000,1022562.000,711359.000,882964.000,731708.000,1146169.000,980771.000,899111.000,912729.000
2.01.04,Empréstimos e Financiamentos,1988950.000,2175395.000,2537599.000,4121207.000,4887560.000,5466635.000,6499099.000,7043038.000,1500208.000,1363083.000,1362362.000,1693404.000,2164165.000,2688256.000,3321163.000,3988849.000,5331770.000,5869274.000,5996980.000,5944927.000,4714646.000,4781503.000,5186235.000,5781847.000,5982651.000,5888191.000,6020155.000,5467618.000,6214897.000,5375387.000,5214513.000,9536880.000,12255107.000,11567091.000,11393207.000,7666044.000,7934644.000,8245528.000,9041096.000,9045262.000,11628072.000,10839091.000,11382735.000,12089029.000,8444527.000,8393436.000,6466038.000,7235323.000,7749089.000,7371100.000,15102503.000,16165955.000,11374867.000,14512171.000,9913041.000,12789027.000,12809872.000,8750047.000,10944211.000,11210908.000
2.01.05,Outras Obrigações,9082471.000,10048673.000,6604130.000,9682839.000,12823572.000,13252690.000,14539380.000,14163301.000,16254185.000,16265222.000,14379542.000,13500411.000,14951651.000,6902782.000,5871275.000,8565936.000,5244716.000,5853133.000,5135558.000,5021983.000,4952834.000,5907071.000,6524715.000,5998018.000,7295133.000,7925100.000,8026099.000,7063120.000,5707709.000,5646541.000,5652486.000,5723356.000,5451860.000,6395585.000,7648767.000,7403733.000,7775358.000,7797476.000,8127824.000,5803037.000,7631904.000,8274620.000,9312769.000,7895628.000,8147174.000,9375568.000,14794241.000,10232641.000,11023305.000,10780619.000,9608173.000,8614351.000,9233158.000,9369832.000,8618828.000,9174490.000,12932458.000,11061871.000,11972913.000,11596741.000
2.01.06,Provisões,257580.000,314302.000,325647.000,313481.000,240190.000,205517.000,206914.000,207460.000,28695.000,28793.000,22262.000,23201.000,23654.000,24986.000,70615.000,28224.000,32082.000,283774.000,344844.000,400520.000,590725.000,571522.000,675350.000,699213.000,1083475.000,1015792.000,1101722.000,1176835.000,1518387.000,1173661.000,1236726.000,1405181.000,931364.000,837801.000,865628.000,938740.000,1031488.000,847043.000,1013957.000,1237553.000,1722562.000,1332779.000,1337174.000,2167235.000,2267649.000,2225978.000,2350752.000,3329741.000,2709161.000,2495248.000,2474572.000,2540596.000,2290873.000,2118619.000,1927914.000,1929649.000,1791088.000,1786501.000,811458.000,802073.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5575009.000,5575009.000,5033654.000,5080651.000,5175013.000,0.000,0.000,0.000,7630670.000,9354743.000,10911968.000,13066467.000,10294967.000,8373984.000,1715806.000,1700740.000,1692708.000,1666172.000,1650380.000,1661335.000,0.000,0.000,0.000,0.000,168381.000,169383.000,171875.000,171227.000,170448.000,0.000,33260.000,0.000,274464.000,228933.000,198725.000,134189.000,194454.000,138176.000,0.000,0.000
2.02,Passivo Não Circulante,58001081.000,53441123.000,53764179.000,54534957.000,59815302.000,59879329.000,58882614.000,59525794.000,49819148.000,50438484.000,51070070.000,51918789.000,51961754.000,60127100.000,58843517.000,64034332.000,68499189.000,72346892.000,72061190.000,77869583.000,79806543.000,82049236.000,91003251.000,92424832.000,95295992.000,95945222.000,96734049.000,96464884.000,96035875.000,94711727.000,98152595.000,93276938.000,88677289.000,88883081.000,90615122.000,88859764.000,80434512.000,82541503.000,81336698.000,80517867.000,78815089.000,79799966.000,79820106.000,90221846.000,88002933.000,85765217.000,110985867.000,129961328.000,132747950.000,133173091.000,122159331.000,132720934.000,127433219.000,122872459.000,136320512.000,131653268.000,136241184.000,135379289.000,129392910.000,129854004.000
