codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,18318356.44,16424597.61,8333311.36,8032652.81,8002575.63,7733594.54,23063337.19,20526987.06,25177023.87,46238385.9,48078149.95,52219847.21,86412705.2,97163644.3,85164204.36,124928175.68,124928175.68
P_L,P/L,Valuation,x,6.342,3.4517,-0.666,-0.8901,-1.9724,-0.3881,6.5374,-11.287,1.8282,4.2203,7.1798,7.8699,22.2415,19.607,6.9254,-19.549,-19.549
P_VPA,P/VPA,Valuation,x,0.2296,0.1682,0.0686,0.0923,0.1028,0.139,0.5212,0.4556,0.4357,0.6351,0.6218,0.5884,0.7288,0.7662,0.5893,1.0753,1.0753
EV_EBITDA,EV/EBITDA,Valuation,x,6.3442,7.3238,-3.7173,-7.8464,-54.2686,-5.2811,3.1416,8.6224,3.6239,7.9317,6.3283,4.7697,11.5494,7.9889,4.1623,12.5379,12.5379
EV_EBIT,EV/EBIT,Valuation,x,7.9838,9.1941,-3.0977,-6.2088,-21.8477,-3.7516,3.4643,11.6467,3.9611,9.6283,9.0714,6.035,15.5737,10.0959,5.63,35.8189,35.8189
EV_RECEITA,EV/Receita,Valuation,x,1.1813,1.2864,0.6228,1.1434,1.4134,1.4441,1.0238,1.5353,2.9005,2.9343,2.6903,2.0938,3.5288,3.7305,3.1174,3.9284,3.9284
DY,Dividend Yield,Valuation,%,45.1463,56.2918,158.4755,130.5318,125.0929,125.9677,31.8258,37.5279,29.9557,18.699,18.4879,18.8556,14.6689,14.4686,17.3539,10.6107,10.6107
PAYOUT,Payout,Valuation,%,286.318,194.3014,-105.5446,-116.1853,-246.7392,-48.8821,208.0581,-423.5784,54.7639,78.9152,132.7401,148.3912,326.2575,283.6859,120.1829,-207.4278,-207.4278
ROE,ROE,Rentabilidade,%,3.6197,5.093,-9.5868,-9.8326,-5.041,-30.3357,8.1891,-3.9754,27.0299,16.8659,8.8013,7.6097,3.8821,3.9329,8.8549,-5.2136,-5.2136
ROA,ROA,Rentabilidade,%,1.7379,2.4268,-4.5328,-4.4807,-2.0935,-10.163,2.1948,-1.0048,7.5371,5.9908,3.584,3.1114,1.587,1.636,3.7279,-2.2019,-2.2019
ROIC,ROIC,Rentabilidade,%,3.33,2.9552,-6.2775,-4.0359,-1.4099,-10.2129,14.2424,4.0998,11.6876,5.2358,5.478,8.366,3.5178,5.8875,9.059,2.0317,2.0317
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,18.6198,17.5639,-16.7527,-14.5719,-2.6044,-27.3452,32.5886,17.806,80.0392,36.995,42.5112,43.8983,30.5541,46.6963,74.8947,31.332,31.332
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,8.5629,11.3789,-17.5161,-22.3206,-9.7951,-45.8858,5.7833,-4.5562,53.4422,38.7507,21.9642,15.1893,10.6778,11.8272,25.8346,-14.1052,-14.1052
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,3.0444,4.4954,-2.4592,-5.8907,-44.1092,-4.4133,1.9767,5.5787,2.3644,3.4238,2.4393,1.6073,3.2493,2.3892,1.3324,3.1871,3.1871
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.2396,0.3381,0.2421,0.3987,0.6112,0.9422,0.8881,0.88,0.8439,0.4919,0.4089,0.3473,0.3047,0.3686,0.3287,0.3894,0.3894
ICJ,ICJ,Endividamento,x,1.18,1.1484,-2.1466,-1.5061,-0.4337,-0.6384,1.0467,0.4827,1.8844,0.9667,0.7984,1.5363,0.7386,0.8419,1.4248,0.2418,0.2418
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,5.6903,10.7772,5.2357,6.2246,12.8088,9.7788,12.7314,13.3166,21.9558,16.1579,24.1973,18.7994,12.9454,18.6482,16.9397,15.8266,15.8266
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.766,1.4034,1.6527,1.5186,1.5843,1.0476,0.9401,1.0928,1.2826,1.5882,1.7118,1.6641,1.8768,1.7681,2.0376,1.9179,1.9179
LIQ_SECA,Liquidez Seca,Liquidez,x,1.7292,1.3748,1.6208,1.4813,1.54,1.0108,0.9081,1.0652,1.2582,1.5488,1.6763,1.6174,1.8605,1.7524,2.0237,1.9036,1.9036
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.2208,1.1983,1.2915,1.1602,1.0484,0.9009,0.9206,0.8873,0.9601,1.0783,1.1066,1.093,0.7633,0.7645,0.8528,0.8018,0.8018
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.203,0.2027,0.2776,0.2037,0.2091,0.2178,0.3563,0.219,0.1378,0.1562,0.1625,0.1998,0.1261,0.1391,0.1386,0.16,0.16
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-334.7522,-379.4065,-332.1509,-515.3743,-93.6243,-146.9768,-166.2859,-178.1293,-82.9872,-27.6681,-60.215,-39.0062,-19.4416,1.5664,15.3281,9.9413,9.9413
PME,PME,Eficiência,dias,57.0991,57.0555,53.0629,79.2969,18.8062,21.9099,22.1324,22.1146,57.9251,53.6802,42.4411,33.573,9.7462,8.226,7.1774,5.8358,5.8358
NCG_RECEITA,NCG/Receita,Eficiência,%,-6.6806,-11.5588,14.3452,17.5119,32.1311,-8.6894,-6.1601,0.8982,56.1545,32.5542,43.0543,15.7595,14.3808,34.1721,25.1515,18.8114,18.8114
