data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,1,Ativo Total,166971.0
2015-12-31,T4,1.01,Ativo Circulante,112022.0
2015-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,9853.0
2015-12-31,T4,1.01.01.01,Caixa e Bancos,567.0
2015-12-31,T4,1.01.01.02,Aplicações Financeiras,9286.0
2015-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2015-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-12-31,T4,1.01.03,Contas a Receber,92248.0
2015-12-31,T4,1.01.03.01,Clientes,79251.0
2015-12-31,T4,1.01.03.01.01,Duplicatas a Receber,14652.0
2015-12-31,T4,1.01.03.01.02,Serviços Executados a Faturar,64599.0
2015-12-31,T4,1.01.03.02,Outras Contas a Receber,12997.0
2015-12-31,T4,1.01.03.02.01,Devedores Venda de Imóveis e Outros Créditos,7591.0
2015-12-31,T4,1.01.03.02.02,Adiantamento a Fornecedores,5406.0
2015-12-31,T4,1.01.04,Estoques,8927.0
2015-12-31,T4,1.01.04.01,Material de Construção Revenda,4776.0
2015-12-31,T4,1.01.04.02,Material de Revenda,0.0
2015-12-31,T4,1.01.04.03,Estoque de Imóveis,4151.0
2015-12-31,T4,1.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.01.06,Tributos a Recuperar,0.0
2015-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,0.0
2015-12-31,T4,1.01.07,Despesas Antecipadas,994.0
2015-12-31,T4,1.01.08,Outros Ativos Circulantes,0.0
2015-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.01.08.03,Outros,0.0
2015-12-31,T4,1.02,Ativo Não Circulante,54949.0
2015-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,20325.0
2015-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-12-31,T4,1.02.01.03,Contas a Receber,1380.0
2015-12-31,T4,1.02.01.03.01,Clientes,0.0
2015-12-31,T4,1.02.01.03.02,Outras Contas a Receber,1380.0
2015-12-31,T4,1.02.01.04,Estoques,9561.0
2015-12-31,T4,1.02.01.04.01,Estoque de Imóveis,9561.0
2015-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.02.01.06,Tributos Diferidos,9384.0
2015-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,1682.0
2015-12-31,T4,1.02.01.06.02,Créditos Fiscais - Prejuízo Fiscal,7702.0
2015-12-31,T4,1.02.01.07,Despesas Antecipadas,0.0
2015-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,0.0
