data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-01,T4,1,Ativo Total,153548.0
2010-12-01,T4,1.01,Ativo Circulante,106739.0
2010-12-01,T4,1.01.01,Caixa e Equivalentes de Caixa,1117.0
2010-12-01,T4,1.01.02,Aplicações Financeiras,9631.0
2010-12-01,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,9631.0
2010-12-01,T4,1.01.02.01.01,Títulos para Negociação,0.0
2010-12-01,T4,1.01.02.01.02,Títulos Disponíveis para Venda,9631.0
2010-12-01,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-01,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-01,T4,1.01.03,Contas a Receber,78781.0
2010-12-01,T4,1.01.03.01,Clientes,78781.0
2010-12-01,T4,1.01.03.01.01,Duplicatas a Receber,7287.0
2010-12-01,T4,1.01.03.01.02,Serviços Executados a Faturar,71494.0
2010-12-01,T4,1.01.03.02,Outras Contas a Receber,0.0
2010-12-01,T4,1.01.04,Estoques,11540.0
2010-12-01,T4,1.01.04.01,Material de Construção e Peças de Manutenção,2699.0
2010-12-01,T4,1.01.04.02,Material de Revenda,209.0
2010-12-01,T4,1.01.04.03,Estoques de Imóveis,8632.0
2010-12-01,T4,1.01.05,Ativos Biológicos,0.0
2010-12-01,T4,1.01.06,Tributos a Recuperar,0.0
2010-12-01,T4,1.01.06.01,Tributos Correntes a Recuperar,0.0
2010-12-01,T4,1.01.07,Despesas Antecipadas,528.0
2010-12-01,T4,1.01.08,Outros Ativos Circulantes,5142.0
2010-12-01,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2010-12-01,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2010-12-01,T4,1.01.08.03,Outros,5142.0
2010-12-01,T4,1.01.08.03.02,Impostos a Recuperar e Outros Créditos,3607.0
2010-12-01,T4,1.01.08.03.03,Depósitos Judiciais,1535.0
2010-12-01,T4,1.02,Ativo Não Circulante,46809.0
