# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-17 20:15:21
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2010,3.01,327356.000,327356.000,0.000,0.000,OK
2010,3.02,-278030.000,-278030.000,0.000,0.000,OK
2010,3.03,49326.000,49326.000,0.000,0.000,OK
2010,3.04,-18410.000,-18410.000,0.000,0.000,OK
2010,3.04.02,-13618.000,-13618.000,0.000,0.000,OK
2010,3.04.05,0.000,0.000,0.000,0.000,OK
2010,3.04.05.02,0.000,,,,SEM_ANUAL
2010,3.04.06,0.000,0.000,0.000,0.000,OK
2010,3.05,30916.000,30916.000,0.000,0.000,OK
2010,3.06,-7415.000,-7415.000,0.000,0.000,OK
2010,3.06.01,1518.000,1518.000,0.000,0.000,OK
2010,3.06.02,-8933.000,-8933.000,0.000,0.000,OK
2010,3.07,23501.000,23501.000,0.000,0.000,OK
2010,3.08,-7324.000,-7324.000,0.000,0.000,OK
2010,3.09,16177.000,16177.000,0.000,0.000,OK
2010,3.10,0.000,0.000,0.000,0.000,OK
2010,3.11,16177.000,16177.000,0.000,0.000,OK
2010,3.11.01,16169.000,16169.000,0.000,0.000,OK
2010,3.11.02,8.000,8.000,0.000,0.000,OK
2011,3.01,187672.000,187672.000,0.000,0.000,OK
2011,3.02,-161193.000,-161193.000,0.000,0.000,OK
2011,3.03,26479.000,26479.000,0.000,0.000,OK
2011,3.04,-19025.000,-19025.000,0.000,0.000,OK
2011,3.04.02,-14826.000,-14826.000,0.000,0.000,OK
2011,3.04.05,0.000,0.000,0.000,0.000,OK
2011,3.04.05.02,0.000,,,,SEM_ANUAL
2011,3.04.06,0.000,0.000,0.000,0.000,OK
2011,3.05,7454.000,7454.000,0.000,0.000,OK
2011,3.06,193.000,193.000,0.000,0.000,OK
2011,3.06.01,5473.000,5473.000,0.000,0.000,OK
2011,3.06.02,-5280.000,-5280.000,0.000,0.000,OK
2011,3.07,7647.000,7647.000,0.000,0.000,OK
2011,3.08,433.000,433.000,0.000,0.000,OK
2011,3.09,8080.000,8080.000,0.000,0.000,OK
2011,3.10,0.000,0.000,0.000,0.000,OK
2011,3.11,8080.000,8080.000,0.000,0.000,OK
2011,3.11.01,8077.000,8077.000,0.000,0.000,OK
2011,3.11.02,3.000,3.000,0.000,0.000,OK
2012,3.01,218242.000,218242.000,0.000,0.000,OK
2012,3.02,-194175.000,-194175.000,0.000,0.000,OK
2012,3.03,24067.000,24067.000,0.000,0.000,OK
2012,3.04,-12620.000,-12620.000,0.000,0.000,OK
2012,3.04.02,-15969.000,-15969.000,0.000,0.000,OK
2012,3.04.05,0.000,0.000,0.000,0.000,OK
2012,3.04.05.02,0.000,,,,SEM_ANUAL
2012,3.04.06,0.000,0.000,0.000,0.000,OK
2012,3.05,11447.000,11447.000,0.000,0.000,OK
2012,3.06,-5239.000,-5239.000,0.000,0.000,OK
2012,3.06.01,911.000,911.000,0.000,0.000,OK
2012,3.06.02,-6150.000,-6150.000,0.000,0.000,OK
2012,3.07,6208.000,6208.000,0.000,0.000,OK
2012,3.08,2588.000,2588.000,0.000,0.000,OK
2012,3.09,8796.000,8796.000,0.000,0.000,OK
2012,3.10,0.000,0.000,0.000,0.000,OK
2012,3.11,8796.000,8796.000,0.000,0.000,OK
2012,3.11.01,8793.000,8793.000,0.000,0.000,OK
2012,3.11.02,3.000,3.000,0.000,0.000,OK
