cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,854853.0,812393.0,883125.0,853948.0,907567.0,881837.0,923068.0,907148.0,969269.0,967789.0,912656.0,1049899.0,1072759.0,1056304.0,1110961.0,1045032.0,1332591.0,1304115.0,1391641.0,1413249.0,1905180.0,1730692.0,1788268.0,2832545.0,2835631.0,2755405.0,3125244.0,3366326.0,4024213.0,4194407.0,4436421.0,4659264.0,5131922.0,5435063.0,5634418.0,5975904.0,5723547.0,6002810.0,14906271.0,15253545.0,15343081.0,15516832.0,15516275.0
1.01,Ativo Circulante,668561.0,628169.0,683153.0,658203.0,707625.0,679511.0,719074.0,706229.0,769656.0,767569.0,712162.0,855237.0,875500.0,842426.0,891852.0,842001.0,928010.0,877448.0,949191.0,980665.0,1416747.0,1276801.0,1344102.0,1564868.0,1523157.0,1340793.0,1495473.0,1646786.0,2109403.0,2192913.0,2291856.0,2383445.0,2691016.0,2771139.0,2683764.0,2915054.0,2676632.0,2843934.0,6607911.0,6831683.0,7051622.0,6865973.0,6874456.0
1.01.01,Caixa e Equivalentes de Caixa,7536.0,5025.0,4788.0,8822.0,3210.0,9607.0,7155.0,5020.0,8674.0,7695.0,4920.0,10156.0,8292.0,17464.0,3390.0,8501.0,5691.0,7842.0,7657.0,13808.0,7597.0,12965.0,13502.0,38297.0,222598.0,69625.0,49047.0,33750.0,106747.0,81682.0,74933.0,28826.0,83603.0,73466.0,60699.0,73316.0,53035.0,53885.0,162438.0,181160.0,135961.0,177365.0,174943.0
1.01.02,Aplicações Financeiras,202613.0,171286.0,188698.0,216940.0,245948.0,214157.0,214436.0,237824.0,284023.0,302420.0,213334.0,327764.0,325046.0,265708.0,280355.0,227300.0,294064.0,249293.0,267687.0,263875.0,611584.0,552654.0,552743.0,522868.0,348148.0,316296.0,248158.0,228809.0,603562.0,633565.0,471189.0,447608.0,699465.0,608572.0,582867.0,676398.0,540815.0,508813.0,603959.0,593383.0,967411.0,645797.0,560576.0
1.01.03,Contas a Receber,296838.0,291327.0,325702.0,280528.0,293052.0,283260.0,334858.0,315304.0,317967.0,293872.0,340155.0,336954.0,345085.0,333982.0,384438.0,382728.0,394770.0,370837.0,415431.0,413412.0,400136.0,283071.0,406902.0,598824.0,477929.0,455695.0,605881.0,790302.0,631278.0,613690.0,722016.0,867582.0,743011.0,781486.0,921776.0,1125449.0,902621.0,963304.0,2512451.0,2816294.0,2448811.0,2596937.0,2576994.0
1.01.04,Estoques,121079.0,117496.0,121038.0,106951.0,122611.0,128365.0,124019.0,110478.0,119069.0,123048.0,116783.0,113489.0,128153.0,140861.0,147501.0,150861.0,162613.0,163368.0,180736.0,179499.0,253412.0,271321.0,241895.0,290896.0,348041.0,362063.0,448212.0,450487.0,556685.0,651730.0,755060.0,772060.0,842526.0,864459.0,866759.0,828557.0,920200.0,968239.0,2313143.0,2218815.0,2456987.0,2474521.0,2480737.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,25164.0,19725.0,16608.0,21222.0,22164.0,24263.0,21468.0,22562.0,21388.0,20858.0,19966.0,51127.0,51568.0,48899.0,46193.0,49370.0,42903.0,57554.0,56891.0,90332.0,121500.0,124430.0,100708.0,86034.0,90134.0,98945.0,87897.0,73852.0,130015.0,161845.0,183431.0,201212.0,222504.0,256991.0,149978.0,129638.0,164298.0,165938.0,551604.0,520986.0,557157.0,571060.0,680326.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,15331.0,23310.0,26319.0,23740.0,20640.0,19859.0,17138.0,15041.0,18535.0,19676.0,17004.0,15747.0,17356.0,35512.0,29975.0,23241.0,27969.0,28554.0,20789.0,19739.0,22518.0,32360.0,28352.0,27949.0,36307.0,38169.0,56278.0,69586.0,81116.0,50401.0,85227.0,66157.0,99907.0,186165.0,101685.0,81696.0,95663.0,183755.0,464316.0,501045.0,485295.0,400293.0,400880.0
