data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,161822.0
2015-12-31,T4,2.01,Passivo Circulante,42945.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,1381.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,1381.0
2015-12-31,T4,2.01.02,Fornecedores,3334.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,3245.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,89.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,1940.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,1940.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,560.0
2015-12-31,T4,2.01.03.01.02,Outros,1380.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,0.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,11780.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,11780.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,11780.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.01.04.02,Debêntures,0.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.01.05,Outras Obrigações,20892.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,2289.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,2289.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.02,Outros,18603.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,5410.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Adiantamentos de Clientes,4163.0
2015-12-31,T4,2.01.05.02.05,Outras contas a Pagar,9030.0
2015-12-31,T4,2.01.06,Provisões,3618.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,2176.0
2015-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2015-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,2176.0
2015-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2015-12-31,T4,2.01.06.02,Outras Provisões,1442.0
2015-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2015-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-12-31,T4,2.01.06.02.04,Provisão p/ Rescisão Contrato de Trabalho,1442.0
2015-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2015-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,2.02,Passivo Não Circulante,23954.0
2015-12-31,T4,2.02.01,Empréstimos e Financiamentos,15737.0
2015-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,15737.0
2015-12-31,T4,2.02.01.01.01,Em Moeda Nacional,15737.0
2015-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.02.01.02,Debêntures,0.0
2015-12-31,T4,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.02.02,Outras Obrigações,307.0
2015-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.02,Outros,307.0
2015-12-31,T4,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,0.0
2015-12-31,T4,2.02.02.02.03,Outras contas a Pagar,307.0
2015-12-31,T4,2.02.03,Tributos Diferidos,1868.0
2015-12-31,T4,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,1868.0
2015-12-31,T4,2.02.04,Provisões,6042.0
2015-12-31,T4,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,2137.0
2015-12-31,T4,2.02.04.01.01,Provisões Fiscais,1097.0
2015-12-31,T4,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,1040.0
2015-12-31,T4,2.02.04.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.02.04.01.04,Provisões Cíveis,0.0
2015-12-31,T4,2.02.04.02,Outras Provisões,3905.0
