data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,2,Passivo Total,1.998422303e+19
2022-03-31,T1,2.01,Passivos Financeiros Avaliados ao Valor Justo através do Resultado,5.87805e+16
2022-03-31,T1,2.02,Passivos Financeiros ao Custo Amortizado,1.765987865e+19
2022-03-31,T1,2.02.01,Depósitos,6.62208626e+18
2022-03-31,T1,2.02.02,Captações no Mercado Aberto,7.05949335e+18
2022-03-31,T1,2.02.03,Recursos Mercado Interfinanceiro,2.4695239e+17
2022-03-31,T1,2.02.04,Outras Captações,3.73134665e+18
2022-03-31,T1,2.02.04.01,Obrigações por emissão de títulos e valores mobiliários e outras obrigações,2.95227996e+18
2022-03-31,T1,2.02.04.02,Outros passivos financeiros,7.7906669e+17
2022-03-31,T1,2.03,Provisões,2.0814537e+17
2022-03-31,T1,2.03.01,"Provisões trabalhistas, fiscais e cíveis",1.7410255e+17
2022-03-31,T1,2.03.02,Provisões para perdas esperadas com garantias prestadas e compromissos de empréstimos,3.404282e+16
2022-03-31,T1,2.04,Passivos Fiscais,1.4731847e+17
2022-03-31,T1,2.05,Outros Passivos,3.9033787e+17
2022-03-31,T1,2.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2022-03-31,T1,2.06.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2022-03-31,T1,2.06.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-03-31,T1,2.07,Patrimônio Líquido Consolidado,1.51976217e+18
2022-03-31,T1,2.07.01,Patrimônio Líquido Atribuído ao Controlador,1.48305951e+18
2022-03-31,T1,2.07.01.01,Capital Social Realizado,9.8100023e+17
2022-03-31,T1,2.07.01.02,Reservas de Capital,6.358139e+16
2022-03-31,T1,2.07.01.02.01,Ágio na Emissão de Ações,0.0
2022-03-31,T1,2.07.01.02.02,Reserva Especial de Ágio na Incorporação,6.630709e+16
2022-03-31,T1,2.07.01.02.03,Alienação de Bônus de Subscrição,0.0
2022-03-31,T1,2.07.01.02.04,Opções Outorgadas,0.0
2022-03-31,T1,2.07.01.02.05,Ações em Tesouraria,-2725700000000000.0
2022-03-31,T1,2.07.01.03,Reservas de Reavaliação,0.0
2022-03-31,T1,2.07.01.04,Reservas de Lucros,4.8686928e+17
2022-03-31,T1,2.07.01.04.01,Reserva Legal,0.0
2022-03-31,T1,2.07.01.04.02,Reserva Estatutária,0.0
2022-03-31,T1,2.07.01.04.03,Reserva para Contingências,0.0
2022-03-31,T1,2.07.01.04.04,Reserva de Lucros a Realizar,4.8686928e+17
2022-03-31,T1,2.07.01.04.05,Reserva de Retenção de Lucros,0.0
2022-03-31,T1,2.07.01.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2022-03-31,T1,2.07.01.04.07,Reserva de Incentivos Fiscais,0.0
2022-03-31,T1,2.07.01.04.08,Dividendo Adicional Proposto,0.0
2022-03-31,T1,2.07.01.04.09,Ações em Tesouraria,0.0
2022-03-31,T1,2.07.01.05,Lucros/Prejuízos Acumulados,-2092590000000000.0
2022-03-31,T1,2.07.01.06,Ajustes de Avaliação Patrimonial,0.0
2022-03-31,T1,2.07.01.07,Ajustes Acumulados de Conversão,0.0
2022-03-31,T1,2.07.01.08,Outros Resultados Abrangentes,-4.62988e+16
2022-03-31,T1,2.07.02,Patrimônio Líquido Atribuído aos Não Controladores,3.670266e+16
2022-06-30,T2,2,Passivo Total,2.047387293e+19
