data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,6.01,Caixa Líquido das Atividades Operacionais,1.7378973e+17
2022-03-31,T1,6.01.01,Caixa Gerado pelas Operações,1.5842003e+17
2022-03-31,T1,6.01.01.01,Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro,4.974664e+16
2022-03-31,T1,6.01.01.02,Ajustes ao Lucro ou Prejuízo,1.0867339e+17
2022-03-31,T1,6.01.02,Variações nos Ativos e Passivos,1.53697e+16
2022-03-31,T1,6.01.02.01,Variação Líquida em Depósitos Compulsórios no Banco Central do Brasil,-3.821051e+16
2022-03-31,T1,6.01.02.02,Variação líquida em empréstimos a instituições financeiras,1379510000000000.0
2022-03-31,T1,6.01.02.03,Variação líquida em aplicações em operações compromissadas,-7.9263157e+17
2022-03-31,T1,6.01.02.04,Variação líquida em ativos financeiros ao VJR,1.921815e+16
2022-03-31,T1,6.01.02.05,Variação líquida em empréstimos a clientes,-9.154508e+16
2022-03-31,T1,6.01.02.06,Variação líquida em ativos não correntes disponíveis para venda,1115220000000000.0
2022-03-31,T1,6.01.02.07,Variação líquida em outros ativos,-1.1548191e+17
2022-03-31,T1,6.01.02.08,Variação líquida em depósitos de clientes,-9.060916e+16
2022-03-31,T1,6.01.02.09,Variação líquida em valores a pagar a instituições financeiras,-1.472458e+16
2022-03-31,T1,6.01.02.10,Variação líquida em passivos financeiros ao VJR,3.82489e+16
2022-03-31,T1,6.01.02.11,Variação líquida em obrigações por operações compromissadas,8.4112581e+17
2022-03-31,T1,6.01.02.12,Variação líquida em obrigações por emissão de títulos e valores mobiliários e outras obrigações,1.3903378e+17
2022-03-31,T1,6.01.02.13,Variação líquida em outros passivos,1.4761036e+17
2022-03-31,T1,6.01.02.14,Caixa pago em impostos,-2.915922e+16
2022-03-31,T1,6.01.03,Outros,0.0
2022-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-4.664658e+16
2022-03-31,T1,6.02.01,Compra de Ativos financeiros ao VJORA,-5.6863782e+17
2022-03-31,T1,6.02.02,Venda de Ativos Financeiros ao VJORA,5.168545e+17
2022-03-31,T1,6.02.03,Compra de Ativos financeiros ao CA,-1.114629e+16
2022-03-31,T1,6.02.04,Resgate de Ativos fianceiros ao CA,1.394823e+16
2022-03-31,T1,6.02.05,Compra de ativo imobilizado,-2151310000000000.0
2022-03-31,T1,6.02.06,Venda de ativo imobilizado,0.0
2022-03-31,T1,6.02.07,Aquisição de investimentos em coligadas e joint ventures,0.0
2022-03-31,T1,6.02.08,Alienação de investimentos em coligadas e joint ventures,0.0
2022-03-31,T1,6.02.09,Aquisição de ativos intangíveis,-1860060000000000.0
2022-03-31,T1,6.02.10,Alienação de ativos intangíveis,0.0
2022-03-31,T1,6.02.11,Dividendos e juros sobre capital próprio recebidos,6346170000000000.0
2022-03-31,T1,6.02.12,Resgate de ações preferenciais da UBS BB,0.0
2022-03-31,T1,6.02.13,Aporte de capital social,0.0
2022-03-31,T1,6.02.14,Resgate de ações Cateno,0.0
2022-03-31,T1,6.02.15,Caixa líquido recebido na alienação do IRB,0.0
2022-03-31,T1,6.02.16,Caixa líquido recebido na alienação da Neoenergia,0.0
2022-03-31,T1,6.02.17,Caixa líquido recebido na alienação da Mapfre BB SH2,0.0
2022-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-1.5426102e+17
2022-03-31,T1,6.03.01,Liquidação de passivos de longo prazo,-1.1353356e+17
2022-03-31,T1,6.03.02,Juros de instrumento elegível a capital principal pagos,-2727610000000000.0
2022-03-31,T1,6.03.03,Liquidação de arrendamentos,-2629460000000000.0
2022-03-31,T1,6.03.04,Dividendos ou juros sobre o capital próprio pagos aos acionistas controladores,-2.912342e+16
2022-03-31,T1,6.03.05,Dividendos ou juros sobre o capital próprio pagos aos acionistas não controladores,-6246970000000000.0
2022-03-31,T1,6.03.06,Captação de passivos de longo prazo,0.0
2022-03-31,T1,6.03.07,Efeito líquido na alienação de ações em tesouraria,0.0
2022-03-31,T1,6.03.08,Caixa pago aos acionistas não controladores na redução de capital da BB Seguridade,0.0
2022-03-31,T1,6.03.09,Transações patrimoniais com proprietários,0.0
2022-03-31,T1,6.03.10,Variação de participação de acionistas não controladores,0.0
2022-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,-6.541844e+16
2022-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-9.253631e+16
2022-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,5.4494681e+17
2022-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,4.524105e+17
