data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,1,Ativo Total,1701376036.0
2022-03-31,T1,1.01,Caixa e Equivalentes de Caixa,112768118.0
2022-03-31,T1,1.01.01,Caixa,18652636.0
2022-03-31,T1,1.01.02,Aplicações de Liquidez,94115482.0
2022-03-31,T1,1.02,Ativos Financeiros,1447805464.0
2022-03-31,T1,1.02.01,Depósito Compulsório Banco Central,85368715.0
2022-03-31,T1,1.02.02,Ativos Financeiros Avaliados ao Valor Justo através do Resultado,308532544.0
2022-03-31,T1,1.02.02.01,Títulos e Valores Mobiliários,282772474.0
2022-03-31,T1,1.02.02.02,Derivativos,25760070.0
2022-03-31,T1,1.02.03,Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes,186431595.0
2022-03-31,T1,1.02.03.01,Títulos e Valores Mobiliários,186431595.0
2022-03-31,T1,1.02.04,Ativos Financeiros ao Custo Amortizado,867472610.0
2022-03-31,T1,1.02.04.01,Aplicações em Depósitos Interfinanceiros,14765287.0
2022-03-31,T1,1.02.04.02,Aplicações no Mercado Aberto,14781091.0
2022-03-31,T1,1.02.04.03,Títulos e Valores Mobiliários,183195705.0
2022-03-31,T1,1.02.04.04,Operações de Crédito,620226661.0
2022-03-31,T1,1.02.04.05,Provisão para Perdas Esperadas Associadas ao Risco de Crédito,-42680221.0
2022-03-31,T1,1.02.04.06,Operações de Arrendamento,3274845.0
2022-03-31,T1,1.02.04.07,Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento,-52273.0
2022-03-31,T1,1.02.04.08,Outros Ativos Financeiros,73961515.0
2022-03-31,T1,1.03,Tributos,93844332.0
2022-03-31,T1,1.03.01,Imposto de Renda e Contribuição Social - Correntes,13343796.0
2022-03-31,T1,1.03.02,Imposto de Renda e Contribuição Social - Diferidos,80500536.0
2022-03-31,T1,1.03.03,Outros,0.0
2022-03-31,T1,1.04,Outros Ativos,8738054.0
2022-03-31,T1,1.04.01,Ativos Não Correntes a Venda,1163211.0
2022-03-31,T1,1.04.02,Ativos de Operações Descontinuadas,0.0
2022-03-31,T1,1.04.03,Outros,7574843.0
2022-03-31,T1,1.05,Investimentos,7875706.0
2022-03-31,T1,1.05.01,Participações em Coligadas,6643071.0
2022-03-31,T1,1.05.02,Participações em Controladas em Conjunto,1232635.0
2022-03-31,T1,1.05.03,Propriedades para Investimento,0.0
2022-03-31,T1,1.05.04,Outros Investimentos,0.0
2022-03-31,T1,1.06,Imobilizado,13998652.0
2022-03-31,T1,1.06.01,Imobilizado de Uso,13998652.0
2022-03-31,T1,1.06.02,Direito de Uso de Arrendamento,0.0
2022-03-31,T1,1.06.03,Depreciação Acumulada,0.0
2022-03-31,T1,1.07,Intangível,16345710.0
2022-03-31,T1,1.07.01,Intangíveis,16345710.0
2022-03-31,T1,1.07.02,Goodwill,0.0
2022-03-31,T1,1.07.03,Amortização Acumulada,0.0
2022-06-30,T2,1,Ativo Total,1735945156.0
2022-06-30,T2,1.01,Caixa e Equivalentes de Caixa,102108974.0
2022-06-30,T2,1.01.01,Caixa,24429874.0
2022-06-30,T2,1.01.02,Aplicações de Liquidez,77679100.0
2022-06-30,T2,1.02,Ativos Financeiros,1490085505.0
2022-06-30,T2,1.02.01,Depósito Compulsório Banco Central,85451366.0
2022-06-30,T2,1.02.02,Ativos Financeiros Avaliados ao Valor Justo através do Resultado,310940888.0
2022-06-30,T2,1.02.02.01,Títulos e Valores Mobiliários,286987866.0
2022-06-30,T2,1.02.02.02,Derivativos,23953022.0
2022-06-30,T2,1.02.03,Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes,185955663.0
2022-06-30,T2,1.02.03.01,Títulos e Valores Mobiliários,185955663.0
2022-06-30,T2,1.02.04,Ativos Financeiros ao Custo Amortizado,907737588.0
2022-06-30,T2,1.02.04.01,Aplicações em Depósitos Interfinanceiros,15193075.0
2022-06-30,T2,1.02.04.02,Aplicações no Mercado Aberto,10553392.0
2022-06-30,T2,1.02.04.03,Títulos e Valores Mobiliários,214434187.0
2022-06-30,T2,1.02.04.04,Operações de Crédito,635157392.0
2022-06-30,T2,1.02.04.05,Provisão para Perdas Esperadas Associadas ao Risco de Crédito,-45434167.0
2022-06-30,T2,1.02.04.06,Operações de Arrendamento,3361838.0
2022-06-30,T2,1.02.04.07,Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento,-50000.0
2022-06-30,T2,1.02.04.08,Outros Ativos Financeiros,74521871.0
2022-06-30,T2,1.03,Tributos,96612930.0
2022-06-30,T2,1.03.01,Imposto de Renda e Contribuição Social - Correntes,13193334.0
2022-06-30,T2,1.03.02,Imposto de Renda e Contribuição Social - Diferidos,83419596.0
2022-06-30,T2,1.03.03,Outros,0.0
2022-06-30,T2,1.04,Outros Ativos,10203280.0
2022-06-30,T2,1.04.01,Ativos Não Correntes a Venda,1207262.0
2022-06-30,T2,1.04.02,Ativos de Operações Descontinuadas,0.0
2022-06-30,T2,1.04.03,Outros,8996018.0
2022-06-30,T2,1.05,Investimentos,7824376.0
2022-06-30,T2,1.05.01,Participações em Coligadas,6768155.0
2022-06-30,T2,1.05.02,Participações em Controladas em Conjunto,1056221.0
2022-06-30,T2,1.05.03,Propriedades para Investimento,0.0
2022-06-30,T2,1.05.04,Outros Investimentos,0.0
2022-06-30,T2,1.06,Imobilizado,12685417.0
2022-06-30,T2,1.06.01,Imobilizado de Uso,12685417.0
2022-06-30,T2,1.06.02,Direito de Uso de Arrendamento,0.0
2022-06-30,T2,1.06.03,Depreciação Acumulada,0.0
