cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receitas da Intermediação Financeira,114601292.0,162912502.0,137794231.0,112546955.0,124306394.0,98429117.0,125443431.0,49860277.0,49278990.0,53135947.0,53638060.0,57434165.0,56851528.0,56066988.0,54105112.0,52766144.0,51496698.0,52502678.0,56454216.0,60135729.0,65314006.0,70374059.0
3.02,Despesas da Intermediação Financeira,-71412210.0,-91037386.0,-75589415.0,-55244669.0,-58617986.0,-48575687.0,-55121323.0,-29213446.0,-30687911.0,-36036918.0,-35372979.0,-39450559.0,-39715011.0,-40151166.0,-37059319.0,-35877711.0,-34558506.0,-37292629.0,-36550307.0,-40083757.0,-46219670.0,-52694311.0
3.03,Resultado Bruto Intermediação Financeira,43189082.0,71875116.0,62204816.0,57302286.0,65688408.0,49853430.0,70322108.0,20646831.0,18591079.0,17099029.0,18265081.0,17983606.0,17136517.0,15915822.0,17045793.0,16888433.0,16938192.0,15210049.0,19903909.0,20051972.0,19094336.0,17679748.0
3.04,Outras Despesas/Receitas Operacionais,-33585499.0,-39969660.0,-38461257.0,-37860271.0,-52307330.0,-45778135.0,-37469741.0,-10264196.0,-9126865.0,-10192998.0,-20808012.0,-11708018.0,-14085576.0,-13857957.0,-18221836.0,-12587969.0,-13209382.0,-9633954.0,-16608764.0,-13989054.0,-14764932.0,-12799404.0
3.05,Resultado Antes dos Tributos sobre o Lucro,18237905.0,17992726.0,17314603.0,16748439.0,21173207.0,16033961.0,23380804.0,7268755.0,7209326.0,5909702.0,829413.0,5473810.0,4071265.0,3471044.0,1486646.0,4202768.0,4185407.0,4945083.0,4208895.0,5675662.0,6139265.0,5568016.0
3.06,Imposto de Renda e Contribuição Social,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.07,Resultado Líquido Operações Continuadas,18237905.0,17992726.0,17314603.0,16748439.0,21173207.0,16033961.0,23380804.0,7268755.0,7209326.0,5909702.0,829413.0,5473810.0,4071265.0,3471044.0,1486646.0,4202768.0,4185407.0,4945083.0,4208895.0,5675662.0,6139265.0,5568016.0
3.08,Resultado Líquido Operações Descontinuadas,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Lucro/Prejuízo Consolidado do Período,,,,,,16033961.0,23380804.0,7268755.0,7209326.0,5909702.0,829413.0,5473810.0,4071265.0,3471044.0,1486646.0,4202768.0,4185407.0,4945083.0,4208895.0,5675662.0,6139265.0,5568016.0
3.99,Lucro por Ação (Geral),3.43,3.08,2.67,2.6,2.49,1.7071,2.28,0.64,0.64,0.52,1.87,0.48,0.36,0.3,1.27,0.37,0.37,0.44,1.55,0.5,0.55,0.49
3.99.01.01,LPA - Ações Ordinárias (ON),3.43,3.08,2.67,2.6,2.49,1.7071,2.28,0.64,0.64,0.52,1.87,0.48,0.36,0.3,1.27,0.37,0.37,0.44,1.55,0.5,0.55,0.49
3.99.01.02,LPA - Ações Preferenciais (PN),3.78,3.39,2.94,2.36,2.74,1.8778,2.5,0.71,0.7,0.57,2.06,0.53,0.4,0.33,1.41,0.41,0.41,0.48,1.71,0.56,0.6,0.55
