cd_conta,conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4
1,Ativo Total,259372.0,279938.0,315372.0,313205.0,349215.0,403913.0,448922.0,664116.0,648969.0,700979.0,772639.0,814457.0,912377.0,979195.0,981381.0,962193.0,1041526.0,1064564.0,1099363.0,1061298.0,1061672.0,1041245.0,1064018.0,1160905.0,1134298.0,1102813.0,1061252.0,1036364.0
1.01,Ativo Circulante,110462.0,128428.0,149347.0,152919.0,165974.0,190308.0,220651.0,264729.0,247087.0,310889.0,334759.0,312333.0,411050.0,436165.0,411171.0,388307.0,433851.0,440984.0,445760.0,399579.0,392582.0,400948.0,417302.0,416532.0,382911.0,322011.0,310944.0,278601.0
1.01.01,Caixa e Equivalentes de Caixa,3666.0,6199.0,3116.0,1161.0,2399.0,2017.0,15713.0,14903.0,9513.0,7757.0,9240.0,22507.0,10946.0,22095.0,15384.0,6248.0,10124.0,2907.0,4228.0,15155.0,14177.0,12562.0,15130.0,7105.0,1837.0,4878.0,14591.0,25329.0
1.01.02,Aplicações Financeiras,18980.0,13420.0,17090.0,17570.0,27899.0,47037.0,53520.0,47569.0,25982.0,102824.0,86943.0,18617.0,114262.0,84321.0,60831.0,32334.0,59918.0,69022.0,51095.0,48048.0,47530.0,46997.0,10878.0,7966.0,1615.0,1148.0,18953.0,6297.0
1.01.03,Contas a Receber,74572.0,93767.0,114615.0,117211.0,121516.0,124568.0,127503.0,148961.0,154157.0,153767.0,192356.0,210127.0,225865.0,247723.0,265953.0,285294.0,293226.0,296456.0,320818.0,258820.0,251363.0,239631.0,279130.0,315380.0,295397.0,231738.0,203724.0,183303.0
1.01.04,Estoques,564.0,866.0,1369.0,2104.0,1075.0,1796.0,2192.0,2912.0,4838.0,5100.0,5820.0,8347.0,8839.0,12988.0,10800.0,13050.0,15620.0,19431.0,17694.0,13327.0,13537.0,12334.0,12473.0,13199.0,13365.0,13638.0,10505.0,4317.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,4341.0,4710.0,4777.0,4825.0,2584.0,3312.0,3373.0,29501.0,27992.0,21981.0,23198.0,30164.0,29261.0,44822.0,39778.0,31512.0,35938.0,32180.0,24384.0,20234.0,22989.0,33270.0,32797.0,39890.0,35115.0,30574.0,30557.0,26941.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,2133.0,996.0,585.0,0.0,2710.0,5325.0,2135.0,0.0,3391.0,3310.0,2790.0,5266.0,5201.0,5034.0,5246.0,14993.0,19503.0,19056.0,22780.0,10001.0,12663.0,13415.0,15554.0,14772.0
1.01.08,Outros Ativos Circulantes,8339.0,9466.0,8380.0,10048.0,8368.0,10582.0,17765.0,20883.0,21895.0,14135.0,15067.0,22571.0,18486.0,20906.0,15635.0,14603.0,13824.0,15954.0,22295.0,29002.0,23483.0,37098.0,44114.0,22991.0,22919.0,26620.0,17060.0,17642.0
1.02,Ativo Não Circulante,148910.0,151510.0,166025.0,160286.0,183241.0,213605.0,228271.0,399387.0,401882.0,390090.0,437880.0,502124.0,501327.0,543030.0,570210.0,573886.0,607675.0,623580.0,653603.0,661719.0,669090.0,640297.0,646716.0,744373.0,751387.0,780802.0,750308.0,757763.0
1.02.01,Ativo Realizável a Longo Prazo,4254.0,3636.0,5127.0,5729.0,26128.0,28509.0,29978.0,30290.0,90400.0,88128.0,98701.0,20007.0,87198.0,130298.0,151952.0,66836.0,65898.0,71339.0,73008.0,67165.0,78660.0,72127.0,70484.0,162033.0,183897.0,220375.0,261667.0,309891.0
1.02.02,Investimentos,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.02.03,Imobilizado,110729.0,114531.0,127824.0,121343.0,122147.0,150267.0,163479.0,297065.0,238961.0,228621.0,241474.0,306597.0,239907.0,237218.0,238034.0,323038.0,358293.0,368991.0,397042.0,410094.0,406028.0,383096.0,388943.0,393009.0,378177.0,368692.0,296773.0,250631.0
1.02.04,Intangível,33807.0,33223.0,33074.0,33214.0,34966.0,34829.0,34814.0,72032.0,72521.0,73341.0,97705.0,175520.0,174222.0,175514.0,180224.0,184012.0,183484.0,183250.0,183553.0,184460.0,184402.0,185074.0,187289.0,189331.0,189313.0,191735.0,191868.0,197241.0
