data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,1,Ativo Total,11495678.0
2015-12-31,T4,1.01,Ativo Circulante,2581154.0
2015-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,1561078.0
2015-12-31,T4,1.01.02,Aplicações Financeiras,52.0
2015-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,52.0
2015-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,52.0
2015-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-12-31,T4,1.01.03,Créditos das Operações,0.0
2015-12-31,T4,1.01.03.01,Seguros e Resseguros,0.0
2015-12-31,T4,1.01.03.02,Previdência Complementar,0.0
2015-12-31,T4,1.01.03.03,Capitalização,0.0
2015-12-31,T4,1.01.03.04,Outras Operações,0.0
2015-12-31,T4,1.01.04,Títulos e Créditos a Receber,0.0
2015-12-31,T4,1.01.05,Outros Valores e Bens,0.0
2015-12-31,T4,1.01.06,Empréstimos e Depósitos Compulsórios,0.0
2015-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2015-12-31,T4,1.01.08,Despesas de Comercialização Diferidas,0.0
2015-12-31,T4,1.01.09,Outros Ativos Circulantes,1020024.0
2015-12-31,T4,1.01.09.01,Ativos Não Correntes a Venda,0.0
2015-12-31,T4,1.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.01.09.03,Outros,1020024.0
2015-12-31,T4,1.01.09.03.01,Ativos por impostos correntes,165805.0
2015-12-31,T4,1.01.09.03.02,Rendas a receber,843796.0
2015-12-31,T4,1.01.09.03.03,Depósitos judiciais,0.0
2015-12-31,T4,1.01.09.03.04,Imposto pago antecipadamente,0.0
2015-12-31,T4,1.01.09.03.05,Dividendos a receber,10401.0
2015-12-31,T4,1.01.09.03.06,Diversos,22.0
2015-12-31,T4,1.02,Ativo Não Circulante,8914524.0
2015-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,798772.0
2015-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,633970.0
2015-12-31,T4,1.02.01.01.01,Títulos para Negociação,633970.0
2015-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.02.01.01.03,Depósitos Judiciais,0.0
2015-12-31,T4,1.02.01.01.04,Diversos,0.0
