cd_conta_padrao,ds_conta_padrao,2015-T1,2015-T2,2015-T3,2015-T4,2016-T1,2016-T2,2016-T3,2016-T4,2017-T1,2017-T2,2017-T3,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
1,Ativo Total,9729206.0,11107069.0,10418512.0,11495678.0,10671354.0,12022129.0,11558815.0,12542306.0,11412026.0,12547503.0,12543787.0,13334413.0,11995314.0,13275369.0,12841203.0,13680123.0,10213425.0,11707641.0,14994161.0,14926547.0,11659117.0,9993292.0,9643842.0,10900296.0,10334343.0,11382943.0,11581605.0,13314221.0,12125057.0,13703828.0,13930986.0,16129832.0,14397844.0,16980230.0,16236658.0,18272622.0,17850707.0,19018963.0,19213887.0,21615587.0,18524267.0,21376875.0,20441629.0
1.01,Ativo Circulante,2454116.0,3002015.0,2204870.0,2581154.0,2088934.0,3136525.0,2596713.0,3238771.0,2682759.0,3596689.0,4130607.0,4994784.0,3719597.0,4730845.0,4267576.0,7194996.0,3754090.0,5070248.0,8941748.0,8738259.0,5387167.0,3429704.0,3278316.0,3618881.0,3257728.0,3765596.0,3829751.0,5125631.0,3937020.0,4782836.0,5636115.0,7221098.0,3915032.0,5413493.0,4553477.0,5933758.0,4646685.0,5503218.0,7454252.0,9905706.0,7793681.0,9994317.0,8665648.0
1.01.01,Caixa e Equivalentes de Caixa,1551111.0,1831358.0,1181012.0,1561078.0,1041216.0,1999884.0,1355714.0,2174914.0,1595001.0,2515240.0,2506817.0,3644179.0,2322001.0,3285491.0,2771085.0,6056247.0,2671568.0,3830428.0,6115732.0,7381292.0,4110033.0,2103609.0,1827589.0,2195445.0,2182502.0,2587049.0,2753776.0,4090561.0,3153429.0,4023238.0,4664850.0,6076618.0,2814754.0,4357407.0,3367113.0,4752742.0,3472109.0,4286950.0,5485828.0,7789875.0,4909551.0,7075552.0,6107286.0
1.01.02,Aplicações Financeiras,74.0,186317.0,74.0,52.0,43.0,43.0,44.0,59.0,65.0,26.0,356414.0,474365.0,482172.0,489960.0,117021.0,0.0,0.0,0.0,161116.0,286301.0,435939.0,439357.0,370045.0,245101.0,302006.0,304601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700297.0,719101.0,1545581.0,1597255.0,1148271.0
1.01.03,Contas a Receber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.04,Estoques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
