# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-01 17:26:15
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2015,3.01,0.0,0.0,0.0,0.0,OK
2015,3.02,0.0,0.0,0.0,0.0,OK
2015,3.03,0.0,0.0,0.0,0.0,OK
2015,3.04,0.0,0.0,0.0,0.0,OK
2015,3.04.01,0.0,0.0,0.0,0.0,OK
2015,3.04.02,0.0,0.0,0.0,0.0,OK
2015,3.04.05,0.0,0.0,0.0,0.0,OK
2015,3.05,2247550.0,2247550.0,0.0,0.0,OK
2015,3.06,2747102.0,2747102.0,0.0,0.0,OK
2015,3.08,0.0,0.0,0.0,0.0,OK
2015,3.09,4994652.0,4994652.0,0.0,0.0,OK
2015,3.11,4207432.0,4207432.0,0.0,0.0,OK
2016,3.01,0.0,0.0,0.0,0.0,OK
2016,3.02,0.0,0.0,0.0,0.0,OK
2016,3.03,0.0,0.0,0.0,0.0,OK
2016,3.04,0.0,0.0,0.0,0.0,OK
2016,3.04.01,0.0,0.0,0.0,0.0,OK
2016,3.04.02,0.0,0.0,0.0,0.0,OK
2016,3.04.05,0.0,0.0,0.0,0.0,OK
2016,3.05,2205903.0,2205903.0,0.0,0.0,OK
2016,3.06,2618514.0,2618514.0,0.0,0.0,OK
2016,3.08,0.0,0.0,0.0,0.0,OK
2016,3.09,4824417.0,4824417.0,0.0,0.0,OK
2016,3.11,4013852.0,4013852.0,0.0,0.0,OK
2017,3.01,0.0,0.0,0.0,0.0,OK
2017,3.02,0.0,0.0,0.0,0.0,OK
2017,3.03,0.0,0.0,0.0,0.0,OK
2017,3.04,0.0,0.0,0.0,0.0,OK
2017,3.04.01,0.0,0.0,0.0,0.0,OK
2017,3.04.02,0.0,0.0,0.0,0.0,OK
2017,3.04.05,0.0,0.0,0.0,0.0,OK
2017,3.05,2431478.0,2431478.0,0.0,0.0,OK
2017,3.06,2261074.0,2261074.0,0.0,0.0,OK
2017,3.08,276647.0,276647.0,0.0,0.0,OK
2017,3.09,4969199.0,4969199.0,0.0,0.0,OK
2017,3.11,4049245.0,4049245.0,0.0,0.0,OK
2018,3.01,0.0,0.0,0.0,0.0,OK
2018,3.02,0.0,0.0,0.0,0.0,OK
2018,3.03,0.0,0.0,0.0,0.0,OK
2018,3.04,0.0,0.0,0.0,0.0,OK
2018,3.04.01,0.0,0.0,0.0,0.0,OK
2018,3.04.02,0.0,0.0,0.0,0.0,OK
2018,3.04.05,0.0,0.0,0.0,0.0,OK
2018,3.05,2487261.0,2487261.0,0.0,0.0,OK
2018,3.06,1927132.0,1927132.0,0.0,0.0,OK
2018,3.08,236510.0,236510.0,0.0,0.0,OK
2018,3.09,4650903.0,4650903.0,0.0,0.0,OK
2018,3.11,3539553.0,3539553.0,0.0,0.0,OK
2019,3.01,0.0,0.0,0.0,0.0,OK
2019,3.02,0.0,0.0,0.0,0.0,OK
2019,3.03,0.0,0.0,0.0,0.0,OK
2019,3.04,0.0,0.0,0.0,0.0,OK
2019,3.04.01,0.0,0.0,0.0,0.0,OK
2019,3.04.02,0.0,0.0,0.0,0.0,OK
2019,3.04.05,0.0,0.0,0.0,0.0,OK
2019,3.05,6277176.0,6277176.0,0.0,0.0,OK
2019,3.06,2323759.0,2323759.0,0.0,0.0,OK
2019,3.08,312869.0,312869.0,0.0,0.0,OK
2019,3.09,8913804.0,8913804.0,0.0,0.0,OK
2019,3.11,6658781.0,6658781.0,0.0,0.0,OK
2020,3.01,0.0,0.0,0.0,0.0,OK
2020,3.02,0.0,0.0,0.0,0.0,OK
2020,3.03,0.0,0.0,0.0,0.0,OK
2020,3.04,0.0,0.0,0.0,0.0,OK
2020,3.04.01,0.0,0.0,0.0,0.0,OK
2020,3.04.02,0.0,0.0,0.0,0.0,OK
2020,3.04.05,0.0,0.0,0.0,0.0,OK
2020,3.05,2901000.0,2901000.0,0.0,0.0,OK
2020,3.06,1880490.0,1880490.0,0.0,0.0,OK
2020,3.08,111150.0,111150.0,0.0,0.0,OK
2020,3.09,4892640.0,4892640.0,0.0,0.0,OK
2020,3.11,3850771.0,3850771.0,0.0,0.0,OK
