cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receitas das Atividades Seguradoras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.02,Despesas da Atividade Seguradora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.03,Resultado Bruto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04,Despesas Administrativas,-113345.0,0.0,0.0,113345.0,-126606.0,0.0,0.0,126606.0,-146190.0,0.0,0.0,146190.0,-103142.0,0.0,0.0,103142.0,-119334.0,0.0,0.0,119334.0,-31719.0,0.0,0.0,31719.0,-26364.0,0.0,0.0,26364.0,-42662.0,0.0,0.0,42662.0,-39514.0,0.0,0.0,-180787.0,-44059.0,0.0,0.0,-206492.0,-56833.0,0.0,0.0
3.04.01,Despesas com Pessoal Próprio,-9365.0,0.0,0.0,9365.0,-12059.0,0.0,0.0,12059.0,-12547.0,0.0,0.0,12547.0,-13493.0,0.0,0.0,13493.0,-13128.0,0.0,0.0,13128.0,-15435.0,0.0,0.0,15435.0,-14227.0,0.0,0.0,14227.0,-16390.0,0.0,0.0,16390.0,-19562.0,0.0,0.0,-66560.0,-21139.0,0.0,0.0,-68526.0,-22786.0,0.0,0.0
3.04.02,Despesas com Serviços de Terceiros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.03,Despesas com Localização e Funcionamento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.04,Despesas com Publicidade e Propaganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.05,Despesas com Tributos,-45534.0,0.0,0.0,45534.0,-64843.0,0.0,0.0,64843.0,-87098.0,0.0,0.0,87098.0,-85949.0,0.0,0.0,85949.0,-98444.0,0.0,0.0,98444.0,-4339.0,0.0,0.0,4339.0,-1445.0,0.0,0.0,1445.0,-5317.0,0.0,0.0,5317.0,-12106.0,0.0,0.0,-23578.0,-9111.0,0.0,0.0,-25262.0,-16439.0,0.0,0.0
3.04.06,Despesas com Publicações,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Outras Receitas e Despesas Operacionais,585971.0,589904.0,533289.0,538386.0,594662.0,636231.0,561845.0,413165.0,668734.0,465705.0,847931.0,449108.0,660973.0,481173.0,483543.0,861572.0,718512.0,689041.0,4215944.0,653679.0,735158.0,631717.0,808323.0,725802.0,779901.0,766732.0,831798.0,723414.0,0.0,0.0,1014282.0,2667622.0,1017545.0,954972.0,1050149.0,1212944.0,1144701.0,1079579.0,1157148.0,1314426.0,1197166.0,1153386.0,1201784.0
3.05.01,Receitas de Comissões (Líquidas),609697.0,672566.0,619299.0,657516.0,631567.0,728118.0,672219.0,732394.0,691803.0,602073.0,721126.0,733280.0,697279.0,625026.0,638916.0,956399.0,762179.0,743093.0,785463.0,775496.0,780618.0,738367.0,882984.0,849310.0,820243.0,846983.0,909308.0,919052.0,906025.0,949282.0,1114876.0,1171811.0,1068267.0,1055463.0,1145814.0,1154858.0,1190717.0,1181086.0,1256863.0,1239386.0,1239460.0,1247359.0,1310172.0
