cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,810361.0,826523.0,838266.0,837888.0,820503.0,841534.0,825042.0,902838.0,860284.0,864153.0,841140.0,838044.0,855626.0,846252.0,840595.0,821968.0,822554.0,833788.0,837950.0,728221.0,738642.0,680013.0,681867.0,662502.0,667993.0,663362.0,664505.0,651819.0,642112.0,690917.0,662571.0,661640.0,662517.0,629583.0,627998.0,571194.0,563511.0,553992.0,550260.0,545083.0,531961.0,517009.0,435488.0
1.01,Ativo Circulante,376014.0,403318.0,414756.0,406982.0,386338.0,407348.0,392835.0,326268.0,293251.0,301336.0,289174.0,251301.0,269702.0,268595.0,266131.0,253071.0,256347.0,269305.0,275437.0,286801.0,300862.0,242605.0,247385.0,260941.0,264252.0,261317.0,264434.0,250677.0,246886.0,296517.0,362275.0,301747.0,304151.0,307742.0,307174.0,265963.0,258636.0,253734.0,251585.0,239787.0,227618.0,214167.0,197482.0
1.01.01,Caixa e Equivalentes de Caixa,1053.0,6785.0,5973.0,2901.0,1275.0,10423.0,9551.0,4270.0,2065.0,782.0,248.0,4763.0,384.0,198.0,300.0,2232.0,1365.0,537.0,18.0,2083.0,2608.0,2360.0,85.0,2107.0,334.0,352.0,293.0,1144.0,134.0,48318.0,815.0,8790.0,5198.0,25708.0,26503.0,26941.0,27520.0,17151.0,18752.0,17626.0,17342.0,8776.0,7436.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.03,Contas a Receber,199635.0,223213.0,231648.0,207805.0,197496.0,223370.0,214303.0,167835.0,142477.0,147499.0,140243.0,95158.0,120066.0,110471.0,113723.0,106338.0,108193.0,119221.0,126205.0,114063.0,110262.0,81468.0,88909.0,115589.0,122483.0,122849.0,111831.0,116186.0,118331.0,119417.0,231491.0,189715.0,195437.0,180869.0,178259.0,155384.0,146835.0,150984.0,146635.0,137961.0,123781.0,124329.0,114570.0
1.01.04,Estoques,108380.0,116358.0,106000.0,115811.0,122849.0,115229.0,110323.0,106719.0,101795.0,100929.0,102725.0,106899.0,107869.0,105624.0,105200.0,100886.0,106192.0,108840.0,107191.0,92664.0,95255.0,95806.0,94951.0,91179.0,88004.0,87923.0,96991.0,85613.0,84450.0,84571.0,84066.0,55356.0,55039.0,55128.0,57008.0,48114.0,49104.0,49804.0,51713.0,47836.0,49745.0,48362.0,47148.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,0.0,0.0,0.0,28148.0,22886.0,21164.0,15618.0,12993.0,10672.0,11931.0,11265.0,15739.0,15379.0,15714.0,9587.0,9314.0,8227.0,4757.0,5574.0,6165.0,6587.0,8296.0,8568.0,8029.0,7389.0,7902.0,11790.0,10578.0,10797.0,10990.0,11282.0,8603.0,8845.0,9328.0,9860.0,10801.0,10935.0,11378.0,11114.0,11187.0,11792.0,11173.0,8282.0
1.01.07,Despesas Antecipadas,5015.0,4726.0,4677.0,4535.0,5236.0,5183.0,4367.0,3094.0,3390.0,2864.0,2315.0,3571.0,2940.0,2625.0,2552.0,1810.0,1715.0,1790.0,1433.0,2149.0,2445.0,2117.0,1806.0,1268.0,2427.0,1930.0,1504.0,1087.0,1927.0,1580.0,1270.0,81.0,415.0,299.0,232.0,108.0,456.0,313.0,217.0,124.0,494.0,423.0,315.0
1.01.08,Outros Ativos Circulantes,61931.0,52236.0,66458.0,47782.0,36596.0,31979.0,38673.0,31357.0,32852.0,37331.0,32378.0,25171.0,23064.0,33963.0,34769.0,32491.0,30655.0,34160.0,35016.0,69677.0,83705.0,52558.0,53066.0,42769.0,43615.0,40361.0,42025.0,36069.0,31247.0,31641.0,33351.0,39202.0,39217.0,36410.0,35312.0,24615.0,23786.0,24104.0,23154.0,25053.0,24464.0,21104.0,19731.0
