cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,7960884.0,7734902.0,9028345.0,8312048.0,8768832.0,8327923.0,8935569.0,8959148.0,8443565.0,10051328.0,11044508.0,11905325.0,11694165.0,11992459.0,12316174.0,12824421.0,12094676.0,11511950.0,12022863.0,13233737.0,16081296.0,16952269.0,18100745.0,16923251.0,18202492.0,17627666.0,20393241.0,20069462.0,17619859.0,19628616.0,21332804.0,21400128.0,20221388.0,19866668.0,25906758.0,28594154.0,32569989.0,34855127.0,35971356.0,42141896.0,40181432.0,44477422.0,45345889.0
2.01,Passivo Circulante,2405389.0,2162936.0,2821048.0,3043383.0,3227767.0,3044567.0,2619588.0,2811028.0,2494915.0,3441351.0,4144089.0,3947230.0,4288008.0,4366950.0,5164803.0,5988619.0,4977778.0,4566723.0,4770065.0,5628000.0,5630506.0,5659233.0,6267104.0,6395662.0,6485612.0,7504130.0,7560328.0,7238370.0,6441938.0,7718809.0,8505978.0,8129741.0,6871485.0,7749486.0,8124410.0,9746503.0,10763096.0,10530347.0,12795466.0,16573215.0,15436134.0,20459264.0,21027553.0
2.01.01,Obrigações Sociais e Trabalhistas,79467.0,79974.0,79853.0,70463.0,70832.0,73938.0,84002.0,62057.0,70305.0,80227.0,132627.0,112404.0,135804.0,142285.0,145618.0,123082.0,142648.0,161576.0,164570.0,138273.0,163541.0,212204.0,164955.0,171165.0,193557.0,223372.0,258976.0,228662.0,220462.0,272551.0,268680.0,241398.0,244064.0,295273.0,292727.0,271376.0,322222.0,378667.0,376822.0,447171.0,473679.0,522190.0,530176.0
2.01.02,Fornecedores,471541.0,419069.0,496552.0,478813.0,410468.0,451180.0,446546.0,625503.0,493498.0,567171.0,923145.0,1048399.0,813986.0,888418.0,864904.0,872508.0,785697.0,835275.0,1023254.0,1362369.0,1271865.0,1387252.0,2183131.0,2344593.0,2472755.0,2817246.0,3542597.0,3724242.0,3139975.0,3755397.0,3754650.0,3519543.0,2652202.0,2970031.0,2827120.0,3727546.0,3924256.0,4212518.0,4721134.0,6149047.0,6849795.0,8970839.0,9591500.0
2.01.03,Obrigações Fiscais,29676.0,20242.0,41004.0,29380.0,125125.0,166137.0,112197.0,35003.0,51696.0,54077.0,143848.0,79566.0,60614.0,44172.0,73857.0,111552.0,116678.0,118112.0,148699.0,191992.0,205227.0,153079.0,164672.0,153825.0,152440.0,113501.0,179913.0,172065.0,142417.0,120062.0,139521.0,131613.0,85656.0,125049.0,136780.0,131459.0,153044.0,193280.0,216543.0,261433.0,279715.0,227425.0,280623.0
2.01.04,Empréstimos e Financiamentos,983295.0,1130708.0,1405779.0,1546514.0,1724646.0,1321080.0,1263689.0,1397051.0,1205988.0,2307011.0,2210617.0,2187470.0,2700441.0,2721287.0,3116500.0,3644273.0,2882594.0,2269772.0,2026777.0,2867602.0,2165703.0,2113812.0,1772948.0,2199564.0,1411075.0,2255827.0,1806920.0,1488416.0,1421003.0,1939648.0,2630242.0,2077939.0,2255084.0,3246827.0,3324391.0,3794555.0,4067004.0,3581778.0,4408317.0,5109420.0,3139320.0,5186136.0,4576146.0
2.01.05,Outras Obrigações,841410.0,512943.0,797860.0,918213.0,896696.0,1032232.0,713154.0,691414.0,673428.0,432865.0,733852.0,519391.0,577163.0,570788.0,963924.0,1237204.0,1050161.0,1181988.0,1406765.0,1067764.0,1824170.0,1792886.0,1981398.0,1526515.0,2255785.0,2094184.0,1771922.0,1624985.0,1518081.0,1631151.0,1712885.0,2159248.0,1634479.0,1112306.0,1543392.0,1821567.0,2296570.0,2164104.0,3072650.0,4606144.0,4693625.0,5552674.0,6049108.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,5584407.0,5343671.0,6672856.0,5651412.0,5076501.0,4669969.0,5681196.0,5626053.0,5504423.0,6246681.0,6504576.0,7887018.0,7469976.0,8699206.0,8517124.0,7136916.0,7490543.0,7335549.0,8020021.0,7887399.0,9871116.0,10454819.0,10614667.0,9687517.0,10703044.0,9700611.0,12349860.0,12176961.0,10652692.0,11170481.0,12149472.0,12207892.0,12293072.0,11211316.0,16670103.0,18188101.0,21289318.0,23082751.0,21840754.0,25481464.0,24809077.0,21987121.0,22463683.0
