data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-73937.0
2010-03-31,T1,6.01.01,Caixa Gerado nas Operações,19094.0
2010-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-46993.0
2010-03-31,T1,6.01.03,Outros,-46038.0
2010-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-26151.0
2010-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,137090.0
2010-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,3511.0
2010-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,40513.0
2010-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,424009.0
2010-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,464522.0
2010-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,-58771.0
2010-06-30,T2,6.01.01,Caixa Gerado nas Operações,-31261.0
2010-06-30,T2,6.01.02,Variações nos Ativos e Passivos,38147.0
2010-06-30,T2,6.01.03,Outros,-65657.0
2010-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-89132.0
2010-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,217629.0
2010-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,11231.0
2010-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,80957.0
2010-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,424009.0
2010-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,504966.0
2010-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,-45281.0
2010-09-30,T3,6.01.01,Caixa Gerado nas Operações,-6708.0
2010-09-30,T3,6.01.02,Variações nos Ativos e Passivos,59743.0
2010-09-30,T3,6.01.03,Outros,-98316.0
2010-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-125385.0
2010-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,265838.0
2010-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,-46453.0
2010-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,48719.0
2010-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,424009.0
2010-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,472728.0
2011-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-58668.0
2011-03-31,T1,6.01.01,Caixa Gerado nas Operações,31031.0
2011-03-31,T1,6.01.01.01,Resultado do período,14604.0
2011-03-31,T1,6.01.01.02,Depreciações e amortizações,11892.0
2011-03-31,T1,6.01.01.03,Resultados atribuidos aos não controladores,-1333.0
2011-03-31,T1,6.01.01.04,Valor justo de ativos biológicos,-367.0
2011-03-31,T1,6.01.01.05,Realização dos tributos diferidos - diferenças temporárias,-36496.0
2011-03-31,T1,6.01.01.06,Realização líquida da reserva de reavaliação,0.0
2011-03-31,T1,6.01.01.07,Encargos financeiros,44663.0
2011-03-31,T1,6.01.01.08,Variação cambial não realizada,-33807.0
2011-03-31,T1,6.01.01.09,Provisão para contingências,-1932.0
2011-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-60259.0
2011-03-31,T1,6.01.02.01,Contas a receber de clientes e outros recebíveis,-11851.0
2011-03-31,T1,6.01.02.02,Estoques,16721.0
2011-03-31,T1,6.01.02.03,Ativos biológicos,3392.0
2011-03-31,T1,6.01.02.04,Tributos a recuperar,-34791.0
2011-03-31,T1,6.01.02.05,Contas a receber de partes relacionadas,32129.0
2011-03-31,T1,6.01.02.06,Depósitos judiciais,-1728.0
2011-03-31,T1,6.01.02.07,Fornecedores,-23173.0
2011-03-31,T1,6.01.02.08,Obrigações trabalhistas e tributárias,4938.0
2011-03-31,T1,6.01.02.09,Outras contas a pagar,-13767.0
2011-03-31,T1,6.01.03,Outros,-29440.0
2011-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-108580.0
2011-03-31,T1,6.02.01,Aquisição de de controlada menos disponibilidade na aquisição,-12055.0
2011-03-31,T1,6.02.02,Aquisição de intangível,-61693.0
2011-03-31,T1,6.02.03,Aquisição de imobilizado,-34832.0
2011-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,167622.0
2011-03-31,T1,6.03.01,Empréstimos e financiamentos tomados,187954.0
2011-03-31,T1,6.03.02,Empréstimos e financiamentos liquidados,-68960.0
2011-03-31,T1,6.03.03,Debêntures conversíveis em ações,0.0
2011-03-31,T1,6.03.04,Variação na participação de nao controladores,0.0
2011-03-31,T1,6.03.05,Integralização do capital em dinheiro,3.0
2011-03-31,T1,6.03.06,Juros sobre capital próprio,0.0
2011-03-31,T1,6.03.07,Dividendos,0.0
2011-03-31,T1,6.03.08,Ações em tesouraria,-12944.0
2011-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,-33807.0
2011-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-33433.0
2011-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,576464.0
2011-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,543031.0
2011-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,-71051.0
2011-06-30,T2,6.01.01,Caixa Gerado nas Operações,11180.0
2011-06-30,T2,6.01.01.01,Resultado do período,11180.0
2011-06-30,T2,6.01.01.02,Depreciações e amortizações,22325.0
2011-06-30,T2,6.01.01.03,Resultados atribuidos aos não controladores,591.0
2011-06-30,T2,6.01.01.04,Valor justo de ativos biológicos,-3042.0
2011-06-30,T2,6.01.01.05,Realização dos tributos diferidos - diferenças temporárias,-35321.0
2011-06-30,T2,6.01.01.06,Encargos financeiros,88535.0
2011-06-30,T2,6.01.01.07,Variação cambial não realizada,-50519.0
2011-06-30,T2,6.01.01.08,Provisão para contingências,-13106.0
2011-06-30,T2,6.01.02,Variações nos Ativos e Passivos,-13531.0
2011-06-30,T2,6.01.02.01,Contas a receber de clientes e outros recebíveis,-125022.0
2011-06-30,T2,6.01.02.02,Estoques,-57482.0
2011-06-30,T2,6.01.02.03,Ativos biológicos,35228.0
2011-06-30,T2,6.01.02.04,Tributos a recuperar,-56413.0
2011-06-30,T2,6.01.02.05,Contas a receber de partes relacionadas,48928.0
2011-06-30,T2,6.01.02.06,Depósitos judiciais,7743.0
2011-06-30,T2,6.01.02.07,Fornecedores,57479.0
2011-06-30,T2,6.01.02.08,Obrigações trabalhistas e tributárias,6837.0
2011-06-30,T2,6.01.02.09,Outras contas a pagar,57909.0
2011-06-30,T2,6.01.03,Outros,-68700.0
2011-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-146016.0
2011-06-30,T2,6.02.01,Aquisição de de controlada menos disponibilidade na aquisição,-12055.0
2011-06-30,T2,6.02.02,Aquisição de intangível,-61892.0
2011-06-30,T2,6.02.03,Aquisição de imobilizado,-72069.0
2011-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,304694.0
2011-06-30,T2,6.03.01,Empréstimos e financiamentos tomados,348988.0
2011-06-30,T2,6.03.02,Empréstimos e financiamentos liquidados,-151161.0
2011-06-30,T2,6.03.03,Debêntures conversíveis em ações,0.0
2011-06-30,T2,6.03.04,Variação na participação de nao controladores,799.0
2011-06-30,T2,6.03.05,Integralização do capital em dinheiro,3.0
2011-06-30,T2,6.03.06,Juros sobre capital próprio,0.0
2011-06-30,T2,6.03.07,Dividendos,0.0
2011-06-30,T2,6.03.08,Ações em tesouraria,-11355.0
2011-06-30,T2,6.03.09,Cancelamento de Ações em tesouraria,0.0
2011-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,-50519.0
2011-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,37108.0
2011-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,576464.0
2011-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,613572.0
2011-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,-184315.0
2011-09-30,T3,6.01.01,Caixa Gerado nas Operações,26643.0
2011-09-30,T3,6.01.01.01,Resultado do período,26643.0
2011-09-30,T3,6.01.01.02,Depreciações e amortizações,33063.0
2011-09-30,T3,6.01.01.03,Resultados atribuidos aos não controladores,3900.0
2011-09-30,T3,6.01.01.04,Valor justo de ativos biológicos,-5237.0
2011-09-30,T3,6.01.01.05,Realização dos tributos diferidos - diferenças temporárias,-124331.0
2011-09-30,T3,6.01.01.06,Encargos financeiros,138366.0
2011-09-30,T3,6.01.01.07,Variação cambial não realizada,32400.0
2011-09-30,T3,6.01.01.08,Provisão para contingências,-16879.0
2011-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-100336.0
2011-09-30,T3,6.01.02.01,Contas a receber de clientes e outros recebíveis,-203137.0
2011-09-30,T3,6.01.02.02,Estoques,-65971.0
2011-09-30,T3,6.01.02.03,Ativos biológicos,35486.0
2011-09-30,T3,6.01.02.04,Tributos a recuperar,-70291.0
2011-09-30,T3,6.01.02.05,Contas a receber de partes relacionadas,55566.0
2011-09-30,T3,6.01.02.06,Depósitos judiciais,4427.0
2011-09-30,T3,6.01.02.07,Fornecedores,111005.0
2011-09-30,T3,6.01.02.08,Obrigações trabalhistas e tributárias,8550.0
2011-09-30,T3,6.01.02.09,Outras contas a pagar,58177.0
2011-09-30,T3,6.01.03,Outros,-110622.0
2011-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-209494.0
2011-09-30,T3,6.02.01,Aquisição de de controlada menos disponibilidade na aquisição,-12055.0
2011-09-30,T3,6.02.02,Aquisição de intangível,-61663.0
2011-09-30,T3,6.02.03,Aquisição de imobilizado,-135776.0
2011-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,496614.0
2011-09-30,T3,6.03.01,Empréstimos e financiamentos tomados,462873.0
2011-09-30,T3,6.03.02,Empréstimos e financiamentos liquidados,-302827.0
2011-09-30,T3,6.03.03,Debêntures conversíveis em ações,184587.0
2011-09-30,T3,6.03.04,Variação na participação de nao controladores,-7464.0
