data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,1,Ativo Total,9698663.0
2010-12-31,T4,1.01,Caixa e Equivalentes de Caixa,3606270.0
2010-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,3113487.0
2010-12-31,T4,1.01.02,Reservas no Banco Central,475385.0
2010-12-31,T4,1.01.03,Créditos a Instituições Financeiras,17398.0
2010-12-31,T4,1.01.04,Aplicações no Mercado Aberto,0.0
2010-12-31,T4,1.02,Aplicações Financeiras,1825140.0
2010-12-31,T4,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,383227.0
2010-12-31,T4,1.02.01.01,Títulos para Negociação,308454.0
2010-12-31,T4,1.02.01.02,Títulos Disponíveis para Venda,74726.0
2010-12-31,T4,1.02.01.03,Outros Ativos Financeiros a Valor Justo pelo Resultado,47.0
2010-12-31,T4,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,1441913.0
2010-12-31,T4,1.02.02.01,Títulos Mantidos até o Vencimento,1441913.0
2010-12-31,T4,1.03,Empréstimos e Recebíveis,3437986.0
2010-12-31,T4,1.04,Tributos Diferidos,140681.0
2010-12-31,T4,1.04.01,Imposto de Renda e Contribuição Social Diferidos,140681.0
2010-12-31,T4,1.05,Outros Ativos,604127.0
2010-12-31,T4,1.05.01,Ativos Não Correntes a Venda,13180.0
2010-12-31,T4,1.05.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.05.03,Outros,590947.0
2010-12-31,T4,1.05.03.01,Propriedades para Investimento,1378.0
2010-12-31,T4,1.05.03.02,Operações de Seguros,13012.0
2010-12-31,T4,1.05.03.03,Outros Ativos,576557.0
2010-12-31,T4,1.06,Investimentos,0.0
2010-12-31,T4,1.06.01,Participações em Coligadas,0.0
2010-12-31,T4,1.06.02,Outros,0.0
2010-12-31,T4,1.07,Imobilizado,79519.0
2010-12-31,T4,1.07.01,Imobilizado de Uso,79519.0
2010-12-31,T4,1.07.02,Imobilizado de Arrendamento,0.0
2010-12-31,T4,1.08,Intangível,4940.0
2010-12-31,T4,1.08.01,Intangíveis,4940.0
2010-12-31,T4,1.08.02,Goodwill,0.0
2011-12-31,T4,1,Ativo Total,10317381.0
2011-12-31,T4,1.01,Caixa e Equivalentes de Caixa,4143622.0
2011-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,3577085.0
2011-12-31,T4,1.01.02,Reservas no Banco Central,561255.0
2011-12-31,T4,1.01.03,Créditos a Instituições Financeiras,5282.0
2011-12-31,T4,1.01.04,Aplicações no Mercado Aberto,0.0
2011-12-31,T4,1.02,Aplicações Financeiras,1848948.0
2011-12-31,T4,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,359648.0
2011-12-31,T4,1.02.01.01,Títulos para Negociação,273992.0
2011-12-31,T4,1.02.01.02,Títulos Disponíveis para Venda,83260.0
2011-12-31,T4,1.02.01.03,Outros Ativos Financeiros a Valor Justo pelo Resultado,2396.0
2011-12-31,T4,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,1489300.0
2011-12-31,T4,1.02.02.01,Títulos Mantidos até o Vencimento,1489300.0
2011-12-31,T4,1.03,Empréstimos e Recebíveis,3432213.0
2011-12-31,T4,1.04,Tributos Diferidos,138934.0
2011-12-31,T4,1.04.01,Imposto de Renda e Contribuição Social Diferidos,138934.0
2011-12-31,T4,1.05,Outros Ativos,643999.0
2011-12-31,T4,1.05.01,Ativos Não Correntes a Venda,27832.0
2011-12-31,T4,1.05.02,Ativos de Operações Descontinuadas,0.0
2011-12-31,T4,1.05.03,Outros,616167.0
2011-12-31,T4,1.05.03.01,Propriedades para Investimento,1383.0
2011-12-31,T4,1.05.03.02,Operações de Seguros,14844.0
2011-12-31,T4,1.05.03.03,Outros Ativos,599940.0
2011-12-31,T4,1.06,Investimentos,0.0
2011-12-31,T4,1.06.01,Participações em Coligadas,0.0
2011-12-31,T4,1.06.02,Outros,0.0
2011-12-31,T4,1.07,Imobilizado,102592.0
2011-12-31,T4,1.07.01,Imobilizado de Uso,102592.0
2011-12-31,T4,1.07.02,Imobilizado de Arrendamento,0.0
2011-12-31,T4,1.08,Intangível,7073.0
2011-12-31,T4,1.08.01,Intangíveis,7073.0
2011-12-31,T4,1.08.02,Goodwill,0.0
2012-12-31,T4,1,Ativo Total,12611522.0
2012-12-31,T4,1.01,Caixa e Equivalentes de Caixa,5931533.0
2012-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,181340.0
2012-12-31,T4,1.01.02,Reservas no Banco Central,719751.0
2012-12-31,T4,1.01.03,Crédito a Instituições Financeiras,5030442.0
2012-12-31,T4,1.02,Aplicações Financeiras,2224426.0
2012-12-31,T4,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,692628.0
2012-12-31,T4,1.02.01.01,Títulos para Negociação,262957.0
2012-12-31,T4,1.02.01.02,Títulos Disponíveis para Venda,429671.0
2012-12-31,T4,1.02.01.03,Outros Ativos Financeiros a Valor Justo pelo Resultado,0.0
2012-12-31,T4,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,1531798.0
2012-12-31,T4,1.02.02.01,Títulos Mantidos até o Vencimento,1531798.0
2012-12-31,T4,1.03,Empréstimos e Recebíveis,3624243.0
2012-12-31,T4,1.04,Tributos Diferidos,158263.0
2012-12-31,T4,1.04.01,Imposto de Renda e Contribuição Social Diferidos,158263.0
2012-12-31,T4,1.05,Outros Ativos,557351.0
2012-12-31,T4,1.05.01,Ativos Não Correntes a Venda,26573.0
2012-12-31,T4,1.05.02,Ativos de Operações Descontinuadas,0.0
2012-12-31,T4,1.05.03,Outros,530778.0
2012-12-31,T4,1.05.03.01,Propriedades para Investimento,1309.0
2012-12-31,T4,1.05.03.02,Operações de Seguros,16256.0
2012-12-31,T4,1.05.03.03,Outros Ativos,513213.0
2012-12-31,T4,1.06,Investimentos,0.0
2012-12-31,T4,1.06.01,Participações em Coligadas,0.0
2012-12-31,T4,1.06.02,Outros,0.0
2012-12-31,T4,1.07,Imobilizado,100406.0
2012-12-31,T4,1.07.01,Imobilizado de Uso,100406.0
2012-12-31,T4,1.07.02,Imobilizado de Arrendamento,0.0
2012-12-31,T4,1.08,Intangível,15300.0
2012-12-31,T4,1.08.01,Intangíveis,15300.0
2012-12-31,T4,1.08.02,Goodwill,0.0
2013-12-31,T4,1,Ativo Total,14274712.0
2013-12-31,T4,1.01,Caixa e Equivalentes de Caixa,4815748.0
2013-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,1119132.0
2013-12-31,T4,1.01.02,Reservas no Banco Central,1151929.0
2013-12-31,T4,1.01.03,Créditos a Instituições Financeiras,2544687.0
2013-12-31,T4,1.02,Aplicações Financeiras,4603086.0
2013-12-31,T4,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,1068540.0
2013-12-31,T4,1.02.01.01,Títulos para Negociação,354301.0
2013-12-31,T4,1.02.01.02,Títulos Disponíveis para Venda,714239.0
2013-12-31,T4,1.02.01.03,Outros Ativos Financeiros a Valor Justo pelo Resultado,0.0
2013-12-31,T4,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,3534546.0
2013-12-31,T4,1.02.02.01,Títulos Mantidos até o Vencimento,3534546.0
2013-12-31,T4,1.03,Empréstimos e Recebíveis,3952059.0
2013-12-31,T4,1.04,Tributos Diferidos,178780.0
2013-12-31,T4,1.04.01,Imposto de Renda e Contribuição Social Diferidos,178780.0
2013-12-31,T4,1.05,Outros Ativos,613424.0
2013-12-31,T4,1.05.01,Ativos Não Correntes a Venda,13928.0
2013-12-31,T4,1.05.02,Ativos de Operações Descontinuadas,0.0
2013-12-31,T4,1.05.03,Outros,599496.0
2013-12-31,T4,1.05.03.01,Propriedades para Investimento,1236.0
2013-12-31,T4,1.05.03.02,Operações de Seguros,17301.0
