cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,36444713.0,37214327.0,39014276.0,36831645.0,37091425.0,38715197.0,41685487.0,41413000.0,42606721.0,38348042.0,37477609.0,36916911.0,38111468.0,38914230.0,39131799.0
1.01,Caixa e Equivalentes de Caixa,4669608.0,9173653.0,6280110.0,4466252.0,3065038.0,3835567.0,3202328.0,1814140.0,2292992.0,3967467.0,9533290.0,4290352.0,7661499.0,8115448.0,9134720.0
1.02,Ativos Financeiros,30583680.0,26779471.0,31395752.0,31025571.0,32728918.0,33517126.0,37054294.0,38178510.0,38896201.0,32897411.0,26381458.0,31107743.0,28801175.0,29129246.0,28263479.0
1.02.01,Depósito Compulsório Banco Central,818559.0,781197.0,1727435.0,985776.0,1770369.0,1052298.0,1660442.0,1106287.0,1550650.0,1068629.0,1094227.0,1218962.0,1158444.0,1137828.0,1295227.0
1.02.02,Ativos Financeiros ao Valor Justo através do Resultado,689762.0,629966.0,598042.0,627970.0,569184.0,498014.0,466144.0,423311.0,387789.0,413224.0,372002.0,398683.0,482547.0,488348.0,482295.0
1.02.03,Ativos Financeiros ao Valor Justo através de ORA,4786000.0,4699670.0,8097323.0,14620626.0,15399798.0,16300511.0,18767283.0,19926725.0,20384289.0,14427069.0,7281667.0,14232497.0,11397033.0,11398554.0,7659523.0
1.02.04,Ativos Financeiros ao Custo Amortizado,24289359.0,20668638.0,20972952.0,14791199.0,14989567.0,15666303.0,16160425.0,16722187.0,16573473.0,16988489.0,17633562.0,15257601.0,15763151.0,16104516.0,18826434.0
1.02.04.04,Operações de Crédito,0.0,0.0,7112058.0,7574347.0,7826782.0,8364762.0,8721535.0,9039165.0,9504978.0,10037136.0,10642694.0,11285113.0,11553308.0,11949095.0,12038611.0
1.02.04.05,Provisão para Perdas Esperadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.03,Tributos,285173.0,297872.0,300564.0,313538.0,350090.0,324489.0,326982.0,328940.0,339145.0,342435.0,312574.0,308518.0,372552.0,360509.0,379925.0
1.04,Outros Ativos,592630.0,655898.0,704063.0,693720.0,607122.0,671381.0,729058.0,710996.0,695902.0,750106.0,722857.0,666415.0,658519.0,674178.0,724905.0
1.05,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.06,Imobilizado,163198.0,156346.0,158733.0,152302.0,147529.0,160253.0,163901.0,163741.0,158673.0,162988.0,160756.0,163966.0,217272.0,224069.0,221391.0
1.07,Intangível,150424.0,151087.0,175054.0,180262.0,192728.0,206381.0,208924.0,216673.0,223808.0,227635.0,366674.0,379917.0,400451.0,410780.0,407379.0
