cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,36444713.0,37214327.0,39014276.0,36831645.0,37091425.0,38715197.0,41685487.0,41413000.0,42606721.0,38348042.0,37477609.0,36916911.0,38111468.0,38914230.0,39131799.0
2.01,Passivos Financeiros ao Valor Justo através do Resultado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivos Financeiros ao Custo Amortizado,33108972.0,33795495.0,35488043.0,33170888.0,33511930.0,34972938.0,37856099.0,37706162.0,38833693.0,34454345.0,33330336.0,32884869.0,34157918.0,34831190.0,34938849.0
2.02.01,Depósitos,19226027.0,20872743.0,21034115.0,20182015.0,21113378.0,22567576.0,22530836.0,22391515.0,22935732.0,23710186.0,23268846.0,22842771.0,22675149.0,23664454.0,23495053.0
2.02.02,Captações no Mercado Aberto,13474016.0,12393283.0,13859481.0,12279787.0,11458597.0,11604266.0,14368321.0,14304994.0,14965523.0,9667716.0,8845168.0,8691325.0,9834509.0,9392773.0,9867747.0
2.02.03,Recursos Mercado Interfinanceiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Outras Captações,408929.0,529469.0,594447.0,709086.0,939955.0,801096.0,956942.0,1009653.0,932438.0,1076443.0,1216322.0,1350773.0,1648260.0,1773963.0,1576049.0
2.03,Provisões,183832.0,191530.0,179132.0,184624.0,170982.0,174936.0,174251.0,176006.0,172600.0,174940.0,171627.0,164648.0,175142.0,174294.0,176510.0
2.04,Passivos Fiscais,26390.0,13895.0,11241.0,28462.0,36130.0,38391.0,59267.0,40645.0,62641.0,43364.0,54702.0,25835.0,41690.0,25919.0,49408.0
2.05,Outros Passivos,1231823.0,1324664.0,1384430.0,1455492.0,1370819.0,1498756.0,1489338.0,1369369.0,1363865.0,1517027.0,1646071.0,1528011.0,1451318.0,1520146.0,1519297.0
2.06,Passivos sobre Ativos Não Correntes a Venda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.07,Patrimônio Líquido Consolidado,1893696.0,1888743.0,1951430.0,1992179.0,2001564.0,2030176.0,2106532.0,2120818.0,2173922.0,2158366.0,2274873.0,2313548.0,2285400.0,2362681.0,2447735.0
2.07.01,Patrimônio Líquido Atribuído ao Controlador,1893696.0,1888743.0,1951430.0,1992179.0,2001564.0,2030176.0,2106532.0,2120818.0,2173922.0,2158366.0,2274873.0,2313548.0,2285400.0,2362681.0,2447735.0
2.07.01.01,Capital Social Realizado,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1900000.0,1900000.0
2.07.01.02,Reservas de Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.07.01.04,Reservas de Lucros,242722.0,309253.0,309233.0,403212.0,403433.0,440578.0,440558.0,526934.0,526919.0,571497.0,571482.0,745025.0,745022.0,481072.0,480848.0
2.07.01.05,Lucros/Prejuízos Acumulados,52284.0,0.0,52038.0,0.0,24012.0,0.0,66807.0,0.0,46039.0,0.0,115291.0,0.0,-39555.0,0.0,83612.0
2.07.01.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.07.02,Patrimônio Líquido Atribuído aos Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
