codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,3007.846,1065.0096,1147.6174,465.508,221.647,562.3629,618.0042,245.3732,0.4122,-0.2628,-0.2269,-0.1783
P_VPA,P/VPA,Valuation,x,5.0388,18.3053,38.4132,49.263,549.5158,94.4326,32.5612,15.8815,0.3133,0.1109,0.4802,0.3773
EV_EBITDA,EV/EBITDA,Valuation,x,26.9786,71.964,109.6973,182.4506,-2026.1455,225.4936,294.1358,40.0512,-339.4569,2.7203,2.6098,2.5249
EV_EBIT,EV/EBIT,Valuation,x,26.9786,71.964,109.6973,354.0471,-309.1719,352.5166,-557.4001,78.619,-6.4324,14.3271,7.4869,7.2434
EV_RECEITA,EV/Receita,Valuation,x,0.9899,2.5889,4.4494,4.6412,12.5573,19.7476,6.1875,2.9541,0.2589,0.2686,0.2903,0.2808
DY,Dividend Yield,Valuation,%,1.301,0.0081,0.0384,0.0155,,,,,,,,
PAYOUT,Payout,Valuation,%,1988.2177,4.3818,22.373,7.2152,,,,,,,,
ROE,ROE,Rentabilidade,%,0.3297,2.6935,6.7626,9.741,92.4218,30.6238,5.1136,6.2632,60.0824,35.2386,66.6425,66.6425
ROA,ROA,Rentabilidade,%,0.086,0.5619,1.0412,1.3029,6.3017,3.4934,0.8685,0.9645,7.7697,3.1722,5.5366,5.5366
ROIC,ROIC,Rentabilidade,%,24.24,17.3198,19.1086,7.2557,-13.4452,8.8375,-1.7049,6.0607,-7.7872,3.5398,7.5714,7.5714
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,3.6693,3.5976,4.0561,2.5438,-0.6198,8.7575,2.1036,7.3759,-0.0763,9.8728,11.1227,11.1227
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,0.0727,0.4793,0.7591,0.9915,5.5857,3.4739,0.9612,1.1069,9.0997,3.8411,6.3991,6.3991
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-3.2829,-0.1276,0.6142,1.0044,-28.5346,2.4149,11.7554,3.229,-290.2727,2.618,2.2136,2.2136
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.5466,-0.0324,0.2163,0.2727,7.8495,1.0222,1.3555,1.3927,1.8489,2.8389,2.6834,2.6834
ICJ,ICJ,Endividamento,x,1.1276,0.9188,1.3621,0.4764,-1.0832,2.3261,-0.2818,0.5174,-0.3818,0.2332,0.2747,0.2747
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,82.2031,89.6674,90.5454,76.7902,83.7824,73.5158,56.0709,67.9569,75.8455,55.3038,66.6845,66.6845
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.1271,0.8881,0.8715,0.9102,0.7915,1.0406,0.9886,0.867,0.709,0.7341,0.7145,0.7145
LIQ_SECA,Liquidez Seca,Liquidez,x,0.8548,0.6348,0.5648,0.5894,0.5013,0.7067,0.6057,0.5848,0.4778,0.4903,0.4664,0.4664
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1359,0.9979,1.0126,0.9751,0.7559,0.9863,0.9411,0.9261,0.8725,0.8672,0.8809,0.8809
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.183,1.1308,1.2889,1.2789,1.0504,0.8743,0.8743,0.8686,0.9016,0.8028,0.8362,0.8362
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,2.6524,-19.8579,-12.9285,-23.0028,18.3978,68.4288,70.4113,37.4069,-4.5516,-3.8107,10.8737,10.8737
PME,PME,Eficiência,dias,70.8729,83.8435,90.0308,90.2885,89.7444,114.3998,119.3547,94.1731,75.3694,89.7658,90.4813,90.4813
NCG_RECEITA,NCG/Receita,Eficiência,%,-8.8125,-9.3193,-6.197,-6.198,1.1655,15.4112,10.6444,5.5894,-4.3575,-8.4981,-6.3573,-6.3573
