cd_conta,conta,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,366081.000,391259.000,587343.000,638616.000,594155.000,631526.000,718195.000,746331.000,738444.000,800081.000,1206541.000,1259259.000,1272625.000,1428402.000,2314718.000,2372649.000,2328047.000,2297176.000,2383926.000,2440588.000,2499048.000,2505597.000,2499083.000,3074044.000,3053528.000,3160960.000,3098088.000,3241494.000,3411729.000,3431925.000,3470558.000,3621064.000
2.01,Passivo Circulante,222072.000,226164.000,227443.000,236946.000,173520.000,205121.000,269070.000,351751.000,262573.000,310097.000,488146.000,356011.000,363829.000,446756.000,407465.000,370969.000,343006.000,302863.000,394514.000,421377.000,371113.000,346505.000,343302.000,472397.000,335926.000,424597.000,376319.000,455804.000,537942.000,510074.000,513448.000,679592.000
2.01.01,Obrigações Sociais e Trabalhistas,13855.000,13785.000,15274.000,16933.000,13712.000,14108.000,17331.000,19840.000,15992.000,16192.000,26196.000,27019.000,31404.000,34767.000,32271.000,39802.000,35549.000,38693.000,36948.000,44839.000,34819.000,41100.000,47015.000,59891.000,46032.000,68867.000,75421.000,97852.000,75136.000,82866.000,73100.000,83461.000
2.01.02,Fornecedores,75853.000,82258.000,107268.000,141708.000,85926.000,101730.000,124470.000,120943.000,85240.000,132138.000,145247.000,151348.000,133000.000,109099.000,88572.000,67077.000,116431.000,87639.000,149402.000,168327.000,163637.000,138925.000,156156.000,200062.000,179916.000,205440.000,152481.000,219455.000,285999.000,286099.000,273028.000,268501.000
2.01.03,Obrigações Fiscais,8518.000,13922.000,8336.000,22656.000,17974.000,14879.000,28469.000,20317.000,23287.000,16603.000,36290.000,41442.000,46984.000,46911.000,55928.000,14073.000,39645.000,31677.000,39863.000,41966.000,41402.000,21103.000,22998.000,18528.000,9585.000,23648.000,25471.000,30128.000,23987.000,19113.000,39548.000,48275.000
2.01.04,Empréstimos e Financiamentos,102979.000,100874.000,89422.000,33715.000,32423.000,55254.000,64855.000,80104.000,74826.000,89195.000,85766.000,85572.000,63302.000,177377.000,196967.000,211059.000,93662.000,60135.000,105483.000,102157.000,83541.000,81271.000,59755.000,138381.000,75018.000,71329.000,75551.000,65997.000,73361.000,59508.000,72838.000,230918.000
2.01.05,Outras Obrigações,20867.000,15325.000,7143.000,21934.000,23485.000,19150.000,33945.000,110547.000,63228.000,55969.000,194647.000,50630.000,89139.000,78602.000,33727.000,38958.000,57719.000,84719.000,62818.000,64088.000,47714.000,64106.000,57378.000,55535.000,25375.000,55313.000,47395.000,42372.000,79459.000,62488.000,54934.000,48437.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,5673.000,5245.000,185214.000,208765.000,197301.000,180625.000,165270.000,149791.000,210115.000,193715.000,489236.000,602096.000,687453.000,675339.000,352711.000,350507.000,350156.000,332729.000,269735.000,261245.000,310001.000,325323.000,286855.000,632506.000,722353.000,723686.000,687816.000,701005.000,723123.000,733871.000,704826.000,606689.000
