cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,12576064.0,10689634.0,9878050.0,9643554.0,10440198.0,11253275.0,12993418.0,13561514.0,14891765.0,14964569.0,15487360.0,16106035.0,17637396.0,18096624.0,19678089.0,20786450.0,22160762.0,24054292.0,25479109.0,27155138.0,29803895.0,31519505.0
02.01,Captação de Clientes (Vista),,,,,,,,,,,,,,,,,,,,,,
02.02,Captação de Mercado,,,,,,,,,,,,,,,,,,,,,,
02.03,Recursos a Custo Amortizado,10463765.0,8408065.0,7461795.0,7975420.0,8166465.0,8760636.0,10230839.0,10770448.0,11962247.0,12031294.0,12508002.0,13106793.0,14519727.0,15035967.0,16425227.0,17586452.0,18781703.0,20579516.0,22094738.0,23815479.0,26035421.0,27367710.0
02.03.01,Depósitos Totais,,,,,,,,,,,,,,,,,,,,,,
02.04,Obrigações por Títulos e Valores,,,,,,,,,51357.0,59371.0,30762.0,16759.0,196278.0,23361.0,61788.0,84081.0,19112.0,0.0,0.0,0.0,0.0,60000.0
02.05,Provisões Contingentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.07,Patrimônio Líquido (PL),814394.0,957209.0,893607.0,858292.0,930322.0,1063464.0,1215237.0,1274853.0,2636586.0,2662516.0,2725090.0,2778122.0,2883824.0,3011944.0,3224298.0,3428706.0,3620294.0,3921014.0,3789178.0,3878716.0,4216348.0,4596622.0
02.07.01,Capital Social,433340.0,433340.0,492708.0,492708.0,492708.0,492708.0,597540.0,597540.0,597540.0,597540.0,597540.0,597540.0,702372.0,702372.0,702372.0,807203.0,807203.0,807203.0,807203.0,807203.0,807203.0,807203.0
02.07.05,Reservas de Lucros,231783.0,229026.0,240003.0,278485.0,365958.0,463107.0,472468.0,474037.0,478002.0,478002.0,620624.0,620624.0,515792.0,515792.0,806696.0,701865.0,701865.0,701865.0,1004408.0,876228.0,876228.0,876228.0
