data_fim,trimestre,cd_conta,ds_conta,valor_mil
2017-12-31,T4,2,Passivo Total,16697363.0
2017-12-31,T4,2.01,Passivos Financeiros para Negociação,244707.0
2017-12-31,T4,2.01.01,Instrumentos financeiros derivativos,236157.0
2017-12-31,T4,2.01.02,Outros,8550.0
2017-12-31,T4,2.02,Outros Passivos Financeiros ao Valor Justo no Resultado,0.0
2017-12-31,T4,2.03,Passivos Financeiros ao Custo Amortizado,12587871.0
2017-12-31,T4,2.03.01,Obrigações por empréstimos ou de transferência de ativos financeiros,1005943.0
2017-12-31,T4,2.03.02,Depósitos de clientes,8346725.0
2017-12-31,T4,2.03.03,Obrigações por empréstimos e repasses,540446.0
2017-12-31,T4,2.03.04,Obrigações por títulos e valores mobiliários e let ras financeiras,1103970.0
2017-12-31,T4,2.03.05,Dívidas subordinadas,1369520.0
2017-12-31,T4,2.03.06,Outros passivos financeiros,221267.0
2017-12-31,T4,2.04,Provisões,479810.0
2017-12-31,T4,2.05,Passivos Fiscais,85058.0
2017-12-31,T4,2.05.01,Imposto de renda e contribuição social a r ecolher,35075.0
2017-12-31,T4,2.05.02,Outros impostos e contribuições a recolher,49983.0
2017-12-31,T4,2.06,Outros Passivos,503122.0
2017-12-31,T4,2.07,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2017-12-31,T4,2.07.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2017-12-31,T4,2.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2017-12-31,T4,2.08,Patrimônio Líquido Consolidado,2796795.0
2017-12-31,T4,2.08.01,Capital Social Realizado,2504478.0
2017-12-31,T4,2.08.02,Reservas de Capital,0.0
2017-12-31,T4,2.08.02.01,Ágio na Emissão de Ações,0.0
2017-12-31,T4,2.08.02.02,Reserva Especial de Ágio na Incorporação,0.0
2017-12-31,T4,2.08.02.03,Alienação de Bônus de Subscrição,0.0
2017-12-31,T4,2.08.02.04,Opções Outorgadas,0.0
2017-12-31,T4,2.08.02.05,Ações em Tesouraria,0.0
2017-12-31,T4,2.08.03,Reservas de Reavaliação,0.0
2017-12-31,T4,2.08.04,Reservas de Lucros,397248.0
2017-12-31,T4,2.08.04.01,Reserva Legal,390200.0
2017-12-31,T4,2.08.04.02,Reserva Estatutária,0.0
2017-12-31,T4,2.08.04.03,Reserva para Contingências,0.0
2017-12-31,T4,2.08.04.04,Reserva de Lucros a Realizar,0.0
2017-12-31,T4,2.08.04.05,Reserva de Retenção de Lucros,0.0
2017-12-31,T4,2.08.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2017-12-31,T4,2.08.04.07,Reserva de Incentivos Fiscais,7048.0
2017-12-31,T4,2.08.04.08,Dividendo Adicional Proposto,0.0
2017-12-31,T4,2.08.04.09,Ações em Tesouraria,0.0
2017-12-31,T4,2.08.05,Lucros/Prejuízos Acumulados,-96153.0
2017-12-31,T4,2.08.06,Ajustes de Avaliação Patrimonial,0.0
2017-12-31,T4,2.08.07,Ajustes Acumulados de Conversão,0.0
2017-12-31,T4,2.08.08,Outros Resultados Abrangentes,-11451.0
2017-12-31,T4,2.08.09,Participação dos Acionistas Não Controladores,2673.0
2018-12-31,T4,2,Passivo Total,17368931.0
2018-12-31,T4,2.01,Passivos Financeiros ao Valor Justo através do Resultado,84008.0
2018-12-31,T4,2.01.01,Instrumentos financeiros derivativos,84008.0
2018-12-31,T4,2.01.02,Outros,0.0
2018-12-31,T4,2.02,Outros Passivos Financeiros Designados ao Valor Justo através do Resultado,0.0
2018-12-31,T4,2.03,Passivos Financeiros ao Custo Amortizado,13184496.0
2018-12-31,T4,2.03.01,Depósitos de clientes,9373537.0
