data_fim,trimestre,cd_conta,ds_conta,valor_mil
2017-12-31,T4,3.01,Receitas da Intermediação Financeira,2609391.0
2017-12-31,T4,3.02,Despesas da Intermediação Financeira,-1121929.0
2017-12-31,T4,3.03,Resultado Bruto Intermediação Financeira,1487462.0
2017-12-31,T4,3.04,Outras Despesas/Receitas Operacionais,-1503686.0
2017-12-31,T4,3.04.01,Receitas de Prestação de Serviços,61996.0
2017-12-31,T4,3.04.02,Despesas de Pessoal,-192464.0
2017-12-31,T4,3.04.03,Outras Despesas Administrativas,-486252.0
2017-12-31,T4,3.04.04,Despesas Tributárias,-89091.0
2017-12-31,T4,3.04.05,Outras Receitas Operacionais,402620.0
2017-12-31,T4,3.04.05.01,Recuperação de créditos baixados como prejuízo,206242.0
2017-12-31,T4,3.04.05.02,Outras receitas operacionais,196378.0
2017-12-31,T4,3.04.06,Outras Despesas Operacionais,-1200571.0
2017-12-31,T4,3.04.06.01,Ganho (perda) líquido com ativos e passivos financeiros,-195668.0
2017-12-31,T4,3.04.06.02,Provisão ao valor recuperável de ativos financeiros,-640332.0
2017-12-31,T4,3.04.06.03,Outras despesas operacionais,-364571.0
2017-12-31,T4,3.04.07,Resultado da Equivalência Patrimonial,76.0
2017-12-31,T4,3.05,Resultado Antes dos Tributos sobre o Lucro,-16224.0
2017-12-31,T4,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,28400.0
2017-12-31,T4,3.06.01,Corrente,-56895.0
2017-12-31,T4,3.06.02,Diferido,85295.0
2017-12-31,T4,3.07,Resultado Líquido das Operações Continuadas,12176.0
2017-12-31,T4,3.08,Resultado Líquido das Operações Descontinuadas,0.0
2017-12-31,T4,3.08.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-12-31,T4,3.08.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-12-31,T4,3.09,Lucro/Prejuízo Consolidado do Período,12176.0
2017-12-31,T4,3.09.01,Atribuído a Sócios da Empresa Controladora,12327.0
2017-12-31,T4,3.09.02,Atribuído a Sócios Não Controladores,-151.0
2017-12-31,T4,3.99,Lucro por Ação - (R$ / Ação),0.0
2017-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2017-12-31,T4,3.99.01.01,ON,0.5
2017-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2018-12-31,T4,3.01,Receitas da Intermediação Financeira,2921154.0
2018-12-31,T4,3.02,Despesas da Intermediação Financeira,-1311966.0
2018-12-31,T4,3.03,Resultado Bruto Intermediação Financeira,1609188.0
2018-12-31,T4,3.04,Outras Despesas/Receitas Operacionais,-1223078.0
2018-12-31,T4,3.04.01,Receitas de Prestação de Serviços,117327.0
2018-12-31,T4,3.04.02,Despesas de Pessoal,-257173.0
2018-12-31,T4,3.04.03,Outras Despesas Administrativas,-519060.0
2018-12-31,T4,3.04.04,Despesas Tributárias,-111492.0
2018-12-31,T4,3.04.05,Outras Receitas Operacionais,297604.0
2018-12-31,T4,3.04.05.01,Recuperação de créditos baixados como prejuízo,190822.0
2018-12-31,T4,3.04.05.02,Outras receitas operacionais,106782.0
2018-12-31,T4,3.04.06,Outras Despesas Operacionais,-750284.0
2018-12-31,T4,3.04.06.01,Ganho (perda) líquido com ativos e passivos financeiros,175723.0
2018-12-31,T4,3.04.06.02,Provisão ao valor recuperável de ativos financeiros,-561409.0
2018-12-31,T4,3.04.06.03,Outras despesas operacionais,-364598.0
2018-12-31,T4,3.04.07,Resultado da Equivalência Patrimonial,0.0
2018-12-31,T4,3.05,Resultado Antes dos Tributos sobre o Lucro,386110.0
2018-12-31,T4,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-166268.0
2018-12-31,T4,3.06.01,Corrente,-26990.0
2018-12-31,T4,3.06.02,Diferido,-139278.0
2018-12-31,T4,3.07,Resultado Líquido das Operações Continuadas,219842.0
2018-12-31,T4,3.08,Resultado Líquido das Operações Descontinuadas,0.0
2018-12-31,T4,3.08.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2018-12-31,T4,3.08.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2018-12-31,T4,3.09,Lucro/Prejuízo Consolidado do Período,219842.0
2018-12-31,T4,3.09.01,Atribuído a Sócios da Empresa Controladora,219444.0
2018-12-31,T4,3.09.02,Atribuído a Sócios Não Controladores,398.0
2018-12-31,T4,3.99,Lucro por Ação - (R$ / Ação),0.0
2018-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2018-12-31,T4,3.99.01.01,ON,1.7314
2018-12-31,T4,3.99.01.02,PN,0.4329
2018-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2018-12-31,T4,3.99.02.01,ON,1.7314
2018-12-31,T4,3.99.02.02,PN,0.4329
2019-12-31,T4,3.01,Receitas da Intermediação Financeira,3512137.0
2019-12-31,T4,3.02,Despesas da Intermediação Financeira,-1293531.0
2019-12-31,T4,3.03,Resultado Bruto Intermediação Financeira,2218606.0
2019-12-31,T4,3.04,Outras Despesas/Receitas Operacionais,-2073783.0
2019-12-31,T4,3.04.01,Receitas de Prestação de Serviços,153745.0
2019-12-31,T4,3.04.02,Despesas de Pessoal,-321210.0
2019-12-31,T4,3.04.03,Outras Despesas Administrativas,-746728.0
2019-12-31,T4,3.04.04,Despesas Tributárias,-133895.0
2019-12-31,T4,3.04.05,Outras Receitas Operacionais,319820.0
2019-12-31,T4,3.04.05.01,Recuperação de créditos baixados como prejuízo,151989.0
2019-12-31,T4,3.04.05.02,Outras receitas operacionais,167831.0
2019-12-31,T4,3.04.06,Outras Despesas Operacionais,-1345515.0
2019-12-31,T4,3.04.06.01,Ganho (perda) líquido com ativos e passivos financeiros,116525.0
2019-12-31,T4,3.04.06.02,Provisão ao valor recuperável de ativos financeiros,-671046.0
2019-12-31,T4,3.04.06.03,Outras despesas operacionais,-790994.0
2019-12-31,T4,3.04.07,Resultado da Equivalência Patrimonial,0.0
2019-12-31,T4,3.05,Resultado Antes dos Tributos sobre o Lucro,144823.0
2019-12-31,T4,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,244986.0
2019-12-31,T4,3.06.01,Corrente,-66144.0
2019-12-31,T4,3.06.02,Diferido,311130.0
2019-12-31,T4,3.07,Resultado Líquido das Operações Continuadas,389809.0
2019-12-31,T4,3.08,Resultado Líquido das Operações Descontinuadas,0.0
2019-12-31,T4,3.08.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2019-12-31,T4,3.08.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2019-12-31,T4,3.09,Lucro/Prejuízo Consolidado do Período,389809.0
2019-12-31,T4,3.09.01,Atribuído a Sócios da Empresa Controladora,387395.0
