cd_conta,ds_conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receitas de Intermediação Financeira,671073.0,710441.0,762775.0,776865.0,813717.0,863421.0,906338.0,928661.0,951035.0,973045.0,1029202.0,1072659.0,1069392.0,1066054.0,1104349.0,1351401.0,1358340.0,1579760.0,1800359.0,1578941.0,1897664.0,1781659.0,1955492.0,1767998.0,1960231.0,2274145.0,1967307.0,2541433.0,2251348.0,2349372.0,2028140.0
3.02,Despesas de Intermediação Financeira,-271739.0,-470524.0,-339569.0,-230134.0,-300176.0,-334639.0,-414801.0,-243915.0,-262732.0,-277739.0,-177120.0,-402624.0,-261097.0,-534875.0,-434914.0,-650537.0,-986051.0,-790334.0,-878841.0,-1044679.0,-1248174.0,-1341560.0,-1003392.0,-1159708.0,-978239.0,-921489.0,-1302986.0,-826693.0,-1633938.0,-1656744.0,-1425254.0
3.03,Resultado Bruto de Intermediação Financeira,399334.0,239917.0,423206.0,546731.0,513541.0,528782.0,491537.0,684746.0,688303.0,695306.0,852082.0,670035.0,808295.0,531179.0,669435.0,700864.0,372289.0,789426.0,921518.0,534262.0,649490.0,440099.0,952100.0,608290.0,981992.0,1352656.0,664321.0,1714740.0,617410.0,692628.0,602886.0
3.04,Outras Despesas e Receitas Operacionais,-353667.0,-172569.0,-294581.0,-402261.0,-415339.0,-421073.0,-399623.0,-837748.0,-678511.0,-531152.0,-736157.0,-605351.0,-795443.0,-457492.0,-761066.0,-754958.0,-427031.0,-867359.0,-1011768.0,-562391.0,-668590.0,-415464.0,-878632.0,-546039.0,-907335.0,-1185568.0,-657257.0,-1841628.0,-481813.0,-565591.0,-482822.0
3.05,Resultado antes dos Tributos sobre o Lucro,45667.0,67348.0,128625.0,144470.0,98202.0,107709.0,91914.0,-153002.0,9792.0,164154.0,115925.0,64684.0,12852.0,73687.0,-91631.0,-54094.0,-54742.0,-77933.0,-90250.0,-28129.0,-19100.0,24635.0,73468.0,62251.0,74657.0,167088.0,7064.0,-126888.0,135597.0,127037.0,120064.0
3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-14448.0,-20517.0,-44789.0,-86514.0,-22128.0,-31147.0,-16577.0,314838.0,49973.0,-67933.0,-22584.0,-3930.0,41267.0,15338.0,119962.0,54780.0,62903.0,77850.0,91951.0,83700.0,58974.0,21345.0,20884.0,44773.0,27968.0,-51604.0,62010.0,119054.0,1804.0,5932.0,26964.0
3.07,Lucro ou Prejuízo das Operações Continuadas,31219.0,46831.0,83836.0,57956.0,76074.0,76562.0,75337.0,161836.0,59765.0,96221.0,93341.0,60754.0,54119.0,89025.0,28331.0,686.0,8161.0,-83.0,1701.0,55571.0,39874.0,45980.0,94352.0,107024.0,102625.0,115484.0,69074.0,-7834.0,137401.0,132969.0,147028.0
3.08,Resultado Líquido das Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias,31219.0,46831.0,83836.0,57956.0,76074.0,76562.0,75337.0,161836.0,59765.0,96221.0,93341.0,60754.0,54119.0,89025.0,28331.0,686.0,8161.0,83.0,1701.0,55405.0,39874.0,45980.0,94352.0,107024.0,102625.0,115484.0,69074.0,-7834.0,137401.0,132969.0,147028.0
3.10,Participações nos Lucros e Contribuições Estatutárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.11,Lucro ou Prejuízo Líquido Consolidado do Período,31219.0,46831.0,83836.0,57956.0,76074.0,76562.0,75337.0,161836.0,59765.0,96221.0,93341.0,60754.0,54119.0,89025.0,28331.0,686.0,8161.0,83.0,1701.0,55405.0,39874.0,45980.0,94352.0,107024.0,102625.0,115484.0,69074.0,-7834.0,137401.0,132969.0,147028.0
3.99,Lucro por Ação (Reais/Ação),1.24,1.87,3.34,-4.2857,0.7516,0.3074,-0.1557,-0.1703,0.11,0.1659,0.1503,0.1072,0.0914,0.1522,0.0494,-0.0021,0.0125,-0.0012,-0.0029,0.0951,0.0661,0.0629,0.1549,0.1756,0.1663,0.1872,0.1044,-0.0237,0.2244,0.2172,0.2626
