data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,2,Passivo Total,814911.0
2015-03-31,T1,2.01,Passivo Circulante,471177.0
2015-03-31,T1,2.01.01,Obrigações Sociais e Trabalhistas,20227.0
2015-03-31,T1,2.01.01.01,Obrigações Sociais,3429.0
2015-03-31,T1,2.01.01.01.01,Encargos Sociais a Pagar,3429.0
2015-03-31,T1,2.01.01.02,Obrigações Trabalhistas,16798.0
2015-03-31,T1,2.01.01.02.01,Salários a Pagar,1031.0
2015-03-31,T1,2.01.01.02.02,Provisão de Férias e 13º Salário,15767.0
2015-03-31,T1,2.01.02,Fornecedores,179440.0
2015-03-31,T1,2.01.02.01,Fornecedores Nacionais,176202.0
2015-03-31,T1,2.01.02.01.01,Fornecedores,176202.0
2015-03-31,T1,2.01.02.02,Fornecedores Estrangeiros,3238.0
2015-03-31,T1,2.01.03,Obrigações Fiscais,137966.0
2015-03-31,T1,2.01.03.01,Obrigações Fiscais Federais,95329.0
2015-03-31,T1,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,726.0
2015-03-31,T1,2.01.03.01.02,Obrigações Fiscais e Tributárias,94603.0
2015-03-31,T1,2.01.03.02,Obrigações Fiscais Estaduais,42509.0
2015-03-31,T1,2.01.03.02.01,ICMS a Pagar,42509.0
2015-03-31,T1,2.01.03.03,Obrigações Fiscais Municipais,128.0
2015-03-31,T1,2.01.04,Empréstimos e Financiamentos,107289.0
2015-03-31,T1,2.01.04.01,Empréstimos e Financiamentos,107002.0
2015-03-31,T1,2.01.04.01.01,Em Moeda Nacional,105187.0
2015-03-31,T1,2.01.04.01.02,Em Moeda Estrangeira,1815.0
2015-03-31,T1,2.01.04.02,Debêntures,0.0
2015-03-31,T1,2.01.04.03,Financiamento por Arrendamento Financeiro,287.0
2015-03-31,T1,2.01.04.03.01,Arrendamento Mercantil,287.0
2015-03-31,T1,2.01.05,Outras Obrigações,17985.0
2015-03-31,T1,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-03-31,T1,2.01.05.01.01,Débitos com Coligadas,0.0
2015-03-31,T1,2.01.05.01.03,Débitos com Controladores,0.0
2015-03-31,T1,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-03-31,T1,2.01.05.02,Outros,17985.0
2015-03-31,T1,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2015-03-31,T1,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-03-31,T1,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-03-31,T1,2.01.05.02.04,Outras Contas a Pagar,17985.0
2015-03-31,T1,2.01.06,Provisões,8270.0
2015-03-31,T1,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2015-03-31,T1,2.01.06.01.01,Provisões Fiscais,0.0
2015-03-31,T1,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2015-03-31,T1,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-03-31,T1,2.01.06.01.04,Provisões Cíveis,0.0
2015-03-31,T1,2.01.06.02,Outras Provisões,8270.0
2015-03-31,T1,2.01.06.02.01,Provisões para Garantias,0.0
2015-03-31,T1,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-03-31,T1,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-03-31,T1,2.01.06.02.04,Provisões Diversas,8270.0
2015-03-31,T1,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2015-03-31,T1,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,2.02,Passivo Não Circulante,395102.0
2015-03-31,T1,2.02.01,Empréstimos e Financiamentos,53075.0
2015-03-31,T1,2.02.01.01,Empréstimos e Financiamentos,53043.0
