cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
2,Passivo Total,814911.0,798334.0,792497.0,701474.0,710032.0,687388.0,640230.0,711099.0,592254.0,621089.0,676552.0,685366.0,622046.0,636185.0,635642.0,631662.0,604804.0,608420.0,593775.0,657593.0,679554.0,697667.0,665953.0,674947.0,647833.0,847869.0,883826.0,852330.0,839660.0,864840.0,904491.0,864393.0,878003.0,850709.0,900800.0,826455.0,846710.0,882398.0,921921.0
2.01,Passivo Circulante,471177.0,452160.0,487706.0,522012.0,580009.0,542558.0,554459.0,584172.0,408057.0,428954.0,470463.0,483248.0,453568.0,475935.0,461860.0,515776.0,485415.0,499463.0,457762.0,470029.0,477039.0,492743.0,457337.0,489601.0,478283.0,549790.0,602197.0,657328.0,625401.0,649002.0,680636.0,632143.0,591361.0,525923.0,524300.0,459248.0,489353.0,509524.0,514027.0
2.01.01,Obrigações Sociais e Trabalhistas,20227.0,24935.0,26099.0,19241.0,18941.0,21838.0,22423.0,17034.0,19328.0,20543.0,22226.0,24646.0,26030.0,26047.0,24819.0,18967.0,21224.0,25779.0,30271.0,21513.0,23868.0,32071.0,34713.0,23430.0,24390.0,24922.0,27745.0,20471.0,21798.0,26491.0,32815.0,33336.0,24785.0,31267.0,36980.0,34397.0,26268.0,34493.0,38334.0
2.01.02,Fornecedores,179440.0,192902.0,218365.0,243822.0,200250.0,132449.0,151349.0,116534.0,119527.0,128750.0,110512.0,120710.0,110731.0,110974.0,123840.0,125031.0,109133.0,126635.0,106864.0,111665.0,143412.0,160671.0,151724.0,172008.0,143908.0,182891.0,213470.0,235494.0,248498.0,252373.0,248422.0,177379.0,168878.0,157586.0,158788.0,148670.0,189279.0,214162.0,193867.0
2.01.03,Obrigações Fiscais,137966.0,113298.0,113005.0,138445.0,184537.0,219446.0,245819.0,288364.0,147022.0,115236.0,94071.0,86972.0,75159.0,77847.0,64546.0,62237.0,53415.0,50503.0,53764.0,52823.0,50035.0,47410.0,52377.0,44006.0,43053.0,40585.0,44283.0,49295.0,53321.0,49621.0,79402.0,72674.0,69010.0,58098.0,59657.0,53774.0,58626.0,64225.0,55224.0
2.01.04,Empréstimos e Financiamentos,107289.0,93021.0,98760.0,89094.0,164732.0,155621.0,111079.0,131943.0,91016.0,127786.0,200788.0,222113.0,215131.0,230400.0,220521.0,270417.0,261310.0,266644.0,241538.0,257202.0,221861.0,213721.0,181384.0,219908.0,232433.0,266432.0,279448.0,281600.0,238552.0,261776.0,261948.0,307894.0,297152.0,252976.0,235637.0,196133.0,181032.0,165127.0,183915.0
2.01.05,Outras Obrigações,17985.0,16867.0,19541.0,25359.0,3325.0,3410.0,8284.0,4127.0,8908.0,14959.0,17792.0,17286.0,12975.0,20640.0,19554.0,27210.0,25513.0,18277.0,12059.0,13765.0,20007.0,18944.0,20290.0,20272.0,24409.0,22164.0,28119.0,44744.0,46858.0,47267.0,48228.0,31984.0,19858.0,17685.0,23509.0,18157.0,21481.0,22672.0,34607.0
2.01.06,Provisões,8270.0,11137.0,11936.0,6051.0,8224.0,9794.0,15505.0,26170.0,22256.0,21680.0,25074.0,11521.0,13542.0,10027.0,8580.0,11914.0,14820.0,11625.0,13266.0,13061.0,17856.0,19926.0,16849.0,9977.0,10090.0,12796.0,9132.0,25724.0,16374.0,11474.0,9821.0,8876.0,11678.0,8311.0,9729.0,8117.0,12667.0,8845.0,8080.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,395102.0,423734.0,406385.0,426256.0,400500.0,442045.0,414874.0,400336.0,422901.0,408692.0,383332.0,348746.0,330858.0,328867.0,369114.0,357275.0,366287.0,374595.0,415747.0,472681.0,461036.0,459536.0,449891.0,430507.0,441007.0,413001.0,396460.0,373257.0,417209.0,410842.0,403143.0,387922.0,423425.0,441956.0,448447.0,422713.0,397874.0,393538.0,406950.0
