cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
3.01,Receita de Venda de Bens e/ou Serviços,284866.0,266808.0,292257.0,247545.0,278057.0,280075.0,263438.0,276200.0,251758.0,275110.0,281981.0,287869.0,211605.0,268099.0,285794.0,281193.0,265574.0,278702.0,291537.0,223933.0,267501.0,278944.0,307046.0,299522.0,227051.0,287373.0,292283.0,332357.0,310107.0,371259.0,387148.0,402666.0,359258.0,339217.0,373152.0,349056.0,366118.0,417812.0,408163.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-176595.0,-173710.0,-181631.0,-156795.0,-170848.0,-154192.0,-147459.0,-148811.0,-132819.0,-151205.0,-152460.0,-162360.0,-122143.0,-155279.0,-162726.0,-167599.0,-150260.0,-159223.0,-166685.0,-172551.0,-160856.0,-176672.0,-189853.0,-194963.0,-163413.0,-213788.0,-209675.0,-237387.0,-224190.0,-242994.0,-239047.0,-254243.0,-217294.0,-203901.0,-215006.0,-209543.0,-203429.0,-247338.0,-248708.0
3.03,Resultado Bruto,108271.0,93098.0,110626.0,90750.0,107209.0,125883.0,115979.0,127389.0,118939.0,123905.0,129521.0,125509.0,89462.0,112820.0,123068.0,113594.0,115314.0,119479.0,124852.0,51382.0,106645.0,102272.0,117193.0,104559.0,63638.0,73585.0,82608.0,94970.0,85917.0,128265.0,148101.0,148423.0,141964.0,135316.0,158146.0,139513.0,162689.0,170474.0,159455.0
3.04,Despesas/Receitas Operacionais,-108403.0,-112060.0,-125524.0,-162260.0,-99661.0,-124437.0,-119896.0,-117979.0,-44746.0,-105591.0,-83903.0,-84927.0,-87094.0,-99550.0,-131130.0,-125884.0,-97756.0,-114532.0,-110863.0,-26887.0,-56763.0,-79087.0,-83942.0,-82541.0,-69934.0,-42375.0,-64794.0,-5822.0,-83323.0,-89802.0,-96901.0,-82923.0,-88925.0,-83025.0,-94754.0,-87598.0,-106304.0,-109919.0,-115139.0
3.04.02,Despesas Gerais e Administrativas,-17786.0,-20119.0,-24162.0,-14893.0,-18998.0,-20394.0,-19839.0,-18633.0,-22618.0,-21694.0,-21906.0,-19128.0,-21672.0,-22496.0,-18034.0,-24414.0,-23062.0,-23206.0,-23877.0,-17139.0,-21040.0,-23170.0,-23708.0,-18867.0,-20637.0,-27524.0,-18760.0,-18266.0,-22327.0,-23580.0,-28053.0,-28563.0,-26104.0,-25777.0,-29183.0,-35423.0,-29352.0,-31353.0,-27572.0
3.04.05,Outras Despesas Operacionais,-27233.0,-6327.0,-12666.0,-42928.0,-10556.0,-47529.0,-6149.0,-26122.0,-6507.0,-9974.0,-4382.0,-4669.0,-3624.0,-2202.0,-36648.0,-20002.0,-2014.0,-16933.0,-12656.0,-13431.0,-2256.0,-1417.0,-1123.0,-2814.0,-937.0,-11643.0,-2233.0,-9244.0,-3257.0,-2684.0,-18.0,-4211.0,-511.0,-4666.0,-2166.0,-3919.0,-3033.0,-1029.0,-11088.0
3.04.05.02,Depreciação e amortização,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-227.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-132.0,-18962.0,-14898.0,-71510.0,7548.0,1446.0,-3917.0,9410.0,74193.0,18314.0,45618.0,40582.0,2368.0,13270.0,-8062.0,-12290.0,17558.0,4947.0,13989.0,24495.0,49882.0,23185.0,33251.0,22018.0,-6296.0,115960.0,17814.0,4398.0,2594.0,38463.0,51200.0,65500.0,53039.0,52291.0,63392.0,51915.0,56385.0,60555.0,44316.0
3.06,Resultado Financeiro,-111330.0,-5392.0,-154940.0,-26414.0,12857.0,23129.0,-35165.0,-39740.0,-30282.0,-22265.0,-6425.0,-17639.0,-18783.0,-20574.0,137045.0,-25297.0,-23437.0,-24056.0,-25214.0,-32739.0,-12654.0,-18387.0,-16605.0,-28439.0,-20341.0,86264.0,-18063.0,-38824.0,-26497.0,-33269.0,-46252.0,-36135.0,-28977.0,-47895.0,-40255.0,-35840.0,-29576.0,-29420.0,-18623.0
3.06.01,Receitas Financeiras,3722.0,2568.0,758.0,3722.0,66131.0,75875.0,1445.0,31752.0,9483.0,1226.0,812.0,1459.0,1686.0,566.0,156999.0,412.0,519.0,456.0,483.0,327.0,8485.0,815.0,761.0,230.0,158.0,108863.0,8204.0,2117.0,2917.0,6564.0,3410.0,1127.0,4442.0,4397.0,3101.0,3852.0,2393.0,1426.0,3651.0
3.06.02,Despesas Financeiras,-115052.0,-7960.0,-155698.0,-30136.0,-53274.0,-52746.0,-36610.0,-71492.0,-39765.0,-23491.0,-7237.0,-19098.0,-20469.0,-21140.0,-19954.0,-25709.0,-23956.0,-24512.0,-25697.0,-33066.0,-21139.0,-19202.0,-17366.0,-28209.0,-20499.0,-22599.0,-26267.0,-40941.0,-29414.0,-39833.0,-42842.0,-41828.0,-33419.0,-52292.0,-43356.0,-39692.0,-31969.0,-30846.0,-22274.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-111462.0,-24354.0,-169838.0,-97924.0,20405.0,24575.0,-39082.0,-30330.0,43911.0,-3951.0,39193.0,22943.0,-16415.0,-7304.0,128983.0,-37587.0,-5879.0,-19109.0,-11225.0,-8244.0,37228.0,4798.0,16646.0,-6421.0,-26637.0,202224.0,-249.0,-34426.0,-23903.0,5194.0,4948.0,29365.0,24062.0,4396.0,23137.0,16075.0,26809.0,31135.0,25693.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-33555.0,-12722.0,-20104.0,-39751.0,-347.0,-379.0,-350.0,-82424.0,-9162.0,-26098.0,-121.0,-10653.0,-663.0,-1064.0,-371.0,-391.0,-370.0,-370.0,-370.0,-2860.0,-10632.0,-889.0,-3304.0,-2530.0,-341.0,-45688.0,-340.0,-27637.0,0.0,-2752.0,-10796.0,-6567.0,-5173.0,-15216.0,-22090.0,-9983.0,-11819.0,-11279.0,-4090.0
3.09,Resultado Líquido das Operações Continuadas,77907.0,11632.0,149734.0,137675.0,20752.0,24954.0,38732.0,-25370.0,34749.0,22147.0,39314.0,30614.0,15752.0,6240.0,129354.0,-81180.0,5509.0,18739.0,10855.0,5384.0,26596.0,3909.0,13342.0,-3891.0,26296.0,156536.0,91.0,-116017.0,24695.0,7946.0,15744.0,-25800.0,18889.0,19612.0,45227.0,16438.0,14990.0,19856.0,21603.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,77907.0,11632.0,149734.0,137675.0,20752.0,24954.0,38732.0,-25370.0,34749.0,22147.0,39314.0,30614.0,15752.0,6240.0,129354.0,-81180.0,5509.0,18739.0,10855.0,5384.0,26596.0,3909.0,13342.0,-3891.0,26296.0,156536.0,91.0,-116017.0,24695.0,7946.0,15744.0,-25800.0,18889.0,19612.0,45227.0,16438.0,14990.0,19856.0,21603.0
3.11.01,Atribuído a Sócios da Empresa Controladora,-77907.0,-11632.0,-149734.0,-137675.0,20752.0,24954.0,-38732.0,52094.0,34749.0,22147.0,39314.0,30614.0,-15752.0,-6240.0,129354.0,-37196.0,-5509.0,-18739.0,-10855.0,-5384.0,26596.0,3909.0,13342.0,-3891.0,-26296.0,156536.0,91.0,-63425.0,-24695.0,7946.0,15714.0,23618.0,18889.0,19613.0,45222.0,16442.0,14990.0,19856.0,21603.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
