data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,2,Passivo Total,398261492.0
2022-03-31,T1,2.01,Passivos Financeiros ao Valor Justo através do Resultado,54290089.0
2022-03-31,T1,2.02,Outros Passivos Financeiros Designados ao Valor Justo através do Resultado,0.0
2022-03-31,T1,2.03,Passivos Financeiros ao Custo Amortizado,260692401.0
2022-03-31,T1,2.03.01,Captações no mercado aberto,71604637.0
2022-03-31,T1,2.03.02,Depósitos,104111427.0
2022-03-31,T1,2.03.03,Recursos de aceites e emissão de títulos,60322365.0
2022-03-31,T1,2.03.04,"Obrigações por empréstimos, repasses e arrendamentos",14341532.0
2022-03-31,T1,2.03.05,Dívidas subordinadas e instrumentos de dívida elegíveis a capital,7221794.0
2022-03-31,T1,2.03.06,Valores a pagar a bancos,3090646.0
2022-03-31,T1,2.04,Provisões,0.0
2022-03-31,T1,2.05,Passivos Fiscais,3195708.0
2022-03-31,T1,2.05.01,Correntes,919551.0
2022-03-31,T1,2.05.02,Diferidos,2276157.0
2022-03-31,T1,2.06,Outros Passivos,32376816.0
2022-03-31,T1,2.06.01,Obrigações diversas,17794740.0
2022-03-31,T1,2.06.02,Outros passivos,14582076.0
2022-03-31,T1,2.07,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2022-03-31,T1,2.07.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2022-03-31,T1,2.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-03-31,T1,2.08,Patrimônio Líquido Consolidado,47706478.0
2022-03-31,T1,2.08.01,Capital Social Realizado,15815577.0
2022-03-31,T1,2.08.02,Reservas de Capital,-15981.0
2022-03-31,T1,2.08.02.01,Ágio na Emissão de Ações,0.0
2022-03-31,T1,2.08.02.02,Reserva Especial de Ágio na Incorporação,0.0
2022-03-31,T1,2.08.02.03,Alienação de Bônus de Subscrição,0.0
2022-03-31,T1,2.08.02.04,Opções Outorgadas,0.0
2022-03-31,T1,2.08.02.05,Ações em Tesouraria,-15981.0
2022-03-31,T1,2.08.03,Reservas de Reavaliação,652515.0
2022-03-31,T1,2.08.04,Reservas de Lucros,20241359.0
2022-03-31,T1,2.08.04.01,Reserva Legal,0.0
2022-03-31,T1,2.08.04.02,Reserva Estatutária,0.0
2022-03-31,T1,2.08.04.03,Reserva para Contingências,0.0
2022-03-31,T1,2.08.04.04,Reserva de Lucros a Realizar,0.0
2022-03-31,T1,2.08.04.05,Reserva de Retenção de Lucros,0.0
2022-03-31,T1,2.08.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2022-03-31,T1,2.08.04.07,Reserva de Incentivos Fiscais,0.0
2022-03-31,T1,2.08.04.08,Dividendo Adicional Proposto,0.0
2022-03-31,T1,2.08.04.09,Ações em Tesouraria,0.0
2022-03-31,T1,2.08.05,Lucros/Prejuízos Acumulados,1999746.0
2022-03-31,T1,2.08.06,Ajustes de Avaliação Patrimonial,0.0
2022-03-31,T1,2.08.07,Ajustes Acumulados de Conversão,0.0
2022-03-31,T1,2.08.08,Outros Resultados Abrangentes,3759948.0
2022-03-31,T1,2.08.09,Participação dos Acionistas Não Controladores,5253314.0
2022-06-30,T2,2,Passivo Total,461937016.0
2022-06-30,T2,2.01,Passivos Financeiros ao Valor Justo através do Resultado,84241676.0
