cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receitas da Intermediação Financeira,11669345.0,13000416.0,8871675.0,8673466.0,11678102.0,18643965.0,9894600.0,5376840.0,5930358.0,5192541.0,6034817.0,5764128.0,6503560.0,5464264.0,6885373.0,6206010.0,5843419.0,6569982.0,16040606.0,5126458.0,8286132.0,8992610.0
3.02,Despesas da Intermediação Financeira,-15271168.0,-5672205.0,-5008327.0,-5974053.0,-6921930.0,-12540553.0,-147550.0,-722370.0,-998282.0,-708108.0,-2222205.0,-494242.0,-870874.0,-661308.0,-253822.0,-1099517.0,-1041542.0,-413944.0,-18631130.0,0.0,-1479813.0,0.0
3.03,Resultado Bruto Intermediação Financeira,-3601823.0,7328211.0,3863348.0,2699413.0,4756172.0,6103412.0,9747050.0,4654470.0,4932076.0,4484433.0,3812612.0,5269886.0,5632686.0,4802956.0,6631551.0,5106493.0,4801877.0,6156038.0,-2590524.0,5126458.0,6806319.0,8992610.0
3.04,Outras Despesas/Receitas Operacionais,236034.0,-356390.0,-2136281.0,-113146.0,299458.0,-870327.0,2086692.0,-1946930.0,-2180875.0,-1767582.0,-2385218.0,-2941234.0,-2818017.0,-1742120.0,-3171932.0,-2070122.0,-1605822.0,-2621953.0,5647085.0,-1188347.0,-2090195.0,-3187896.0
3.05,Resultado Antes dos Tributos sobre o Lucro,-85096.0,6171188.0,2375259.0,2430169.0,4053417.0,4280921.0,7064470.0,1999746.0,2133969.0,2203340.0,1683139.0,2152555.0,2451009.0,2688982.0,2962214.0,2619138.0,2743554.0,3111294.0,2606459.0,3261874.0,4222778.0,4676223.0
3.06,Imposto de Renda e Contribuição Social,661114.0,-1456230.0,-7861.0,6938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.07,Resultado Líquido Operações Continuadas,576018.0,4714958.0,2367398.0,2437107.0,4053417.0,4280921.0,7064470.0,1999746.0,2133969.0,2203340.0,1683139.0,2152555.0,2451009.0,2688982.0,2962214.0,2619138.0,2743554.0,3111294.0,2606459.0,3261874.0,4222778.0,4676223.0
3.08,Resultado Líquido Operações Descontinuadas,,,,,,,,,,,,,,,,,,,,,,
3.09,Lucro/Prejuízo Consolidado do Período,,,,,,,,,,,,,,,,,,,,,,
3.99,Lucro por Ação (Geral),0.27,1.82,0.87,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.99.01.01,LPA - Ações Ordinárias (ON),0.27,1.82,0.87,0.91,,,,,,,,,,,,,,,,0.0,,
3.99.01.02,LPA - Ações Preferenciais (PN),0.27,1.82,0.87,0.91,,,,,,,,,,,,,,,,0.0,,
