data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,2,Passivo Total,51271529.0
2022-03-31,T1,2.01,Passivos Financeiros ao Valor Justo através do Resultado,201522.0
2022-03-31,T1,2.01.01,Derivativos,201522.0
2022-03-31,T1,2.02,Outros Passivos Financeiros Designados ao Valor Justo através do Resultado,0.0
2022-03-31,T1,2.03,Passivos Financeiros ao Custo Amortizado,38296067.0
2022-03-31,T1,2.03.01,Depósitos de clientes,21438592.0
2022-03-31,T1,2.03.02,Depósitos de instituições financeiras,5461068.0
2022-03-31,T1,2.03.03,Recursos de emissão de títulos,10150881.0
2022-03-31,T1,2.03.04,Outros passivos financeiros,1245526.0
2022-03-31,T1,2.04,Provisões,418745.0
2022-03-31,T1,2.05,Passivos Fiscais,326087.0
2022-03-31,T1,2.05.01,Correntes,80498.0
2022-03-31,T1,2.05.02,Diferido,245589.0
2022-03-31,T1,2.06,Outros Passivos,4875452.0
2022-03-31,T1,2.07,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2022-03-31,T1,2.07.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2022-03-31,T1,2.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-03-31,T1,2.08,Patrimônio Líquido Consolidado,7153656.0
2022-03-31,T1,2.08.01,Capital Social Realizado,5928320.0
2022-03-31,T1,2.08.01.01,De domiciliados no País,5364187.0
2022-03-31,T1,2.08.01.02,De domiciliados no Exterior,564133.0
2022-03-31,T1,2.08.02,Reservas de Capital,207322.0
2022-03-31,T1,2.08.02.01,Ágio na Emissão de Ações,0.0
2022-03-31,T1,2.08.02.02,Reserva Especial de Ágio na Incorporação,0.0
2022-03-31,T1,2.08.02.03,Alienação de Bônus de Subscrição,0.0
2022-03-31,T1,2.08.02.04,Opções Outorgadas,0.0
2022-03-31,T1,2.08.02.05,Ações em Tesouraria,0.0
2022-03-31,T1,2.08.03,Reservas de Reavaliação,0.0
2022-03-31,T1,2.08.04,Reservas de Lucros,1030028.0
2022-03-31,T1,2.08.04.01,Reserva Legal,0.0
2022-03-31,T1,2.08.04.02,Reserva Estatutária,0.0
2022-03-31,T1,2.08.04.03,Reserva para Contingências,0.0
2022-03-31,T1,2.08.04.04,Reserva de Lucros a Realizar,0.0
2022-03-31,T1,2.08.04.05,Reserva de Retenção de Lucros,0.0
2022-03-31,T1,2.08.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2022-03-31,T1,2.08.04.07,Reserva de Incentivos Fiscais,0.0
2022-03-31,T1,2.08.04.08,Dividendo Adicional Proposto,0.0
2022-03-31,T1,2.08.04.09,Ações em Tesouraria,0.0
2022-03-31,T1,2.08.05,Lucros/Prejuízos Acumulados,0.0
2022-03-31,T1,2.08.06,Ajustes de Avaliação Patrimonial,0.0
2022-03-31,T1,2.08.07,Ajustes Acumulados de Conversão,0.0
2022-03-31,T1,2.08.08,Outros Resultados Abrangentes,-12078.0
2022-03-31,T1,2.08.09,Participação dos Acionistas Não Controladores,64.0
2022-06-30,T2,2,Passivo Total,53680605.0
2022-06-30,T2,2.01,Passivos Financeiros ao Valor Justo através do Resultado,121549.0
2022-06-30,T2,2.01.01,Derivativos,121549.0
2022-06-30,T2,2.02,Outros Passivos Financeiros Designados ao Valor Justo através do Resultado,0.0
2022-06-30,T2,2.03,Passivos Financeiros ao Custo Amortizado,40629221.0
