data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,1010323.0
2022-03-31,T1,6.01.01,Caixa Gerado nas Operações,503526.0
2022-03-31,T1,6.01.01.01,Lucro líquido,227562.0
2022-03-31,T1,6.01.01.02,Efeito das mudanças das taxas de câmbio em caixa e equivalentes de caixa,-35.0
2022-03-31,T1,6.01.01.03,Depreciações e Amortizações,29850.0
2022-03-31,T1,6.01.01.04,Provisão para desvalorização de ativos não correntes mantidos para venda,901.0
2022-03-31,T1,6.01.01.05,Resultado na alienação de ativos não correntes mantidos para venda,-4624.0
2022-03-31,T1,6.01.01.06,Variação cambial de obrigações por empréstimos e dívidas subordinadas,-126434.0
2022-03-31,T1,6.01.01.07,"Constituição de provisões cíveis, trabalhistas e tributárias",58456.0
2022-03-31,T1,6.01.01.08,Impairment de ágio na aquisição de investimentos,6264.0
2022-03-31,T1,6.01.01.09,Resultado de participações em coligadas e controladas,-312.0
2022-03-31,T1,6.01.01.10,Perda esperada de empréstimos e adiantamentos a clientes,228094.0
2022-03-31,T1,6.01.01.11,Perda esperda em outros ativos,-308.0
2022-03-31,T1,6.01.01.12,Imposto de renda e contribuição social diferidos,84112.0
2022-03-31,T1,6.01.02,Variações nos Ativos e Passivos,506797.0
2022-03-31,T1,6.01.02.01,(Aumento)/Redução em ativos financeiros ao valor justo no resultado,-36064.0
2022-03-31,T1,6.01.02.02,(Aumento) em ativos financeiros ao valor justo por meio de outros resultados abrangentes,-85847.0
2022-03-31,T1,6.01.02.03,(Aumento) em depósitos compulsórios,-349358.0
2022-03-31,T1,6.01.02.04,(Aumento) em empréstimos e adiantamentos a instituições financeiras,-168981.0
2022-03-31,T1,6.01.02.05,(Aumento) em empréstimos e adiantamentos a clientes,-1437176.0
2022-03-31,T1,6.01.02.06,Redução/(Aumento) em outros ativos financeiros,246111.0
2022-03-31,T1,6.01.02.07,Redução em ativos fiscais,228340.0
2022-03-31,T1,6.01.02.08,Redução/(Aumento) em outros ativos,399424.0
2022-03-31,T1,6.01.02.09,Aumento em depósitos de clientes,938937.0
2022-03-31,T1,6.01.02.10,Aumento/(Redução) em depósitos de instituições financeiras,827986.0
2022-03-31,T1,6.01.02.11,Aumento em passivos financeiros ao valor justo no resultado,146853.0
2022-03-31,T1,6.01.02.12,Aumento em outros passivos financeiros,244641.0
2022-03-31,T1,6.01.02.13,(Redução) em provisões,-59074.0
2022-03-31,T1,6.01.02.14,(Redução) em passivos fiscais,-374105.0
2022-03-31,T1,6.01.02.15,(Redução)/Aumento em outros passivos,-12912.0
2022-03-31,T1,6.01.02.16,Imposto de renda e contribuição social pagos,-1978.0
2022-03-31,T1,6.01.03,Outros,0.0
2022-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-1171609.0
2022-03-31,T1,6.02.01,(Aumento) em ativos financeiros ao valor justo por meio de outros resultados abrangentes,0.0
2022-03-31,T1,6.02.02,Redução em ativos financeiros ao valor justo por meio de outros resultados abrangentes,159605.0
2022-03-31,T1,6.02.03,(Aumento) em ativos financeiros ao custo amortizado,-1403896.0
2022-03-31,T1,6.02.04,Redução em ativos financeiros ao custo amortizado,101201.0
2022-03-31,T1,6.02.05,Alienação de bens não de uso próprio,29419.0
2022-03-31,T1,6.02.06,(Aquisição) de imobilizado,-41991.0
2022-03-31,T1,6.02.07,(Aquisição) de intangível,-15947.0
2022-03-31,T1,6.02.08,Cessão de direitos,0.0
2022-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,233157.0
2022-03-31,T1,6.03.01,Emissão de recursos de aceites e emissão de títulos,764888.0
2022-03-31,T1,6.03.02,Resgate de recursos de aceites e emissão de títulos,-268768.0
2022-03-31,T1,6.03.03,Pagamento de arrendamento,-1728.0
2022-03-31,T1,6.03.04,Juros sobre o capital próprio pagos,-261080.0
2022-03-31,T1,6.03.05,Participação de acionistas não controladores,-155.0
2022-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,35.0
2022-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,71906.0
2022-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,9704.0
2022-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,81610.0
2022-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,2473706.0
2022-06-30,T2,6.01.01,Caixa Gerado nas Operações,793358.0
2022-06-30,T2,6.01.01.01,Lucro líquido,350374.0
2022-06-30,T2,6.01.01.02,Efeito das mudanças das taxas de câmbio em caixa e equivalentes de caixa,-712.0
2022-06-30,T2,6.01.01.03,Depreciações e Amortizações,65853.0
2022-06-30,T2,6.01.01.04,Provisão para desvalorização de ativos não correntes mantidos para venda,-4665.0
2022-06-30,T2,6.01.01.05,Resultado na alienação de ativos não correntes mantidos para venda,-6774.0
2022-06-30,T2,6.01.01.06,Variação cambial de obrigações por empréstimos,-51375.0
2022-06-30,T2,6.01.01.07,"Constituição de provisões cíveis, trabalhistas e tributárias",113367.0
2022-06-30,T2,6.01.01.08,Impairment de ágio na aquisição de investimentos,12527.0
2022-06-30,T2,6.01.01.09,Perda ao valor recuperável em ativos,84.0
2022-06-30,T2,6.01.01.10,Resultado de participações em coligadas e controladas,-239.0
2022-06-30,T2,6.01.01.11,Perda esperada de empréstimos e adiantamentos a clientes,233937.0
2022-06-30,T2,6.01.01.12,Perda esperda em outros ativos,-332.0
2022-06-30,T2,6.01.01.13,Imposto de renda e contribuição social diferidos,81313.0
2022-06-30,T2,6.01.02,Variações nos Ativos e Passivos,1680348.0
2022-06-30,T2,6.01.02.01,(Aumento) em ativos financeiros ao valor justo no resultado,-13301.0
2022-06-30,T2,6.01.02.02,(Aumento) em ativos financeiros ao valor justo por meio de outros resultados abrangentes,-82720.0
2022-06-30,T2,6.01.02.03,(Aumento) em depósitos compulsórios,-640089.0
2022-06-30,T2,6.01.02.04,(Aumento) em empréstimos e adiantamentos a instituições financeiras,-84253.0
2022-06-30,T2,6.01.02.05,(Aumento) em empréstimos e adiantamentos a clientes,-1182564.0
2022-06-30,T2,6.01.02.06,Redução/(Aumento) em outros ativos financeiros,61054.0
2022-06-30,T2,6.01.02.07,Redução em ativos fiscais,259336.0
2022-06-30,T2,6.01.02.08,Redução/(Aumento) em outros ativos,267969.0
2022-06-30,T2,6.01.02.09,Aumento em depósitos de clientes,1747672.0
2022-06-30,T2,6.01.02.10,Aumento/(Redução) em depósitos de instituições financeiras,1063186.0
2022-06-30,T2,6.01.02.11,Aumento/(Redução) em passivos financeiros ao valor justo no resultado,66880.0
2022-06-30,T2,6.01.02.12,Aumento em outros passivos financeiros,595637.0
2022-06-30,T2,6.01.02.13,(Redução) em provisões,-138453.0
2022-06-30,T2,6.01.02.14,(Redução)/Aumento em passivos fiscais,-368750.0
2022-06-30,T2,6.01.02.15,Aumento em outros passivos,134044.0
2022-06-30,T2,6.01.02.16,Imposto de renda e contribuição social pagos,-5300.0
2022-06-30,T2,6.01.03,Outros,0.0
2022-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-3468976.0
2022-06-30,T2,6.02.01,(Aumento) em ativos financeiros ao valor justo por meio de outros resultados abrangentes,0.0
2022-06-30,T2,6.02.02,Redução em ativos financeiros ao valor justo por meio de outros resultados abrangentes,159605.0
2022-06-30,T2,6.02.03,(Aumento) em ativos financeiros ao custo amortizado,-3813883.0
2022-06-30,T2,6.02.04,Redução em ativos financeiros ao custo amortizado,210950.0
2022-06-30,T2,6.02.05,Alienação de bens não de uso próprio,97598.0
2022-06-30,T2,6.02.06,(Aquisição) de imobilizado,-75694.0
2022-06-30,T2,6.02.07,(Aquisição) de intangível,-47552.0
2022-06-30,T2,6.02.08,Cessão de direitos,0.0
2022-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,1004086.0
2022-06-30,T2,6.03.01,Emissão de recursos de aceites e emissão de títulos,1943211.0
2022-06-30,T2,6.03.02,Resgate de recursos de aceites e emissão de títulos,-582294.0
2022-06-30,T2,6.03.03,Pagamento de arrendamento,-3361.0
2022-06-30,T2,6.03.04,Juros sobre o capital próprio e dividendos pagos,-296708.0
2022-06-30,T2,6.03.05,Participação de acionistas não controladores,-37.0
2022-06-30,T2,6.03.06,Aquisição de ações em tesouraria,-56725.0
2022-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,712.0
2022-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,9528.0
2022-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,9704.0
2022-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,19232.0
2022-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,2465205.0
2022-09-30,T3,6.01.01,Caixa Gerado nas Operações,1284215.0
2022-09-30,T3,6.01.01.01,Lucro líquido,489484.0
2022-09-30,T3,6.01.01.02,Efeito das mudanças das taxas de câmbio em caixa e equivalentes de caixa,-1139.0
2022-09-30,T3,6.01.01.03,Depreciações e amortizações,100009.0
2022-09-30,T3,6.01.01.04,Provisão para desvalorização de ativos não correntes mantidos para venda,-3295.0
2022-09-30,T3,6.01.01.05,Resultado na alienação de ativos não correntes mantidos para venda,-7346.0
2022-09-30,T3,6.01.01.06,Variação cambial de obrigações por empréstimos,-26085.0
2022-09-30,T3,6.01.01.07,"Constituição de provisões cíveis, trabalhistas e tributárias",181478.0
2022-09-30,T3,6.01.01.08,Impairment de ágio na aquisição de investimentos,14614.0
2022-09-30,T3,6.01.01.09,Perda no valor recuperável em ativos,533.0
2022-09-30,T3,6.01.01.10,Resultado de participações em coligadas e controladas,-334.0
2022-09-30,T3,6.01.01.11,Perda esperada de empréstimos e adiantamentos a clientes,474106.0
2022-09-30,T3,6.01.01.12,Perda esperada em outros ativos,-362.0
2022-09-30,T3,6.01.01.13,Imposto de renda e contribuição social diferidos,62552.0
2022-09-30,T3,6.01.02,Variações nos Ativos e Passivos,1180990.0
2022-09-30,T3,6.01.02.01,(Aumento) em ativos financeiros ao valor justo no resultado,194781.0
2022-09-30,T3,6.01.02.02,(Aumento) em ativos financeiros ao valor justo por meio de outros resultados abrangentes,-87986.0
2022-09-30,T3,6.01.02.03,(Aumento) em depósitos compulsórios,-463228.0
2022-09-30,T3,6.01.02.04,(Aumento) em empréstimos e adiantamentos a instituições financeiras,-257249.0
2022-09-30,T3,6.01.02.05,(Aumento) em empréstimos e adiantamentos a clientes,-1836823.0
2022-09-30,T3,6.01.02.06,Redução/(Aumento) em outros ativos financeiros,14165.0
2022-09-30,T3,6.01.02.07,Redução em ativos fiscais,103971.0
2022-09-30,T3,6.01.02.08,Redução/(Aumento) em outros ativos,92924.0
2022-09-30,T3,6.01.02.09,Aumento em depósitos de clientes,1094135.0
2022-09-30,T3,6.01.02.10,Aumento/(Redução) em depósitos de instituições financeiras,1546066.0
2022-09-30,T3,6.01.02.11,Aumento/(Redução) em passivos financeiros ao valor justo no resultado,60135.0
2022-09-30,T3,6.01.02.12,Aumento em outros passivos financeiros,986411.0
2022-09-30,T3,6.01.02.13,(Redução) em provisões,-212370.0
2022-09-30,T3,6.01.02.14,(Redução)/Aumento em passivos fiscais,-159520.0
2022-09-30,T3,6.01.02.15,Aumento em outros passivos,214738.0
2022-09-30,T3,6.01.02.16,Imposto de renda e contribuição social pagos,-109160.0
2022-09-30,T3,6.01.03,Outros,0.0
2022-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-2201296.0
2022-09-30,T3,6.02.01,(Aumento) em ativos financeiros ao valor justo por meio de outros resultados abrangentes,-1128.0
2022-09-30,T3,6.02.02,Redução em ativos financeiros ao valor justo por meio de outros resultados abrangentes,364240.0
2022-09-30,T3,6.02.03,(Aumento) em ativos financeiros ao custo amortizado,-4453224.0
2022-09-30,T3,6.02.04,Redução em ativos financeiros ao custo amortizado,1857277.0
2022-09-30,T3,6.02.05,Alienação de bens não de uso próprio,180300.0
2022-09-30,T3,6.02.06,(Aquisição) de imobilizado,-77149.0
2022-09-30,T3,6.02.07,(Aquisição) de intangível,-71612.0
2022-09-30,T3,6.02.08,Cessão de direitos,0.0
2022-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,1072883.0
2022-09-30,T3,6.03.01,Emissão de recursos de aceites e emissão de títulos,2298468.0
2022-09-30,T3,6.03.02,Resgate de recursos de aceites e emissão de títulos,-835288.0
2022-09-30,T3,6.03.03,Pagamento de arrendamento,-4886.0
2022-09-30,T3,6.03.04,Juros sobre o capital próprio e dividendos pagos,-296708.0
2022-09-30,T3,6.03.05,Participação de acionistas não controladores,198.0
2022-09-30,T3,6.03.06,Aquisição de ações em tesouraria,-88901.0
2022-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,1139.0
2022-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,1337931.0
2022-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,5196.0
2022-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,1343127.0
2023-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,1239220.0
2023-03-31,T1,6.01.01,Caixa Gerado nas Operações,376101.0
2023-03-31,T1,6.01.01.01,Lucro líquido,156570.0
2023-03-31,T1,6.01.01.02,Efeito das mudanças das taxas de câmbio em caixa e equivalentes de caixa,-405.0
2023-03-31,T1,6.01.01.03,Depreciações e Amortizações,37355.0
2023-03-31,T1,6.01.01.04,Provisão para desvalorização de ativos não correntes mantidos para venda,381.0
2023-03-31,T1,6.01.01.05,Resultado na alienação de ativos não correntes mantidos para venda,-1202.0
2023-03-31,T1,6.01.01.06,Variação cambial de obrigações por empréstimos,-20595.0
2023-03-31,T1,6.01.01.07,"Constituição de provisões cíveis, trabalhistas e tributárias",58561.0
2023-03-31,T1,6.01.01.08,Impairment de ágio na aquisição de investimentos,11897.0
2023-03-31,T1,6.01.01.09,Resultado de participações em coligadas e controladas,-3978.0
2023-03-31,T1,6.01.01.10,Perda esperada de empréstimos e adiantamentos a clientes,173155.0
2023-03-31,T1,6.01.01.11,Perda esperda em outros ativos,-106.0
2023-03-31,T1,6.01.01.12,Imposto de renda e contribuição social diferidos,-35629.0
2023-03-31,T1,6.01.01.13,Perda ao valor recuperável em ativos,97.0
2023-03-31,T1,6.01.02,Variações nos Ativos e Passivos,863119.0
2023-03-31,T1,6.01.02.01,(Aumento) em ativos financeiros ao valor justo no resultado,-9814.0
2023-03-31,T1,6.01.02.02,(Aumento) em ativos financeiros ao valor justo por meio de outros resultados abrangentes,-8019.0
2023-03-31,T1,6.01.02.03,Redução/(Aumento) em depósitos compulsórios,401332.0
2023-03-31,T1,6.01.02.04,(Aumento) em empréstimos e adiantamentos a instituições financeiras,-20470.0
2023-03-31,T1,6.01.02.05,(Aumento) em empréstimos e adiantamentos a clientes,-552311.0
2023-03-31,T1,6.01.02.06,Redução/(Aumento) em outros ativos financeiros,-275864.0
2023-03-31,T1,6.01.02.07,Redução em ativos fiscais,266461.0
2023-03-31,T1,6.01.02.08,Redução/(Aumento) em outros ativos,-193312.0
2023-03-31,T1,6.01.02.09,Aumento/(Redução) em depósitos de clientes,-1049136.0
2023-03-31,T1,6.01.02.10,Aumento em depósitos de instituições financeiras,2640884.0
2023-03-31,T1,6.01.02.11,Aumento em passivos financeiros ao valor justo no resultado,33270.0
2023-03-31,T1,6.01.02.12,Aumento em outros passivos financeiros,343873.0
2023-03-31,T1,6.01.02.13,(Redução) em provisões,-65282.0
2023-03-31,T1,6.01.02.14,(Redução) em passivos fiscais,-122793.0
2023-03-31,T1,6.01.02.15,(Redução) em outros passivos,-517938.0
2023-03-31,T1,6.01.02.16,Imposto de renda e contribuição social pagos,-7762.0
2023-03-31,T1,6.01.03,Outros,0.0
2023-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-540886.0
2023-03-31,T1,6.02.01,(Aumento) em ativos financeiros ao valor justo por meio de outros resultados abrangentes,-1787.0
2023-03-31,T1,6.02.02,Redução em ativos financeiros ao valor justo por meio de outros resultados abrangentes,47983.0
2023-03-31,T1,6.02.03,(Aumento) em ativos financeiros ao custo amortizado,-674621.0
2023-03-31,T1,6.02.04,Redução em ativos financeiros ao custo amortizado,54720.0
2023-03-31,T1,6.02.05,Alienação de bens não de uso próprio,73878.0
2023-03-31,T1,6.02.06,(Aquisição) de imobilizado,-684.0
2023-03-31,T1,6.02.07,(Aquisição) de intangível,-40375.0
2023-03-31,T1,6.02.08,Cessão de direitos,0.0
2023-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-529529.0
2023-03-31,T1,6.03.01,Emissão de recursos de aceites e emissão de títulos,352608.0
2023-03-31,T1,6.03.02,Resgate de recursos de aceites e emissão de títulos,-561126.0
