cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4
3.01,Receita de Venda de Bens e/ou Serviços,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.02,Custo dos Bens e/ou Serviços Vendidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.03,Resultado Bruto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04,Despesas/Receitas Operacionais,-545327.0,-263942.0,-246312.0,-1420932.0,-369714.0,-218924.0,-101046.0,-92196.0,-461571.0,-59821.0,-706439.0,-1381960.0,-248939.0,-616053.0,-100679.0,-268584.0,-360340.0,-25387.0,-359556.0,-329665.0,-51566.0,-289765.0,-857801.0,-261465.0,-1698085.0,-2251693.0,-1155066.0,-2912430.0,-912530.0,-974537.0,-1099180.0,-660132.0,-752881.0,-158430.0,-485048.0,-432487.0
3.04.02,Despesas Gerais e Administrativas,-1935.0,-1697.0,-2902.0,-2042.0,-1670.0,-2994.0,-7480.0,-3023.0,-2126.0,-3359.0,-3537.0,-10139.0,-2230.0,-3653.0,-3437.0,-17010.0,-2675.0,-3712.0,-4026.0,-6736.0,-2992.0,-4234.0,-4086.0,-6721.0,-5357.0,-7115.0,-8382.0,-6413.0,-5223.0,-5190.0,-4913.0,-5119.0,-5112.0,-5149.0,-5045.0,-6108.0
3.04.05,Outras Despesas Operacionais,0.0,-15531.0,-715.0,-3304.0,-963.0,-1062.0,-1142.0,-5728.0,-1003.0,-22198.0,-628.0,-79240.0,-571494.0,-631685.0,-266493.0,-63988.0,-490.0,-313.0,-246.0,-38660.0,-190.0,-127.0,-27275.0,-157.0,-32877.0,-383.0,-462.0,-2252.0,-670.0,-1060.0,-24266.0,-5539.0,-860.0,-892.0,-29642.0,-12439.0
3.04.05.02,Depreciação e amortização,,,0.0,,,,0.0,,,,0.0,,-555112.0,-630802.0,-224614.0,-3682.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.06,Resultado de Equivalência Patrimonial,-554653.0,273821.0,-248698.0,-1945365.0,372347.0,212190.0,109668.0,89299.0,464700.0,-34264.0,710604.0,183701.0,324785.0,19285.0,370609.0,805629.0,-357175.0,-21362.0,363828.0,-344051.0,54748.0,294126.0,889162.0,268343.0,1736319.0,2259191.0,1163910.0,2921095.0,918423.0,980787.0,1128326.0,670790.0,758853.0,164471.0,519735.0,451034.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-545327.0,263942.0,-246312.0,-1948816.0,369714.0,218924.0,101046.0,92196.0,461571.0,-59821.0,706439.0,1501602.0,-248939.0,-616053.0,100679.0,1998568.0,-360340.0,-25387.0,359556.0,-389447.0,51566.0,289765.0,857801.0,261465.0,1698085.0,2251693.0,1155066.0,2912430.0,912530.0,974537.0,1099180.0,660132.0,752881.0,158430.0,485048.0,432487.0
3.06,Resultado Financeiro,-21664.0,-19654.0,-30326.0,-29400.0,-30485.0,-32366.0,-35172.0,-33983.0,-33405.0,-25948.0,-26189.0,-13625.0,-265.0,-5187.0,-9449.0,-20664.0,6078.0,3134.0,1853.0,1474.0,2190.0,1045.0,986.0,2234.0,2853.0,5773.0,4902.0,48459.0,13836.0,21832.0,21435.0,24193.0,18068.0,19161.0,13740.0,16804.0
