cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
1,Ativo Total,68103613.0,70154958.0,74367489.0,78336413.0,82539500.0,92582439.0,105768675.0,105300421.0,111156358.0,114786159.0,113659790.0,114117818.0,117295481.0,124169866.0,125667007.0,129833876.0,137934328.0,142407743.0,147936515.0,151511198.0,156338226.0,158835626.0
01.01,Caixa e Equivalentes,9725474.0,937520.0,801704.0,886049.0,1161179.0,1263648.0,1464768.0,1456979.0,1134317.0,1062549.0,1004366.0,1047260.0,1117180.0,1049695.0,1123167.0,1117887.0,1174369.0,1207860.0,1126982.0,1373531.0,1316612.0,1203099.0
01.02,Aplicações Financeiras (TVM),41187396.0,1305746.0,41687.0,0.0,0.0,5716030.0,5165487.0,7515156.0,6550252.0,6266609.0,2435393.0,2360442.0,4044693.0,6367744.0,4542311.0,1198501.0,3508382.0,3025954.0,665254.0,924484.0,2118406.0,903217.0
01.02.01,TVM a Valor Justo,5215812.0,4821193.0,5312471.0,20235090.0,24169568.0,7502357.0,9210134.0,6778146.0,7418106.0,8210680.0,8951895.0,8598293.0,8816349.0,9104295.0,9408392.0,17534799.0,23063386.0,23555983.0,23477598.0,22407142.0,22936478.0,23107479.0
01.03,Carteira de Crédito,67383830.0,502446.0,587057.0,0.0,0.0,37705979.0,41143142.0,42488514.0,44717224.0,47588688.0,49264432.0,50232022.0,51584275.0,52547422.0,53750491.0,53937197.0,54799481.0,57758424.0,62151465.0,64058961.0,64059444.0,64101564.0
01.03.01,Crédito Bruto,,,,34216245.0,36341582.0,37705979.0,41143142.0,42488514.0,44717224.0,47588688.0,49264432.0,50232022.0,51584275.0,52547422.0,53750491.0,53937197.0,54799481.0,57758424.0,62151465.0,64058961.0,64059444.0,64101564.0
01.03.02,Provisão para Crédito (PPE),-1927029.0,-2312919.0,-2425702.0,-2599631.0,-2807895.0,-2925220.0,-2554019.0,-2611660.0,-2364868.0,-2285131.0,-2257707.0,-2361467.0,-2374096.0,-2279599.0,-2200164.0,-2337919.0,-2293628.0,-2561706.0,-2552871.0,-3069912.0,-3205188.0,-3263867.0
01.04,Tributos Diferidos,0.0,0.0,0.0,3746632.0,5923422.0,,,,,,,,,,,,,,,,,
01.05,Investimentos,15377886.0,16640694.0,18876433.0,289903.0,2662.0,7499898.0,9193866.0,6760113.0,7395465.0,8161785.0,8898916.0,8543205.0,8759941.0,9047965.0,9354394.0,5918954.0,5689589.0,5700279.0,5127550.0,3485687.0,3379091.0,2806349.0
01.06,Imobilizado,725036.0,764362.0,739154.0,56128453.0,57329714.0,2459.0,16268.0,18033.0,22641.0,48895.0,52979.0,55088.0,56408.0,56330.0,53998.0,11615845.0,17373797.0,17855704.0,18350048.0,18921455.0,19557387.0,20301130.0
01.07,Intangível,21225.0,1315226.0,1235156.0,1125359.0,964518.0,64015589.0,74073497.0,73751428.0,79597846.0,81090601.0,84622271.0,84949853.0,86480696.0,89704775.0,93499274.0,92479955.0,93396152.0,97989572.0,104898756.0,108904519.0,111217570.0,113247128.0
