cd_conta,conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3,2025T4
1,Ativo Total,105300421.0,111156358.0,114786159.0,113659790.0,114117818.0,117295481.0,124169866.0,125667007.0,129833876.0,137934328.0,142407743.0,147936515.0,151511198.0,156338226.0,158835626.0,158835626.0
1.01,Caixa e Equivalentes de Caixa,8972135.0,7684569.0,7329158.0,3439759.0,3407702.0,5161873.0,7417439.0,5665478.0,2316388.0,4682751.0,4233814.0,1792236.0,2298015.0,3435018.0,2106316.0,2106316.0
1.02,Ativos Financeiros,89931827.0,96754211.0,100512542.0,104372692.0,104682790.0,105846503.0,110292976.0,114227683.0,121573005.0,127199671.0,131926324.0,140093284.0,142932701.0,146627096.0,150437964.0,150437964.0
1.02.04,Ativos Financeiros ao Custo Amortizado,73751428.0,79597846.0,81090601.0,84622271.0,84949853.0,86480696.0,89704775.0,93499274.0,92479955.0,93396152.0,97989572.0,104898756.0,108904519.0,111217570.0,113247128.0,113247128.0
1.02.04.04,Operações de Crédito,42488514.0,44717224.0,47588688.0,49264432.0,50232022.0,51584275.0,52547422.0,53750491.0,53937197.0,54799481.0,57758424.0,62151465.0,64058961.0,64059444.0,64101564.0,64101564.0
1.02.04.05,Provisão para Perdas Esperadas,-2607843.0,-2361291.0,-2282074.0,-2255838.0,-2359340.0,-2372531.0,-2277938.0,-2198544.0,-2335978.0,-2291994.0,-2560331.0,-2552249.0,-3069817.0,-3205103.0,-3263787.0,-3263787.0
1.04,Outros Ativos,1367024.0,1400776.0,1427324.0,665918.0,639624.0,669982.0,694836.0,522228.0,643432.0,753034.0,674580.0,598051.0,671228.0,711566.0,767605.0,767605.0
1.05,Investimentos,169250.0,190845.0,154582.0,163149.0,159150.0,179900.0,155687.0,178155.0,211238.0,205190.0,188949.0,199602.0,230459.0,194866.0,175833.0,175833.0
1.06,Imobilizado,755283.0,750150.0,776357.0,797363.0,811102.0,825422.0,837184.0,839583.0,859933.0,879409.0,905257.0,934546.0,926426.0,900794.0,936673.0,936673.0
1.06.01,Imobilizado de Uso,1603447.0,1616025.0,1655270.0,1706116.0,1735925.0,1775224.0,1815098.0,1820814.0,1865742.0,1911415.0,1945679.0,1931204.0,1946360.0,1909754.0,1953765.0,1953765.0
1.07,Intangível,736987.0,704598.0,684514.0,663699.0,667399.0,632588.0,623729.0,621251.0,599347.0,550539.0,517790.0,465583.0,423545.0,374734.0,324628.0,324628.0
