data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,2,Passivo Total,105300421.0
2022-03-31,T1,2.01,Passivos Financeiros Avaliados ao Valor Justo através do Resultado,1749800.0
2022-03-31,T1,2.01.01,Dívida Subordinada,1203295.0
2022-03-31,T1,2.01.02,Instrumentos Financeiros Derivativos,546505.0
2022-03-31,T1,2.02,Passivos Financeiros ao Custo Amortizado,89381991.0
2022-03-31,T1,2.02.01,Depósitos,62893936.0
2022-03-31,T1,2.02.01.01,Depósitos à Vista,3747220.0
2022-03-31,T1,2.02.01.02,Depósitos Poupança,11527982.0
2022-03-31,T1,2.02.01.03,Depósitos Interfinanceiros,508763.0
2022-03-31,T1,2.02.01.04,Depósitos a Prazo,47091403.0
2022-03-31,T1,2.02.01.05,Outros Depósitos,18568.0
2022-03-31,T1,2.02.02,Captações no Mercado Aberto,13760775.0
2022-03-31,T1,2.02.03,Recursos Mercado Interfinanceiro,1835551.0
2022-03-31,T1,2.02.03.01,Recursos de Aceites e Emissão de Títulos,1835551.0
2022-03-31,T1,2.02.04,Outras Captações,10891729.0
2022-03-31,T1,2.02.04.01,Obrigações por Repasses,1406159.0
2022-03-31,T1,2.02.04.02,Obrigações por Emprestimos,934107.0
2022-03-31,T1,2.02.04.03,Outros Passivos Financeiros,8431416.0
2022-03-31,T1,2.02.04.04,Provisão para Perdas Esperadas,120047.0
2022-03-31,T1,2.03,Provisões,2443075.0
2022-03-31,T1,2.04,Passivos Fiscais,671645.0
2022-03-31,T1,2.04.01,Corrente,191225.0
2022-03-31,T1,2.04.02,Diferidos,480420.0
2022-03-31,T1,2.05,Outros Passivos,2062389.0
2022-03-31,T1,2.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2022-03-31,T1,2.06.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2022-03-31,T1,2.06.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-03-31,T1,2.07,Patrimônio Líquido Consolidado,8991521.0
2022-03-31,T1,2.07.01,Patrimônio Líquido Atribuído ao Controlador,8985698.0
2022-03-31,T1,2.07.01.01,Capital Social Realizado,5200000.0
2022-03-31,T1,2.07.01.02,Reservas de Capital,4511.0
2022-03-31,T1,2.07.01.02.01,Ágio na Emissão de Ações,0.0
2022-03-31,T1,2.07.01.02.02,Reserva Especial de Ágio na Incorporação,0.0
2022-03-31,T1,2.07.01.02.03,Alienação de Bônus de Subscrição,0.0
2022-03-31,T1,2.07.01.02.04,Opções Outorgadas,0.0
2022-03-31,T1,2.07.01.02.05,Ações em Tesouraria,0.0
2022-03-31,T1,2.07.01.03,Reservas de Reavaliação,0.0
2022-03-31,T1,2.07.01.04,Reservas de Lucros,3797639.0
2022-03-31,T1,2.07.01.04.01,Reserva Legal,680076.0
2022-03-31,T1,2.07.01.04.02,Reserva Estatutária,2488077.0
2022-03-31,T1,2.07.01.04.03,Reserva para Contingências,0.0
2022-03-31,T1,2.07.01.04.04,Reserva de Lucros a Realizar,720290.0
2022-03-31,T1,2.07.01.04.05,Reserva de Retenção de Lucros,0.0
2022-03-31,T1,2.07.01.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2022-03-31,T1,2.07.01.04.07,Reserva de Incentivos Fiscais,0.0
2022-03-31,T1,2.07.01.04.08,Dividendo Adicional Proposto,-90804.0
2022-03-31,T1,2.07.01.04.09,Ações em Tesouraria,0.0
2022-03-31,T1,2.07.01.05,Lucros/Prejuízos Acumulados,-16452.0
2022-03-31,T1,2.07.01.06,Ajustes de Avaliação Patrimonial,0.0
2022-03-31,T1,2.07.01.07,Ajustes Acumulados de Conversão,0.0
2022-03-31,T1,2.07.01.08,Outros Resultados Abrangentes,0.0
2022-03-31,T1,2.07.02,Patrimônio Líquido Atribuído aos Não Controladores,5823.0
2022-06-30,T2,2,Passivo Total,111156358.0
2022-06-30,T2,2.01,Passivos Financeiros Avaliados ao Valor Justo através do Resultado,1822515.0
2022-06-30,T2,2.01.01,Dívida Subordinada,1252473.0
2022-06-30,T2,2.01.02,Instrumentos Financeiros Derivativos,570042.0
2022-06-30,T2,2.02,Passivos Financeiros ao Custo Amortizado,94549968.0
2022-06-30,T2,2.02.01,Depósitos,64625034.0
2022-06-30,T2,2.02.01.01,Depósitos à Vista,3783817.0
2022-06-30,T2,2.02.01.02,Depósitos Poupança,11610670.0
2022-06-30,T2,2.02.01.03,Depósitos Interfinanceiros,511508.0
2022-06-30,T2,2.02.01.04,Depósitos a Prazo,48702627.0
2022-06-30,T2,2.02.01.05,Outros Depósitos,16412.0
2022-06-30,T2,2.02.02,Captações no Mercado Aberto,15483400.0
2022-06-30,T2,2.02.03,Recursos Mercado Interfinanceiro,2193752.0
2022-06-30,T2,2.02.03.01,Recursos de Aceites e Emissão de Títulos,2193752.0
2022-06-30,T2,2.02.04,Outras Captações,12247782.0
2022-06-30,T2,2.02.04.01,Obrigações por Repasses,1366535.0
2022-06-30,T2,2.02.04.02,Obrigações por Emprestimos,1250259.0
2022-06-30,T2,2.02.04.03,Outros Passivos Financeiros,9458264.0
2022-06-30,T2,2.02.04.04,Provisão para Perdas Esperadas,172724.0
2022-06-30,T2,2.03,Provisões,2641975.0
2022-06-30,T2,2.04,Passivos Fiscais,793257.0
2022-06-30,T2,2.04.01,Correntes,262258.0
2022-06-30,T2,2.04.02,Diferidos,530999.0
2022-06-30,T2,2.05,Outros Passivos,2304738.0
2022-06-30,T2,2.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2022-06-30,T2,2.06.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2022-06-30,T2,2.06.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-06-30,T2,2.07,Patrimônio Líquido Consolidado,9043905.0
2022-06-30,T2,2.07.01,Patrimônio Líquido Atribuído ao Controlador,9039338.0
2022-06-30,T2,2.07.01.01,Capital Social Realizado,5200000.0
2022-06-30,T2,2.07.01.02,Reservas de Capital,4511.0
2022-06-30,T2,2.07.01.02.01,Ágio na Emissão de Ações,0.0
2022-06-30,T2,2.07.01.02.02,Reserva Especial de Ágio na Incorporação,0.0
2022-06-30,T2,2.07.01.02.03,Alienação de Bônus de Subscrição,0.0
2022-06-30,T2,2.07.01.02.04,Opções Outorgadas,0.0
2022-06-30,T2,2.07.01.02.05,Ações em Tesouraria,0.0
2022-06-30,T2,2.07.01.03,Reservas de Reavaliação,0.0
2022-06-30,T2,2.07.01.04,Reservas de Lucros,4092965.0
2022-06-30,T2,2.07.01.04.01,Reserva Legal,699672.0
2022-06-30,T2,2.07.01.04.02,Reserva Estatutária,2572778.0
2022-06-30,T2,2.07.01.04.03,Reserva para Contingências,0.0
2022-06-30,T2,2.07.01.04.04,Reserva de Lucros a Realizar,820515.0
2022-06-30,T2,2.07.01.04.05,Reserva de Retenção de Lucros,0.0
2022-06-30,T2,2.07.01.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2022-06-30,T2,2.07.01.04.07,Reserva de Incentivos Fiscais,0.0
2022-06-30,T2,2.07.01.04.08,Dividendo Adicional Proposto,0.0
2022-06-30,T2,2.07.01.04.09,Ações em Tesouraria,0.0
2022-06-30,T2,2.07.01.05,Lucros/Prejuízos Acumulados,0.0
2022-06-30,T2,2.07.01.06,Ajustes de Avaliação Patrimonial,0.0
2022-06-30,T2,2.07.01.07,Ajustes Acumulados de Conversão,0.0
2022-06-30,T2,2.07.01.08,Outros Resultados Abrangentes,-258138.0
2022-06-30,T2,2.07.02,Patrimônio Líquido Atribuído aos Não Controladores,4567.0
2022-09-30,T3,2,Passivo Total,114786159.0
2022-09-30,T3,2.01,Passivos Financeiros Avaliados ao Valor Justo através do Resultado,1761044.0
2022-09-30,T3,2.01.01,Dívida Subordinada,1170587.0
2022-09-30,T3,2.01.02,Instrumentos Financeiros Derivativos,590457.0
2022-09-30,T3,2.02,Passivos Financeiros ao Custo Amortizado,97939827.0
2022-09-30,T3,2.02.01,Depósitos,66546756.0
2022-09-30,T3,2.02.01.01,Depósitos à Vista,3621821.0
2022-09-30,T3,2.02.01.02,Depósitos Poupança,11436990.0
2022-09-30,T3,2.02.01.03,Depósitos Interfinanceiros,1904506.0
2022-09-30,T3,2.02.01.04,Depósitos a Prazo,49567693.0
2022-09-30,T3,2.02.01.05,Outros Depósitos,15746.0
2022-09-30,T3,2.02.02,Captações no Mercado Aberto,14403990.0
2022-09-30,T3,2.02.03,Recursos Mercado Interfinanceiro,2653648.0
2022-09-30,T3,2.02.03.01,Recursos de Aceites e Emissão de Títulos,2653648.0
2022-09-30,T3,2.02.04,Outras Captações,14335433.0
2022-09-30,T3,2.02.04.01,Obrigações por Repasses,2437999.0
2022-09-30,T3,2.02.04.02,Obrigações por Emprestimos,1171495.0
2022-09-30,T3,2.02.04.03,Outros Passivos Financeiros,10559590.0
2022-09-30,T3,2.02.04.04,Provisão para Perdas Esperadas,166349.0
2022-09-30,T3,2.03,Provisões,2654739.0
2022-09-30,T3,2.04,Passivos Fiscais,941216.0
2022-09-30,T3,2.04.01,Correntes,345790.0
2022-09-30,T3,2.04.02,Diferidos,595426.0
2022-09-30,T3,2.05,Outros Passivos,2401744.0
2022-09-30,T3,2.06,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2022-09-30,T3,2.06.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2022-09-30,T3,2.06.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-09-30,T3,2.07,Patrimônio Líquido Consolidado,9087589.0
2022-09-30,T3,2.07.01,Patrimônio Líquido Atribuído ao Controlador,9082643.0
2022-09-30,T3,2.07.01.01,Capital Social Realizado,5200000.0
2022-09-30,T3,2.07.01.02,Reservas de Capital,4511.0
2022-09-30,T3,2.07.01.02.01,Ágio na Emissão de Ações,0.0
2022-09-30,T3,2.07.01.02.02,Reserva Especial de Ágio na Incorporação,0.0
2022-09-30,T3,2.07.01.02.03,Alienação de Bônus de Subscrição,0.0
2022-09-30,T3,2.07.01.02.04,Opções Outorgadas,0.0
2022-09-30,T3,2.07.01.02.05,Ações em Tesouraria,0.0
2022-09-30,T3,2.07.01.03,Reservas de Reavaliação,0.0
2022-09-30,T3,2.07.01.04,Reservas de Lucros,4092966.0
2022-09-30,T3,2.07.01.04.01,Reserva Legal,699672.0
2022-09-30,T3,2.07.01.04.02,Reserva Estatutária,2572778.0
2022-09-30,T3,2.07.01.04.03,Reserva para Contingências,0.0
2022-09-30,T3,2.07.01.04.04,Reserva de Lucros a Realizar,820516.0
2022-09-30,T3,2.07.01.04.05,Reserva de Retenção de Lucros,0.0
2022-09-30,T3,2.07.01.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2022-09-30,T3,2.07.01.04.07,Reserva de Incentivos Fiscais,0.0
2022-09-30,T3,2.07.01.04.08,Dividendo Adicional Proposto,0.0
2022-09-30,T3,2.07.01.04.09,Ações em Tesouraria,0.0
2022-09-30,T3,2.07.01.05,Lucros/Prejuízos Acumulados,32794.0
2022-09-30,T3,2.07.01.06,Ajustes de Avaliação Patrimonial,0.0
2022-09-30,T3,2.07.01.07,Ajustes Acumulados de Conversão,0.0
2022-09-30,T3,2.07.01.08,Outros Resultados Abrangentes,-247628.0
2022-09-30,T3,2.07.02,Patrimônio Líquido Atribuído aos Não Controladores,4946.0
2023-03-31,T1,2,Passivo Total,114117818.0
2023-03-31,T1,2.01,Passivos Financeiros Avaliados ao Valor Justo através do Resultado,1757956.0
2023-03-31,T1,2.01.01,Dívida Subordinada,1145631.0
2023-03-31,T1,2.01.02,Instrumentos Financeiros Derivativos,612325.0
2023-03-31,T1,2.02,Passivos Financeiros ao Custo Amortizado,97382420.0
2023-03-31,T1,2.02.01,Depósitos,66759565.0
2023-03-31,T1,2.02.01.01,Depósitos à Vista,3592918.0
2023-03-31,T1,2.02.01.02,Depósitos Poupança,11118294.0
2023-03-31,T1,2.02.01.03,Depósitos Interfinanceiros,3028888.0
2023-03-31,T1,2.02.01.04,Depósitos a Prazo,49002733.0
2023-03-31,T1,2.02.01.05,Outros Depósitos,16732.0
2023-03-31,T1,2.02.02,Captações no Mercado Aberto,12471179.0
2023-03-31,T1,2.02.03,Recursos Mercado Interfinanceiro,3406964.0
2023-03-31,T1,2.02.03.01,Recursos de Aceites e Emissão de Títulos,3406964.0
2023-03-31,T1,2.02.04,Outras Captações,14744712.0
2023-03-31,T1,2.02.04.01,Obrigações por Repasses,2702524.0
2023-03-31,T1,2.02.04.02,Obrigações por Emprestimos,1021571.0
